Stock Quotes for TGT,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,58.39,58.45,57.95,58.37,3768500,57.85
2014-07-02,58.5,59.1,58.4,58.77,3061400,58.24
2014-07-03,59.12,59.53,58.94,59.51,3014400,58.98
2014-07-07,59.36,60.05,59.23,59.99,4917300,59.45
2014-07-08,59.75,59.94,59.38,59.8,4582200,59.27
2014-07-09,59.57,60.19,59.57,60.05,4276700,59.51
2014-07-10,59.46,59.98,59.46,59.93,3799900,59.39
2014-07-11,59.96,60.05,59.65,60,3109100,59.46
2014-07-14,60.14,60.19,59.95,60.18,3809200,59.64
2014-07-15,60.55,60.72,60.23,60.71,5722100,60.17
2014-07-16,60.74,60.74,59.82,60.14,6987700,59.6
2014-07-17,59.99,60.2,59.57,59.72,4559400,59.19
2014-07-18,59.82,60.04,59.5,60.01,4735900,59.47
2014-07-21,59.98,60.02,59.04,59.3,4122900,58.77
2014-07-22,59.42,59.52,59.14,59.38,3548400,58.85
2014-07-23,59.45,60.84,59.37,60.73,6167200,60.19
2014-07-24,60.74,61.07,60.42,60.99,3491900,60.45
2014-07-25,60.76,60.89,60.29,60.39,2629200,59.85
2014-07-28,60.4,60.58,59.99,60.3,4011200,59.76
2014-07-29,60.35,61.32,60.3,61.1,3807200,60.55
2014-07-30,61.31,61.63,61.14,61.38,3677000,60.83
2014-07-31,61,61,59.58,59.59,7067900,59.06
2014-08-01,59.32,60,59.2,59.85,4011800,59.32
2014-08-04,60.17,61,59.92,60.7,4232000,60.16
2014-08-05,58.45,59.41,57.81,58.03,14982100,57.51
2014-08-06,57.48,58.24,57.26,57.97,7262700,57.45
2014-08-07,58.26,58.36,57.27,57.5,4917200,56.99
2014-08-08,57.89,58.59,57.62,58.54,4710700,58.02
2014-08-11,58.6,58.67,58.15,58.36,2788100,57.84
2014-08-12,58.35,58.54,58.02,58.46,2946000,57.94
2014-08-13,58.43,58.48,57.75,58.26,3661300,57.74
2014-08-14,58.2,58.77,58.09,58.74,3144900,58.22
2014-08-15,58.74,58.77,57.84,58.2,4186700,57.68
2014-08-18,58.05,58.69,57.75,58.55,4016700,58.55
2014-08-19,58.84,59.41,58.6,59.25,4807300,59.25
2014-08-20,58.5,60.79,58.25,60.33,12823400,60.33
2014-08-21,60.4,61.09,59.82,61.07,6544300,61.07
2014-08-22,61.14,61.46,60.78,61.05,4566200,61.05
2014-08-25,61.3,61.5,60.72,60.98,4368200,60.98
2014-08-26,61.05,61.2,60.59,60.7,3224800,60.7
2014-08-27,60.73,60.96,60.64,60.79,2797700,60.79
2014-08-28,60.48,60.59,60.07,60.35,4206600,60.35
2014-08-29,60.72,60.72,60.05,60.07,4008100,60.07
2014-09-02,60.28,60.5,59.98,60.19,2602700,60.19
2014-09-03,60.53,60.57,59.98,60.39,3553500,60.39
2014-09-04,60.38,61.21,60.2,61.03,4363300,61.03
2014-09-05,61,61.15,60.5,61.08,3401800,61.08
2014-09-08,60.9,61.2,60.27,60.56,3191300,60.56
2014-09-09,60.47,60.91,60.18,60.88,4237200,60.88
2014-09-10,61.01,62.34,60.87,61.95,8664500,61.95
2014-09-11,61.83,62.68,61.61,62.59,5599800,62.59
2014-09-12,62.54,62.65,61.98,62.53,4427400,62.53
2014-09-15,62.43,62.61,62.07,62.21,3694100,62.21
