Stock Quotes for TXN,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,48.03,48.73,47.93,48.49,4714500,48.18
2014-07-02,48.33,48.67,48.33,48.51,2825500,48.2
2014-07-03,48.58,48.98,48.5,48.95,1689500,48.64
2014-07-07,48.73,49.09,48.73,48.92,2912700,48.61
2014-07-08,48.52,49.04,48.52,48.85,4789800,48.54
2014-07-09,49.06,49.41,48.83,49.28,4378200,48.97
2014-07-10,48.76,49.09,48.28,49,4907400,48.69
2014-07-11,48.83,49.29,48.83,49.29,4231400,48.98
2014-07-14,49.44,49.53,48.86,48.92,5171500,48.61
2014-07-15,48.98,49.12,48.42,48.66,5461600,48.35
2014-07-16,49,49.2,48.81,49.05,4894500,48.74
2014-07-17,48.53,48.93,48.06,48.15,5321300,47.84
2014-07-18,48.42,48.97,48.17,48.82,5178800,48.51
2014-07-21,48.08,49.34,48.08,49.17,7681800,48.86
2014-07-22,49,49.24,48.44,49.12,8210500,48.81
2014-07-23,49.22,49.24,48.15,48.2,12255400,47.89
2014-07-24,48.5,48.61,47.78,47.86,9868300,47.56
2014-07-25,47.73,47.73,46.77,46.82,9472100,46.52
2014-07-28,46.85,47.44,46.38,47.35,11324800,47.05
2014-07-29,47.19,47.48,46.77,46.77,6139700,46.77
2014-07-30,47,47.38,46.76,47.23,5408200,47.23
2014-07-31,46.84,46.94,46.02,46.25,8564900,46.25
2014-08-01,46.27,46.63,46.12,46.24,7316800,46.24
2014-08-04,46.2,46.51,46.05,46.39,5327100,46.39
2014-08-05,46.46,46.46,45.92,45.99,7867500,45.99
2014-08-06,45.88,46.44,45.78,46.17,4940900,46.17
2014-08-07,46.45,46.5,45.6,45.67,6689400,45.67
2014-08-08,45.9,46.39,45.85,46.33,4992300,46.33
2014-08-11,46.2,46.82,46.2,46.5,3393300,46.5
2014-08-12,46.25,46.74,46.25,46.67,3788200,46.67
2014-08-13,47.2,47.2,46.83,47.08,5457800,47.08
2014-08-14,47.18,47.33,47.01,47.26,2550700,47.26
2014-08-15,47.67,47.73,46.99,47.56,5854100,47.56
2014-08-18,47.55,47.74,47.36,47.56,3806300,47.56
2014-08-19,47.61,47.92,47.45,47.69,3092200,47.69
2014-08-20,47.68,47.99,47.67,47.88,5266400,47.88
2014-08-21,47.94,48.23,47.8,48.17,3698600,48.17
2014-08-22,48.26,48.35,47.96,48.02,3196900,48.02
2014-08-25,48.37,48.5,47.26,47.37,4836400,47.37
2014-08-26,47.46,47.65,47.31,47.49,4560400,47.49
2014-08-27,47.62,47.84,47.23,47.78,4881200,47.78
2014-08-28,47.61,48.16,47.49,48.02,3427300,48.02
2014-08-29,48.31,48.34,47.89,48.18,3433000,48.18
2014-09-02,48.43,48.43,47.65,47.91,3321300,47.91
2014-09-03,48.31,48.37,47.91,48.35,3884300,48.35
2014-09-04,48.5,48.56,48.16,48.25,3480200,48.25
2014-09-05,48.31,48.59,48.21,48.58,3648600,48.58
2014-09-08,48.39,48.77,48.32,48.49,3975400,48.49
2014-09-09,48.39,48.52,48.2,48.28,3153700,48.28
2014-09-10,48.42,48.42,47.83,47.99,5503700,47.99
2014-09-11,47.8,48.22,47.7,48.15,3165900,48.15
2014-09-12,47.93,48.18,47.46,47.83,4838300,47.83
2014-09-15,47.11,47.95,47.11,47.59,3238700,47.59
