Stock Quotes for UNH,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,81.74,82.35,81.65,81.89,5482400,81.54
2014-07-02,81.8,82.52,81.07,82.49,3693500,82.14
2014-07-03,82.59,83.44,82.32,83.35,2183400,83
2014-07-07,82.99,83.1,81.79,82.22,2558500,81.87
2014-07-08,82.02,82.07,81.38,81.93,2967300,81.58
2014-07-09,81.98,82.75,81.89,82.74,3079500,82.39
2014-07-10,81.28,82.51,81.05,82.08,3829400,81.73
2014-07-11,81.92,83.13,81.73,82.87,2758400,82.52
2014-07-14,83.33,84.69,83.21,84.27,3794500,83.91
2014-07-15,84.04,84.74,83.73,83.9,4356300,83.54
2014-07-16,84.07,84.13,83.22,83.76,3955200,83.41
2014-07-17,84.25,87.24,83.43,85.11,7117900,84.75
2014-07-18,85.47,85.78,84.43,85.52,3892100,85.16
2014-07-21,85.22,85.29,84.03,85.06,4025100,84.7
2014-07-22,85.52,86.76,85.47,86.05,4366900,85.69
2014-07-23,86.31,86.55,85.77,85.94,2596300,85.58
2014-07-24,85.45,86.33,85.29,85.68,4022400,85.32
2014-07-25,84.12,85.01,84,84.68,3362600,84.32
2014-07-28,85.03,85.9,84.6,85.75,2206900,85.39
2014-07-29,84.96,85.56,83.99,84.27,4897800,83.91
2014-07-30,84.76,84.87,81.72,82.95,7171800,82.6
2014-07-31,81.77,82.18,80.55,81.05,5345400,80.71
2014-08-01,81.14,82.07,80.56,81.49,4625100,81.14
2014-08-04,81.59,82.53,81.16,82.27,3197700,81.92
2014-08-05,81.83,82.53,80.57,80.99,4599500,80.65
2014-08-06,80.95,82.12,80.74,81.5,3311300,81.15
2014-08-07,81,81.09,79.16,79.26,5465400,78.92
2014-08-08,79.41,80.19,78.74,80.12,3713400,79.78
2014-08-11,80.39,80.65,79.76,79.87,3460000,79.53
2014-08-12,79.61,80.39,79.53,80.22,3206200,79.88
2014-08-13,80.62,81.67,80.39,81.51,3049900,81.16
2014-08-14,81.71,82.07,80.16,81.82,2241100,81.47
2014-08-15,82.21,82.28,80.81,81.47,2442700,81.13
2014-08-18,81.77,82.48,81.35,82.34,2795800,81.99
2014-08-19,82.49,83.76,82.05,83.47,3549300,83.12
2014-08-20,82.94,83.75,82.36,83.43,2579600,83.08
2014-08-21,83.61,84.1,83.59,83.77,2648500,83.42
2014-08-22,83.6,84,83.46,83.78,2089300,83.43
2014-08-25,84.39,84.75,83.95,84.24,1988100,83.88
2014-08-26,84.45,85.34,84.15,85.12,2267800,84.76
2014-08-27,85.18,86.97,84.96,86.38,5800700,86.01
2014-08-28,86,87,85.52,86.34,2749700,85.97
2014-08-29,86.75,87.23,86.35,86.68,3297500,86.31
2014-09-02,87.12,87.22,85.76,86.39,3726100,86.02
2014-09-03,86.78,87.35,86.42,86.79,2824400,86.42
2014-09-04,86.76,88.45,86.71,87.06,3650100,86.69
2014-09-05,86.95,87.8,86.74,87.75,3873500,87.38
2014-09-08,87.7,88,87.42,87.91,2298000,87.54
2014-09-09,88,88.85,87.49,88.56,4409400,88.18
2014-09-10,88.44,88.5,86.69,87.25,3355800,87.25
2014-09-11,86.76,87.12,86.2,87.08,3034500,87.08
2014-09-12,87.24,87.24,85.86,86.18,2582400,86.18
2014-09-15,86.3,86.82,85.83,86.03,2441800,86.03
