Stock Quotes for UNP,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,128.24,129.33,127.32,128.46,4572800,62.09
2013-01-03,128.25,130.35,128.09,128.64,3647200,62.18
2013-01-04,128.84,130.98,128.3,130.89,2994800,63.26
2013-01-07,130.4,130.49,129.16,130.27,2467200,62.96
2013-01-08,130.09,130.4,129,130.18,2360400,62.92
2013-01-09,130.59,131.78,130.28,130.89,2188200,63.26
2013-01-10,131.1,131.75,129.93,131.09,3252600,63.36
2013-01-11,131.45,132.09,130.68,130.97,3058200,63.3
2013-01-14,131.02,132,130.98,131.34,1664800,63.48
2013-01-15,130.98,131.65,130.41,131.44,1659200,63.53
2013-01-16,130.97,131.81,130.65,131.36,2030600,63.49
2013-01-17,132.2,132.27,131.17,131.67,3135400,63.64
2013-01-18,132.08,132.52,130.8,132.49,4041200,64.04
2013-01-22,132.46,133.82,132.38,133.72,4833400,64.63
2013-01-23,133.52,136.19,133.52,135.35,7295400,65.42
2013-01-24,134.45,135.5,132.13,133.84,8240600,64.69
2013-01-25,134.53,135.42,133.26,134.77,5000400,65.14
2013-01-28,135.2,135.2,132.33,132.87,4223000,64.22
2013-01-29,132.79,134.98,132.7,134.76,5077200,65.13
2013-01-30,133.97,133.97,130.5,131.17,7019000,63.4
2013-01-31,131.26,132.43,130.92,131.46,3792200,63.54
2013-02-01,132.84,134.14,132.38,133.96,4580200,64.75
2013-02-04,132.75,133.48,131.77,131.99,4016200,63.79
2013-02-05,132.5,133.55,132.11,133.14,3359600,64.35
2013-02-06,132.35,133.35,132.35,133.24,3918800,64.4
2013-02-07,133.03,133.33,131.51,132,4032600,63.8
2013-02-08,132.38,133.16,132.2,133.15,3439800,64.35
2013-02-11,133.06,134.26,132.92,133.42,2562400,64.49
2013-02-12,133.48,134.85,133.26,134.67,2777400,65.09
2013-02-13,134.92,135.79,134.81,135.29,4591800,65.39
2013-02-14,134.61,136.18,134.5,136.17,3769200,65.81
