Stock Quotes for UPS,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,75.09,76.31,75.02,76.31,4810800,72.71
2013-01-03,76.25,76.52,75.98,76.38,4528900,72.78
2013-01-04,76.51,76.96,76.41,76.57,2632000,72.96
2013-01-07,76.45,76.7,76.22,76.35,2955900,72.75
2013-01-08,76.16,76.43,75.81,76.14,2653300,72.55
2013-01-09,76.3,77.1,76.25,77,3123900,73.37
2013-01-10,77.16,78.22,77,78.2,4761000,74.51
2013-01-11,78.36,78.43,77.77,77.92,2323800,74.25
2013-01-14,78.66,79.82,78.54,79.24,7255400,75.5
2013-01-15,78.74,79.4,78.58,79.33,3562200,75.59
2013-01-16,79.05,79.71,79,79.66,3018700,75.9
2013-01-17,79.81,80.05,79.6,79.79,3076500,76.03
2013-01-18,79.95,80.31,79.31,80.25,5850000,76.47
2013-01-22,79.95,80.69,79.9,80.68,3310000,76.88
2013-01-23,80.36,80.88,80.22,80.34,3029500,76.55
2013-01-24,80.96,82.49,80.8,82.14,6434300,78.27
2013-01-25,82.39,82.76,81.84,82.45,4211300,78.56
2013-01-28,82.62,82.75,81.86,82.51,3083800,78.62
2013-01-29,82.42,82.5,82.04,82.21,4021600,78.33
2013-01-30,81.94,82.17,81.2,81.23,3877000,77.4
2013-01-31,79.75,80.83,79.25,79.29,9502800,75.55
2013-02-01,79.2,80,79,79.97,5220500,76.2
2013-02-04,79.61,80.25,79.51,79.91,4074200,76.14
2013-02-05,80.24,80.96,80.04,80.8,3394100,76.99
2013-02-06,80.42,80.96,80.28,80.91,3733500,77.1
2013-02-07,80.86,81.81,80.67,81.8,4602400,77.94
2013-02-08,81.75,82.46,81.66,82.38,3805400,78.5
2013-02-11,82.11,82.73,82.11,82.69,3063900,78.79
2013-02-12,83.07,83.08,82.23,82.31,3941800,78.43
2013-02-13,82.44,82.69,82.39,82.5,2926400,78.61
2013-02-14,82.19,82.83,81.89,82.69,3761400,78.79
2013-02-15,83.14,84.11,82.79,83.48,4983000,79.54
2013-02-19,83.5,84.87,83.48,84.76,5442400,80.76
2013-02-20,84.64,84.69,83.81,83.81,4456000,79.86
2013-02-21,82.87,83.14,82.27,82.61,5027400,79.3
2013-02-22,82.99,83.19,82.67,82.94,2394500,79.62
2013-02-25,83.28,83.67,81.94,81.94,3996800,78.66
2013-02-26,82.33,82.51,81.51,81.94,3806400,78.66
2013-02-27,81.84,83.09,81.78,82.83,4015400,79.51
2013-02-28,82.99,83.2,82.65,82.65,3744700,79.34
2013-03-01,82.55,82.99,82.28,82.87,2722800,79.55
2013-03-04,82.85,82.95,82.4,82.93,2737600,79.61
2013-03-05,83.23,84.46,83.12,84.07,3581100,80.7
2013-03-06,84.52,84.74,84.21,84.43,3221500,81.05
2013-03-07,84.44,84.65,83.98,84.3,2404600,80.92
2013-03-08,84.7,84.75,84.24,84.44,2225800,81.06
2013-03-11,84.33,84.95,84.33,84.68,2793400,81.29
2013-03-12,84.8,84.95,84.12,84.53,2503500,81.14
2013-03-13,84.53,85.32,84.48,85.18,2885700,81.77
2013-03-14,85.22,85.7,85.18,85.63,3410800,82.2
2013-03-15,85.15,85.66,84.98,85.47,5015600,82.05
2013-03-18,84.81,85.62,84.59,85.43,3374300,82.01
2013-03-19,85.56,85.85,84.82,85.08,3640300,81.67
2013-03-20,84.17,84.96,83.83,84.03,5285400,80.67
2013-03-21,83.79,84.15,82.67,83,5824100,79.68
2013-03-22,83.3,84.86,83.27,84.76,4667000,81.37
