Stock Quotes for USB,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,43.45,43.66,43.33,43.34,5584600,43.09
2014-07-02,43.17,43.45,43.13,43.25,4485100,43
2014-07-03,43.67,43.75,43.46,43.59,3519100,43.33
2014-07-07,43.53,43.71,43.4,43.48,4311700,43.23
2014-07-08,43.23,43.47,43.1,43.19,5982800,42.94
2014-07-09,43.36,43.44,43.14,43.38,5753900,43.13
2014-07-10,43.08,43.19,42.88,43.1,5242000,42.85
2014-07-11,42.98,43.22,42.81,43.18,5091000,42.93
2014-07-14,43.51,43.64,43.01,43.05,4477900,42.8
2014-07-15,42.97,43.42,42.96,43.3,9467100,43.05
2014-07-16,43.42,43.49,42.36,42.53,9454300,42.28
2014-07-17,42.22,42.32,41.58,41.61,11589200,41.37
2014-07-18,41.82,42.31,41.79,42.17,7856100,41.92
2014-07-21,42.01,42.21,41.95,42.12,5008800,41.87
2014-07-22,42.3,42.55,42.22,42.25,6149600,42
2014-07-23,42.26,42.53,42.22,42.46,4399500,42.21
2014-07-24,42.54,42.84,42.48,42.73,4385800,42.48
2014-07-25,42.54,42.82,42.5,42.75,5386000,42.5
2014-07-28,42.7,42.7,42.31,42.57,6284900,42.32
2014-07-29,42.61,42.97,42.43,42.64,5649400,42.39
2014-07-30,42.83,43.1,42.66,42.92,5542000,42.67
2014-07-31,42.64,42.78,42.01,42.03,8403000,41.78
2014-08-01,41.85,42.08,41.29,41.33,8252000,41.09
2014-08-04,41.48,41.67,41.24,41.64,5052700,41.4
2014-08-05,41.42,41.64,41.02,41.17,5240800,40.93
2014-08-06,41.02,41.36,40.99,41.08,6443100,40.84
2014-08-07,41.16,41.25,40.58,40.68,5578600,40.44
2014-08-08,40.78,41.2,40.68,41.18,6066900,40.94
2014-08-11,41.21,41.28,40.89,40.96,3805500,40.72
2014-08-12,40.9,41.3,40.85,41.16,6327300,40.92
2014-08-13,41.34,41.46,41.16,41.36,4577100,41.12
2014-08-14,41.35,41.61,41.34,41.6,3528600,41.36
2014-08-15,41.7,41.78,41.06,41.27,5761100,41.03
2014-08-18,41.51,41.82,41.43,41.72,3552300,41.48
2014-08-19,41.66,41.87,41.53,41.84,4194100,41.6
2014-08-20,41.67,41.78,41.46,41.71,5102000,41.47
2014-08-21,41.78,42.24,41.73,42.19,4371600,41.94
2014-08-22,42.05,42.47,41.98,42.03,3946600,41.78
2014-08-25,42.19,42.42,42.19,42.25,4583800,42
2014-08-26,42.3,42.61,42.27,42.41,3945700,42.16
2014-08-27,42.4,42.49,42.1,42.2,2748000,41.95
2014-08-28,41.97,42.19,41.93,42.06,2407000,41.81
2014-08-29,42.23,42.3,41.99,42.28,3381700,42.03
2014-09-02,42.34,42.4,42.07,42.27,3600600,42.02
2014-09-03,42.48,42.51,42.01,42.12,4391400,41.87
2014-09-04,42.08,42.56,42.05,42.24,4609900,41.99
2014-09-05,42.12,42.22,41.89,42.13,7807500,41.88
2014-09-08,42.19,42.2,41.87,42.03,5979700,41.78
2014-09-09,41.88,41.91,41.48,41.6,6252500,41.36
2014-09-10,41.63,41.91,41.62,41.84,5184800,41.6
2014-09-11,41.75,42.13,41.72,42.1,4235600,41.85
2014-09-12,42.02,42.41,41.97,42.2,7803200,41.95
2014-09-15,42.15,42.52,42.14,42.37,5015100,42.12
