Stock Quotes for UTX,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,115.97,116.47,115.5,115.93,3245300,115.28
2014-07-02,115.98,115.98,114.7,115.14,3821500,114.49
2014-07-03,115.52,116,115.39,115.53,1746000,114.88
2014-07-07,115.61,115.8,114.71,115.1,3779200,114.45
2014-07-08,114.75,115.1,113.95,114.07,2861900,113.43
2014-07-09,114.35,114.5,113.38,113.84,3358400,113.2
2014-07-10,112.79,113.92,112.44,113.51,3654800,112.87
2014-07-11,113.8,114.55,113.54,114.13,3697600,113.49
2014-07-14,114.98,115.35,114.67,114.88,3017400,114.23
2014-07-15,115.16,116.25,114.64,114.84,4488700,114.19
2014-07-16,115.27,115.27,114.23,114.36,3503700,113.72
2014-07-17,113.93,114.11,112.72,112.77,4875600,112.14
2014-07-18,113.01,113.66,112.79,113.57,4244900,112.93
2014-07-21,113.42,113.5,112.57,112.98,5187800,112.34
2014-07-22,113.86,114,109.11,110.86,10527200,110.24
2014-07-23,110.65,110.91,109.55,109.73,6990800,109.11
2014-07-24,110,110.19,108.79,108.95,6811900,108.34
2014-07-25,108.64,109.2,108.43,108.88,4348900,108.27
2014-07-28,109.01,109.17,108.08,108.99,5391400,108.38
2014-07-29,108.81,109.25,107.21,107.33,5480700,106.73
2014-07-30,107.81,108.15,106.07,106.38,5977500,105.78
2014-07-31,105.7,106.57,105.1,105.15,6528500,104.56
2014-08-01,104.92,105.81,104.25,104.75,4731300,104.16
2014-08-04,105.04,105.34,104.4,105.05,3982700,104.46
2014-08-05,104.82,105.72,104.48,105.02,5579300,104.43
2014-08-06,104.25,104.55,103.14,103.79,5408700,103.21
2014-08-07,104.39,104.57,103.74,104.22,4155700,103.63
2014-08-08,104.67,105.98,104.12,105.96,4479800,105.36
2014-08-11,106.57,106.85,105.68,105.72,3262600,105.13
2014-08-12,105.35,105.8,104.77,104.91,4352900,104.32
2014-08-13,104.78,105.77,104.78,105.56,3487700,105.56
2014-08-14,105.55,106.05,105.5,105.77,2327200,105.77
2014-08-15,106.31,106.36,104.94,105.63,3106700,105.63
2014-08-18,106.66,108.12,106.48,108.09,5036900,108.09
2014-08-19,108.18,108.58,107.69,108.56,3961600,108.56
2014-08-20,108.6,109.87,108.56,109.71,4502200,109.71
2014-08-21,110,110.22,109.5,110.06,2847600,110.06
2014-08-22,109.79,109.94,109.24,109.39,2364900,109.39
2014-08-25,109.68,110.15,109.68,109.82,1732800,109.82
2014-08-26,109.9,110.17,109.64,109.68,2022500,109.68
2014-08-27,110.2,110.34,108.87,109.09,2548100,109.09
2014-08-28,108.8,109.23,108.28,109.11,2124200,109.11
2014-08-29,109.11,109.35,107.71,107.98,4717300,107.98
2014-09-02,108.26,109.07,107.72,109.04,4142800,109.04
2014-09-03,109.99,110,108.82,109.2,2629700,109.2
2014-09-04,109.49,109.65,109.06,109.22,2856600,109.22
2014-09-05,109.51,109.51,108.38,108.7,2793100,108.7
2014-09-08,108.9,108.94,108.48,108.6,3785400,108.6
2014-09-09,108.76,108.98,108.41,108.67,2114600,108.67
2014-09-10,108.67,109.22,108.09,108.5,2364600,108.5
2014-09-11,108.28,108.73,108.05,108.51,2270600,108.51
2014-09-12,108.21,108.64,107.95,108.35,2920400,108.35
2014-09-15,108.28,108.47,107.75,108.32,2515000,108.32
