Stock Quotes for V,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,211.95,215.35,211.83,214.25,2748400,213.84
2014-07-02,214.88,215.49,214.25,214.84,1442200,214.43
2014-07-03,215.31,217,215.1,216.51,1392900,216.1
2014-07-07,216.43,217.55,215.64,216.74,1653100,216.33
2014-07-08,216.77,216.89,213.15,215.26,3037300,214.85
2014-07-09,215.5,216.28,214.51,216.16,1294300,215.75
2014-07-10,213.8,216.89,212.68,215.54,2134200,215.13
2014-07-11,215.95,217.04,214.37,217,1424200,216.59
2014-07-14,218.75,222.36,217.65,221.03,3429100,220.61
2014-07-15,221.67,224.75,220.9,221.78,2725200,221.36
2014-07-16,222.94,223.16,221.08,222.67,2213300,222.25
2014-07-17,221.94,222,217.83,217.88,2451500,217.47
2014-07-18,219.18,221.89,218.92,220.2,2767000,219.78
2014-07-21,219.53,220.13,218.51,219.22,1542100,218.8
2014-07-22,220.92,222.59,220.61,221.26,1924800,220.84
2014-07-23,221.49,222.54,220.68,221.2,2047300,220.78
2014-07-24,223.39,223.85,221.83,222.74,2986900,222.32
2014-07-25,214.1,216.7,211.34,214.77,6882600,214.36
2014-07-28,214.42,214.96,213.12,214.22,2600400,213.81
2014-07-29,214.4,215.71,213.33,213.5,2644300,213.09
2014-07-30,213.49,214.79,213.45,214.06,2605700,213.65
2014-07-31,213.27,213.36,211.01,211.01,3468500,210.61
2014-08-01,209.87,213.06,209.78,211.81,3525000,211.41
2014-08-04,212.85,213.17,211.52,212.16,2019900,211.76
2014-08-05,211.5,212.39,209.17,210.54,2787800,210.14
2014-08-06,209.98,211.38,209.81,210.69,1882100,210.29
2014-08-07,211.18,211.45,208.6,209.04,2392000,208.64
2014-08-08,208.88,210.55,208.21,210.46,2314200,210.06
2014-08-11,211.04,211.22,210.03,210.58,2254600,210.18
2014-08-12,210.09,211.2,209.45,210.3,1610500,209.9
2014-08-13,210.95,212.1,210.46,211.43,1614500,211.43
2014-08-14,212.09,212.59,211.31,212.52,1784200,212.52
2014-08-15,212.89,213.32,209.93,210.19,2249900,210.19
2014-08-18,211.49,214.43,211.27,214.32,2088100,214.32
2014-08-19,214.75,215.69,214.13,215,2053100,215
2014-08-20,214.58,216.44,214.43,216.2,1824200,216.2
2014-08-21,216.5,216.97,215.71,215.75,1386000,215.75
2014-08-22,216.2,216.95,215.3,216.09,1786400,216.09
2014-08-25,217.2,217.32,215.85,216.02,1240600,216.02
2014-08-26,216.49,218,216.18,216.73,1724500,216.73
2014-08-27,217.12,217.53,215.29,217.13,1990200,217.13
2014-08-28,215,215.74,213.77,214.6,2747200,214.6
2014-08-29,214.56,215,212.1,212.52,3661500,212.52
2014-09-02,213.41,214.97,212.71,214.73,2016600,214.73
2014-09-03,215.07,216.16,214.31,214.9,1947100,214.9
2014-09-04,215.44,216.12,214,214.26,2373100,214.26
2014-09-05,214.36,214.37,213.1,214.21,2050700,214.21
2014-09-08,214.01,216.22,213.5,215.77,2566600,215.77
2014-09-09,215.29,215.47,214,214.28,1832200,214.28
2014-09-10,214.07,218.65,214.04,216.88,3161700,216.88
2014-09-11,216.7,216.75,214.45,214.95,2215300,214.95
2014-09-12,214.88,215.75,212.75,214.04,2177700,214.04
2014-09-15,213.85,215.61,213.85,214.64,1759200,214.64
