Stock Quotes for WAG,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,47.72,48.53,46.56,48.5,6661600,47.23
2013-06-04,48.27,48.95,47.95,48.03,6093400,46.77
2013-06-05,48.68,49.31,48.58,48.63,6227400,47.36
2013-06-06,48.64,48.97,47.64,48.24,7411900,46.98
2013-06-07,48.68,49.51,48.55,49.42,4596100,48.12
2013-06-10,49.46,49.98,49.35,49.65,3646200,48.35
2013-06-11,49.37,49.85,49.15,49.54,3871100,48.24
2013-06-12,49.75,50,49.22,49.34,3328400,48.05
2013-06-13,49.38,50.17,49.23,50.07,2972900,48.76
2013-06-14,49.93,50.79,49.77,50.18,3597900,48.86
2013-06-17,50.36,50.66,49.95,50.38,3441200,49.06
2013-06-18,50.41,51.1,50.16,50.9,3605400,49.57
2013-06-19,50.84,51.22,50.21,50.23,3763000,48.91
2013-06-20,49.97,50,48.22,48.34,5533300,47.07
2013-06-21,48.77,49.31,48.23,48.71,5844100,47.43
2013-06-24,48.08,48.68,47.51,48.05,6374400,46.79
2013-06-25,45.17,45.58,44.04,45.22,22560000,44.03
2013-06-26,45.39,45.89,44.96,45.01,12176700,43.83
2013-06-27,45.15,45.17,44.67,44.9,7470400,43.72
2013-06-28,45.1,45.1,44.13,44.2,15231500,43.04
2013-07-01,44.97,45.11,44.22,44.34,6262400,43.18
2013-07-02,44.32,44.51,44.2,44.46,7193000,43.29
2013-07-03,43.86,44.17,43.31,44.12,4391800,42.96
2013-07-05,44.3,44.47,43.67,44.25,4493200,43.09
2013-07-08,44.59,45.37,44.41,45.33,6831100,44.14
2013-07-09,45.54,46.7,45.26,46.45,10629000,45.23
2013-07-10,46.39,48.24,46.06,47.85,16537200,46.6
2013-07-11,48.93,49.47,48.35,48.7,11281400,47.42
2013-07-12,48.68,48.9,48.24,48.76,6444600,47.48
2013-07-15,48.88,49.3,48.66,49.27,4004000,47.98
2013-07-16,49.01,49.55,48.76,49.26,3910000,47.97
2013-07-17,49.53,49.95,49.29,49.73,5092900,48.43
2013-07-18,49.69,51.45,49.62,50.54,12376400,49.22
2013-07-19,50.6,50.76,50.03,50.61,5607300,49.28
2013-07-22,50.85,51.62,50.5,51.26,5396100,49.92
2013-07-23,51.23,51.35,50.9,51.01,3793700,49.67
2013-07-24,51.19,51.25,50.75,51.08,2970000,49.74
2013-07-25,50.89,51.15,50.4,51.01,4509000,49.67
2013-07-26,50.81,51.22,50.42,50.82,4028800,49.49
2013-07-29,50.79,51,50.59,50.62,3314800,49.29
2013-07-30,50.91,51.25,49.87,50.01,5119800,48.7
2013-07-31,50.03,50.48,49.56,50.25,5339600,48.93
