Stock Quotes for WMB,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,35.22,35.35,34.76,34.95,8421500,32.92
2013-06-04,34.86,35.11,34.34,34.46,7135100,32.46
2013-06-05,34.24,34.6,33.93,34.14,11237600,32.49
2013-06-06,34.06,34.87,34,34.85,8889800,33.17
2013-06-07,34.98,35.32,34.91,35.23,6363300,33.53
2013-06-10,35.36,35.37,34.67,34.72,4571600,33.05
2013-06-11,34.33,34.43,34,34.08,5605300,32.44
2013-06-12,34.36,34.72,33.95,34.03,4822600,32.39
2013-06-13,34.01,34.25,32.54,33.7,20606200,32.07
2013-06-14,33.65,33.66,33.24,33.31,8973100,31.7
2013-06-17,33.48,33.76,33.31,33.64,7457200,32.02
2013-06-18,33.15,33.48,33.07,33.24,7176100,31.64
2013-06-19,33.3,33.35,32.59,32.61,6435100,31.04
2013-06-20,32.22,32.24,31.67,31.75,9034800,30.22
2013-06-21,31.98,32.35,31.59,32.29,11573700,30.73
2013-06-24,32,32.13,31.25,31.65,10898300,30.12
2013-06-25,31.91,32.36,31.78,31.9,7561700,30.36
2013-06-26,33.29,33.94,32.56,32.65,8251400,31.08
2013-06-27,32.78,33.14,32.49,32.58,4815800,31.01
2013-06-28,32.55,32.85,32.47,32.47,7983600,30.9
2013-07-01,32.65,32.94,32.36,32.52,5306700,30.95
2013-07-02,32.56,33.24,32.47,32.98,5346000,31.39
2013-07-03,32.88,32.94,32.46,32.82,1861700,31.24
2013-07-05,32.92,33.02,32.48,32.68,3490700,31.1
2013-07-08,32.81,33.26,32.81,33.26,3335300,31.66
2013-07-09,33.48,33.63,33.31,33.53,3236200,31.91
2013-07-10,33.58,33.7,33.11,33.18,4709300,31.58
2013-07-11,33.51,33.93,33.43,33.79,5769300,32.16
2013-07-12,33.84,33.88,33.53,33.82,3107200,32.19
2013-07-15,33.78,34.01,33.62,33.81,3472300,32.18
2013-07-16,33.86,33.91,33.29,33.48,5053000,31.87
2013-07-17,33.64,33.78,33.29,33.5,4739600,31.88
2013-07-18,33.65,34.09,33.62,34,6609200,32.36
2013-07-19,34.12,34.66,33.95,34.28,5624200,32.63
2013-07-22,34.2,34.62,34.18,34.49,3473200,32.83
