Stock Quotes for WMT,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,75.27,75.42,74.75,75.28,6604500,74.79
2014-07-02,75.26,75.9,75.25,75.62,4366800,75.13
2014-07-03,75.61,76.05,75.52,75.75,2874000,75.25
2014-07-07,75.69,76.21,75.55,76.07,5028000,75.57
2014-07-08,76.09,76.98,76.03,76.65,7960500,76.15
2014-07-09,76.77,77.33,76.62,77.21,6240100,76.7
2014-07-10,76.91,77.57,76.91,77.06,5372500,76.56
2014-07-11,76.87,76.97,76.56,76.82,4547500,76.32
2014-07-14,77.13,77.25,76.48,76.55,4822900,76.05
2014-07-15,76.56,76.93,76.56,76.84,4656900,76.34
2014-07-16,76.9,77.05,76.7,76.86,3743500,76.36
2014-07-17,76.58,77.05,76.44,76.61,4630300,76.11
2014-07-18,76.62,77.1,76.51,77.09,4913300,76.59
2014-07-21,76.76,76.91,76.48,76.77,3457600,76.27
2014-07-22,76.84,76.89,76.4,76.64,4383200,76.14
2014-07-23,76.63,77.06,76.59,76.99,3994300,76.49
2014-07-24,76.68,76.79,76.19,76.35,7228300,75.85
2014-07-25,76.19,76.36,75.8,75.97,3948400,75.47
2014-07-28,75.43,75.93,75.36,75.71,5509900,75.21
2014-07-29,75.21,76.01,75.15,75.44,6293500,74.95
2014-07-30,75.88,75.92,74.67,74.78,9977200,74.29
2014-07-31,73.99,74.25,73.54,73.58,9631600,73.1
2014-08-01,73.32,73.88,73.22,73.54,8223900,73.06
2014-08-04,73.38,73.63,73.06,73.54,5402100,73.06
2014-08-05,73.31,73.52,72.77,73.34,10579900,72.86
2014-08-06,73.19,74.29,73.18,74.2,7934800,74.2
2014-08-07,74.34,74.81,73.76,73.95,7049000,73.95
2014-08-08,74.06,74.73,73.85,74.67,4996300,74.67
2014-08-11,74.29,74.6,74.02,74.36,4721400,74.36
2014-08-12,74.31,74.44,74.01,74.22,3928200,74.22
2014-08-13,74.27,74.41,73.51,74.03,6619100,74.03
2014-08-14,73.89,74.43,73.61,74.39,6136300,74.39
2014-08-15,74.65,74.65,73.49,73.9,6942700,73.9
2014-08-18,74.15,74.68,74.05,74.49,4015700,74.49
2014-08-19,74.81,74.94,74.14,74.88,5047900,74.88
2014-08-20,74.83,75.05,74.51,74.96,4898300,74.96
2014-08-21,75.06,75.91,75,75.55,5236800,75.55
2014-08-22,75.78,76.2,75.64,75.73,4112700,75.73
2014-08-25,75.93,76.02,75.51,75.69,3383300,75.69
2014-08-26,75.83,76.15,75.44,75.52,4206400,75.52
2014-08-27,75.51,75.86,75.44,75.85,3174600,75.85
2014-08-28,75.47,75.94,75.47,75.9,2923700,75.9
2014-08-29,75.75,75.88,75.29,75.5,5041700,75.5
2014-09-02,75.42,75.94,75.41,75.75,4507800,75.75
2014-09-03,75.95,76.33,75.88,76.01,4647100,76.01
2014-09-04,76.16,76.6,76.11,76.56,5224000,76.56
2014-09-05,76.52,77.73,76.48,77.51,7841800,77.51
2014-09-08,77.13,77.32,76.43,76.53,5938900,76.53
2014-09-09,76.56,77,76.17,76.74,5616300,76.74
2014-09-10,76.79,77.08,76.37,76.51,6659900,76.51
2014-09-11,76.35,76.44,76.09,76.1,4953300,76.1
2014-09-12,75.97,76.05,75.66,75.77,5652300,75.77
2014-09-15,75.78,75.89,75.61,75.81,3717900,75.81
