Stock Quotes for XOM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,87.79,88.72,87.24,88.71,16143700,84.58
2013-01-03,88.46,88.89,88.16,88.55,13268200,84.43
2013-01-04,88.5,89.09,88.37,88.96,11427900,84.82
2013-01-07,88.31,88.49,87.57,87.93,11799800,83.83
2013-01-08,87.82,88.48,87.29,88.48,14226400,84.36
2013-01-09,88.4,88.54,87.75,88.14,10892200,84.03
2013-01-10,88.75,89.48,88.37,89.1,13099600,84.95
2013-01-11,88.97,89.71,88.86,89.61,11645600,85.44
2013-01-14,89.46,89.75,89.32,89.58,9606700,85.41
2013-01-15,89.18,89.61,89,89.53,9195400,85.36
2013-01-16,89.16,89.48,89.07,89.47,9645000,85.3
2013-01-17,89.76,90.94,89.6,90.2,13400300,86
2013-01-18,90.09,90.83,89.83,90.8,17196000,86.57
2013-01-22,90.27,90.94,90.21,90.92,11897500,86.69
2013-01-23,90.5,90.88,90.42,90.7,10906800,86.48
2013-01-24,90.88,91.72,90.75,91.35,11100000,87.1
2013-01-25,91.57,91.8,91.13,91.73,11090600,87.46
2013-01-28,91.67,91.67,90.77,91.11,11617500,86.87
2013-01-29,91.21,91.93,91.2,91.76,11700600,87.49
2013-01-30,91.17,91.72,90.38,90.67,15645400,86.45
2013-01-31,90.69,91.21,89.74,89.97,15991500,85.78
2013-02-01,90.44,90.5,89.36,90.04,15699200,85.85
2013-02-04,89.41,89.62,88.84,89.15,13347300,85
2013-02-05,89.88,90.19,89.42,89.74,11679700,85.56
2013-02-06,89.37,89.89,89.16,89.79,11768700,85.61
2013-02-07,89.21,89.22,87.61,88.25,13463300,84.68
2013-02-08,88.5,88.8,88.11,88.61,11412300,85.02
2013-02-11,88.35,88.51,87.97,88.28,8764700,84.71
2013-02-12,88.25,88.62,87.92,88.46,9752100,84.88
2013-02-13,88.46,88.77,88.24,88.67,8940300,85.08
2013-02-14,88.34,88.81,88.06,88.52,13238900,84.94
2013-02-15,88.57,88.61,87.8,88.36,15696900,84.78
2013-02-19,88.54,89.41,88.38,89.32,12158900,85.7
2013-02-20,89.14,89.82,88.9,88.97,13936400,85.37
2013-02-21,88.79,89.02,88.36,88.59,10939800,85
2013-02-22,89.02,89.28,88.4,89.2,10260200,85.59
2013-02-25,89.88,90.19,87.7,87.7,15302900,84.15
2013-02-26,88.5,88.98,87.76,88.51,15073200,84.93
2013-02-27,88.5,89.65,88.31,89.53,11195200,85.91
2013-02-28,89.67,89.81,89.03,89.55,14552000,85.92
2013-03-01,89.07,89.68,88.92,89.43,11301600,85.81
2013-03-04,89.13,89.25,88.46,88.95,10994000,85.35
2013-03-05,89.48,90.15,89.29,89.61,13072600,85.98
2013-03-06,89.6,89.95,89.05,89.56,13234400,85.93
2013-03-07,89.63,89.76,88.68,88.71,12905300,85.12
2013-03-08,89.01,89.23,88.35,88.97,11896300,85.37
2013-03-11,89.01,89.55,88.54,89.16,12454800,85.55
2013-03-12,89.45,89.91,89.01,89.16,11470000,85.55
2013-03-13,89.02,89.5,88.83,89.26,10539900,85.65
2013-03-14,89.41,89.91,89.41,89.83,13775500,86.19
2013-03-15,89.2,89.61,88.79,89.37,29240100,85.75
2013-03-18,88.74,89.39,88.55,88.77,11553700,85.18
2013-03-19,88.89,89.09,88.02,88.58,11987900,84.99
