Stock Quotes for ACN,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,67.59,69.06,67.55,69.06,4040500,66.63
2013-01-03,68.76,69.36,68.59,68.81,3340700,66.39
2013-01-04,68.92,69.61,68.32,69.19,3145600,66.76
2013-01-07,68.58,68.94,68.35,68.89,2262800,66.47
2013-01-08,68.76,69.46,68.66,69.29,2502800,66.85
2013-01-09,69.3,69.8,69.25,69.78,2599000,67.33
2013-01-10,69.85,69.85,68.72,69.17,2773900,66.74
2013-01-11,69.69,70.27,69.53,69.88,2542800,67.42
2013-01-14,69.79,70.25,69.36,69.86,2340600,67.4
2013-01-15,69.73,70.35,69.69,70.25,2621600,67.78
2013-01-16,69.71,70.29,69.71,69.89,2382000,67.43
2013-01-17,70.2,70.23,69.78,69.89,1743900,67.43
2013-01-18,69.67,70.12,69.41,70.11,2271600,67.64
2013-01-22,69.79,70.46,69.79,70.46,3331900,67.98
2013-01-23,70.55,71.46,70.44,71.25,3591100,68.74
2013-01-24,71.29,71.98,70.68,71.34,2608500,68.83
2013-01-25,71.5,72.24,71.01,72.21,2908200,69.67
2013-01-28,72.87,72.87,71.76,72.1,3420600,69.56
2013-01-29,72.09,72.1,71.48,71.7,2564500,69.18
2013-01-30,71.74,72.68,71.65,72.34,2321800,69.8
2013-01-31,72.06,72.8,71.89,71.89,2454700,69.36
2013-02-01,72.49,73.91,72.49,73.8,3158800,71.2
2013-02-04,72.56,73.64,72.44,72.82,3185700,70.26
2013-02-05,73.36,73.69,72.9,73.36,2531200,70.78
2013-02-06,72.91,72.98,72,72.42,2706100,69.87
2013-02-07,72.21,73,71.58,72.95,2973700,70.38
2013-02-08,73.01,73.71,72.82,73.31,2000100,70.73
2013-02-11,73.09,73.27,72.1,73.07,1880100,70.5
2013-02-12,72.89,73.5,72.58,73.37,1710300,70.79
2013-02-13,73.32,73.71,73.2,73.56,1884700,70.97
2013-02-14,73.21,73.5,72.66,73.13,2096100,70.56
2013-02-15,73.08,74.16,73,74.16,3221900,71.55
2013-02-19,74.28,75.46,73.83,75.4,2787600,72.75
2013-02-20,75.4,75.97,75,75,2639900,72.36
2013-02-21,74.69,74.75,73.45,73.85,2647600,71.25
2013-02-22,74.15,74.8,73.95,74.8,1930700,72.17
2013-02-25,75.17,75.52,73.91,73.91,2835000,71.31
2013-02-26,74.32,74.68,73.55,73.83,1970600,71.23
2013-02-27,74,74.63,73.39,74.41,2199900,71.79
2013-02-28,74.52,75.14,74.27,74.36,2365400,71.74
2013-03-01,74.13,74.95,73.62,74.82,1678100,72.19
2013-03-04,74.53,75.28,74.25,75.24,1825700,72.59
2013-03-05,75.56,77,75.5,76.92,2536600,74.21
2013-03-06,77.03,77.6,76.92,77.41,2000100,74.69
2013-03-07,77.29,77.84,76.87,77.57,2565800,74.84
2013-03-08,77.98,78.46,77.39,78.35,1877900,75.59
2013-03-11,78.38,78.43,77.63,78.3,1752200,75.55
2013-03-12,78.26,78.4,77.63,78.02,1645300,75.28
2013-03-13,78,78.12,77.46,77.93,1789700,75.19
2013-03-14,78.08,78.37,77.86,78.26,1959300,75.51
2013-03-15,77.88,78.17,76.52,76.6,6129300,73.91
2013-03-18,75.87,77.27,75.86,76.81,2578400,74.11
2013-03-19,77.16,77.22,75.81,76.18,2801700,73.5
2013-03-20,76.34,76.8,76.13,76.49,2497500,73.8
2013-03-21,75.83,76,74.07,74.3,3844700,71.69
2013-03-22,74.3,74.74,73.33,73.88,3308100,71.28
2013-03-25,74.2,74.32,73.22,73.41,3397400,70.83
2013-03-26,74,74.73,73.84,74.54,2040600,71.92
2013-03-27,74.18,75.04,74.1,74.88,2481200,72.25
2013-03-28,73.79,76.14,72.42,75.97,4040700,73.3
2013-04-01,76.07,76.45,75.55,75.85,2017100,73.18
2013-04-02,76.1,76.98,75.91,76.67,2686700,73.97
2013-04-03,76.84,77,76.13,76.6,2986600,73.91
2013-04-04,76.86,76.92,76.31,76.61,1796400,73.92
2013-04-05,75.76,76.36,75.52,76.25,2077200,73.57
2013-04-08,76.14,76.62,75.9,76.55,1950800,73.86
2013-04-09,76.76,76.95,75.93,76.21,1975500,73.53
2013-04-10,75.56,77.12,75.5,77.01,3405900,75.1
2013-04-11,76.97,77.94,76.81,77.78,2533900,75.85
2013-04-12,77,77.37,76.17,77.23,2985200,75.31
2013-04-15,76.93,77.06,75.23,75.24,2929100,73.37
2013-04-16,76,77.56,75.61,77.49,3439600,75.57
2013-04-17,76.79,77.23,76.42,76.7,3184300,74.8
2013-04-18,76.99,77.15,75.48,75.57,3530000,73.7
2013-04-19,75.02,75.39,74.21,74.74,5591800,72.89
2013-04-22,75,75.13,74.19,74.94,2333800,73.08
2013-04-23,75.29,77.2,75.01,76.3,3285900,74.41
