Stock Quotes for ALL,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,40.9,41.17,40.65,41.16,3176100,39.74
2013-01-03,41.2,41.63,40.95,41.58,2794600,40.15
2013-01-04,41.59,42.36,41.45,42.2,3019200,40.75
2013-01-07,42.07,42.1,41.48,41.74,2250600,40.3
2013-01-08,41.62,41.83,41.47,41.83,2406500,40.39
2013-01-09,41.84,42.42,41.8,42.23,3067800,40.78
2013-01-10,42.49,42.66,42.39,42.58,3104200,41.11
2013-01-11,42.74,43,42.45,42.96,2552200,41.48
2013-01-14,42.94,42.98,42.61,42.93,2037500,41.45
2013-01-15,42.57,43,42.57,42.91,1608400,41.43
2013-01-16,42.81,43.18,42.69,42.78,2255400,41.31
2013-01-17,42.86,43.34,42.72,43.09,3540000,41.61
2013-01-18,43.16,43.24,42.88,43.21,3340300,41.72
2013-01-22,43.44,44.25,43.44,44.2,3907700,42.68
2013-01-23,44.07,44.2,43.72,43.83,3589100,42.32
2013-01-24,43.87,44,43.52,43.57,3809000,42.07
2013-01-25,43.66,43.99,43.57,43.91,2274400,42.4
2013-01-28,43.97,43.97,43.45,43.53,2526900,42.03
2013-01-29,43.51,43.88,43.4,43.82,2619500,42.31
2013-01-30,43.82,44.5,43.63,44.21,3668900,42.69
2013-01-31,44.19,44.35,43.8,43.9,3260700,42.39
2013-02-01,44.22,44.99,44.09,44.84,3112700,43.3
2013-02-04,44.5,44.59,43.85,43.93,3140400,42.42
2013-02-05,44.13,44.46,44.12,44.31,1927700,42.78
2013-02-06,44.05,44.34,43.91,44.31,3163400,42.78
2013-02-07,45.67,46.1,44.51,45.06,7147000,43.51
2013-02-08,45.05,45.29,44.89,45.14,3511000,43.59
2013-02-11,45.03,45.45,44.91,45.25,2357700,43.69
2013-02-12,45.19,45.67,45.15,45.61,2700100,44.04
2013-02-13,45.59,45.91,45.48,45.88,2424700,44.3
2013-02-14,45.68,46.08,45.46,45.88,3968800,44.3
2013-02-15,45.99,46.19,45.72,45.85,3812800,44.27
2013-02-19,45.85,46.75,45.85,46.74,4273900,45.13
2013-02-20,46.71,47.08,46.35,46.41,5044100,44.81
