Stock Quotes for CMCSA,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,38.05,38.57,38.05,38.52,17623200,37.37
2013-01-03,38.49,38.58,37.98,38.09,11403800,36.95
2013-01-04,38.2,38.29,37.9,38.07,9517500,36.93
2013-01-07,37.85,38.04,37.65,37.9,9517000,36.77
2013-01-08,37.72,38.16,37.21,38.16,16755200,37.02
2013-01-09,38.25,38.55,38.12,38.42,9814000,37.27
2013-01-10,38.65,38.76,38.25,38.5,10497800,37.35
2013-01-11,38.39,38.58,38.28,38.46,6977800,37.31
2013-01-14,38.5,38.93,38.47,38.92,8626900,37.76
2013-01-15,38.87,39.22,38.71,39.2,12442100,38.03
2013-01-16,39.06,39.29,38.98,39.18,8854400,38.01
2013-01-17,39.34,40.04,39.22,39.95,11103300,38.76
2013-01-18,39.92,40.28,39.74,40.27,11771700,39.07
2013-01-22,40.18,40.25,39.6,39.81,13542300,38.62
2013-01-23,39.89,40.12,39.8,40,9539900,38.8
2013-01-24,40.22,40.25,39.57,39.58,12619300,38.4
2013-01-25,39.92,39.92,39.5,39.76,10395500,38.57
2013-01-28,39.9,39.91,39.51,39.57,9767500,38.39
2013-01-29,39.59,39.59,38.95,39.11,14897900,37.94
2013-01-30,39.28,39.34,38.86,39.03,15038100,37.86
2013-01-31,38.5,38.93,37.89,38.08,25015700,36.94
2013-02-01,38.4,38.62,38.13,38.6,15353600,37.45
2013-02-04,38.45,38.51,37.81,38.19,16171300,37.05
2013-02-05,38.48,39.47,38.22,39.24,16357500,38.07
2013-02-06,39.12,39.15,38.6,38.73,11499800,37.57
2013-02-07,38.67,38.74,38.08,38.62,13031300,37.47
2013-02-08,38.69,38.88,38.55,38.75,15393500,37.59
2013-02-11,38.73,38.77,38.39,38.64,7343200,37.48
2013-02-12,38.6,39.03,38.31,38.97,17427800,37.81
2013-02-13,41.87,42,39.84,40.13,57068300,38.93
2013-02-14,40.39,40.68,39.9,40.34,21813700,39.13
2013-02-15,40.27,41.26,40.27,41.24,19953000,40.01
2013-02-19,41.27,41.57,41.2,41.45,17090400,40.21
2013-02-20,41.52,41.73,40.92,40.95,15627900,39.73
2013-02-21,40.72,40.83,39.96,40.08,13057900,38.88
2013-02-22,39.82,40.09,39.63,39.91,14252800,38.72
2013-02-25,40.06,40.32,39.33,39.41,18045600,38.23
2013-02-26,39.52,39.77,39.45,39.69,12820100,38.5
2013-02-27,39.77,40.33,39.45,40.15,9328100,38.95
2013-02-28,40.07,40.38,39.79,39.79,12348300,38.6
2013-03-01,39.72,40.06,39.46,40.03,12236800,38.83
2013-03-04,39.87,40.48,39.63,40.38,9775700,39.17
2013-03-05,40.7,41.04,40.63,40.95,12353900,39.73
2013-03-06,41.15,41.31,40.72,40.85,7831900,39.63
2013-03-07,40.83,40.99,40.61,40.62,6674100,39.41
2013-03-08,40.86,41.17,40.47,41,11391300,39.77
2013-03-11,40.83,41.14,40.72,41.13,8461900,39.9
2013-03-12,41.07,41.07,40.51,40.72,14407600,39.5
2013-03-13,40.79,40.82,40.33,40.59,8661900,39.38
2013-03-14,40.79,41.24,40.56,41.16,14188600,39.93
2013-03-15,40.87,41.24,40.59,40.71,17649800,39.49
2013-03-18,40.25,40.5,39.85,40.37,13026900,39.16
2013-03-19,40.35,40.44,39.53,40.13,16238100,38.93
2013-03-20,40.51,41.09,40.45,40.98,12650100,39.75
2013-03-21,40.77,40.9,40.16,40.4,12017900,39.19
2013-03-22,40.64,41.23,40.51,41.22,9594900,39.99
2013-03-25,41.42,41.82,41.27,41.72,21844100,40.47
2013-03-26,41.92,42,41.31,41.47,12964900,40.23
2013-03-27,41.29,41.76,41.15,41.75,11165200,40.5
2013-03-28,41.67,42.01,41.52,41.98,13591000,40.73
2013-04-01,41.46,42.06,41.08,41.38,10038800,40.33
2013-04-02,41.45,42.36,41.43,42.3,14517400,41.23
2013-04-03,42.28,42.61,41.55,41.82,12906900,40.76
2013-04-04,41.78,42.3,41.63,42.12,7765900,41.05
2013-04-05,41.39,41.64,40.93,41.56,13974800,40.51
2013-04-08,41.6,41.71,41.27,41.63,9523200,40.57
2013-04-09,41.63,41.82,40.92,41.28,11575800,40.23
2013-04-10,41.28,41.78,41.2,41.62,13239100,40.56
2013-04-11,41.8,41.96,41.65,41.81,13221200,40.75
2013-04-12,41.87,42.12,41.77,42,16969200,40.93
2013-04-15,41.87,41.87,41.1,41.15,13544500,40.11
2013-04-16,41.48,41.63,41.24,41.41,16430900,40.36
2013-04-17,41.12,41.28,40.53,40.62,18027800,39.59
2013-04-18,40.72,40.76,39.95,39.99,16178800,38.98
2013-04-19,39.86,40.61,39.66,40.56,14644900,39.53
2013-04-22,40.49,40.62,40.25,40.47,13750800,39.44
2013-04-23,40.78,40.93,40.28,40.9,11957000,39.86
2013-04-24,41.05,41.28,40.54,40.67,11451500,39.64
2013-04-25,40.74,41.02,40.61,40.75,12009300,39.72
2013-04-26,40.8,41.53,40.64,41.37,13760000,40.32
2013-04-29,41.62,41.69,41.28,41.49,8377000,40.44
2013-04-30,41.66,41.68,41.13,41.3,8877800,40.25
2013-05-01,41.98,42.47,41.66,41.86,13410200,40.8
2013-05-02,41.71,42.2,41.65,42.11,7773500,41.04
2013-05-03,42.14,42.75,42.14,42.54,7773300,41.46
2013-05-06,42.46,42.84,42.34,42.78,7241000,41.69
2013-05-07,42.97,43.25,42.83,43.05,9159000,41.96
2013-05-08,42.94,43.36,42.91,43.28,7181700,42.18
2013-05-09,43.17,43.29,42.75,42.96,7828800,41.87
2013-05-10,43.09,43.36,42.91,43.08,6383800,41.99
2013-05-13,43.08,43.2,42.57,43.19,9887200,42.09
2013-05-14,43.28,43.64,43.04,43.33,9921500,42.23
2013-05-15,43.45,43.74,42.97,43.73,7900000,42.62
2013-05-16,43.5,43.73,42.75,42.87,8882600,41.78
2013-05-17,43.17,43.19,42.17,42.64,14666500,41.56
2013-05-20,42.47,42.56,41.31,41.52,19027200,40.47
2013-05-21,41.61,42.41,41.54,42.23,12777800,41.16
2013-05-22,41.94,42.64,41.54,41.78,11729600,40.72
2013-05-23,41.59,41.87,41.37,41.82,10763500,40.76
2013-05-24,41.42,41.95,41.33,41.95,7734300,40.89
2013-05-28,42.25,42.48,41.52,41.82,8026300,40.76
2013-05-29,41.76,41.79,40.77,40.79,17274900,39.76
2013-05-30,40.92,41.25,40.9,40.95,7390300,39.91
2013-05-31,40.89,40.89,40.15,40.17,14503600,39.15
2013-06-03,40.25,40.46,39.51,40.46,11662000,39.43
2013-06-04,40.52,41.11,40.31,40.92,13358400,39.88
