Stock Quotes for COP,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,59.15,59.23,58.51,59.21,6263400,55.2
2013-01-03,59.14,59.47,58.87,59.17,4377500,55.17
2013-01-04,59.29,59.9,59.25,59.83,4827700,55.78
2013-01-07,59.63,59.71,59.04,59.17,5489500,55.17
2013-01-08,58.99,59.09,58.25,58.37,6137700,54.42
2013-01-09,58.59,58.67,58.17,58.25,4156300,54.31
2013-01-10,58.53,58.63,58.12,58.5,5433800,54.54
2013-01-11,58.33,58.36,58.03,58.27,3964700,54.33
2013-01-14,58.2,58.55,58.19,58.47,4219900,54.51
2013-01-15,58.4,59.08,58.28,59.03,6180400,55.03
2013-01-16,58.94,59.14,58.73,58.88,5598100,54.9
2013-01-17,59.11,59.32,58.65,59.14,5299700,55.14
2013-01-18,59.06,59.36,58.97,59.27,5309500,55.26
2013-01-22,59.3,59.98,59.17,59.98,4712600,55.92
2013-01-23,59.84,59.92,59.43,59.55,4493400,55.52
2013-01-24,59.67,60.58,59.52,60.41,7088600,56.32
2013-01-25,60.47,61.1,60.34,61.06,5500100,56.93
2013-01-28,60.88,60.94,60.18,60.75,4889300,56.64
2013-01-29,61,61.76,60.94,61.66,7362200,57.49
2013-01-30,61.67,62.05,60.92,61.09,6792500,56.96
2013-01-31,59.2,59.46,57.81,58,16914000,54.07
2013-02-01,58.47,58.84,58.02,58.82,11468700,54.84
2013-02-04,58.47,58.48,58,58.03,7313100,54.1
2013-02-05,58.44,58.53,57.63,57.72,7783100,53.81
2013-02-06,57.5,57.7,57.05,57.59,6874600,53.69
2013-02-07,57.67,57.84,57.36,57.63,5705900,53.73
2013-02-08,57.82,57.87,57.58,57.87,17871800,53.95
2013-02-11,57.94,57.94,57.53,57.59,19329700,53.69
2013-02-12,57.84,58.26,57.6,58.25,21826800,54.31
2013-02-13,58.35,58.62,58,58.61,6789300,54.64
2013-02-14,57.8,58.01,57.62,57.92,5764400,54.62
2013-02-15,57.9,58.01,56.78,57.02,9695600,53.77
2013-02-19,57.64,58.61,57.52,58.6,8119800,55.26
2013-02-20,58.6,58.61,57.64,57.67,5925400,54.38
2013-02-21,57.56,58.16,57.09,58.11,7297900,54.79
2013-02-22,58.3,58.33,57.65,58.2,4386600,54.88
2013-02-25,58.47,58.55,56.83,56.89,8408400,53.64
2013-02-26,57.3,57.92,56.95,57.75,7763500,54.45
2013-02-27,57.56,58.18,57.41,58.04,6116300,54.73
2013-02-28,57.9,58.3,57.85,57.95,7527700,54.64
2013-03-01,57.93,58.28,57.65,58.28,6730000,54.95
2013-03-04,58.14,58.19,57.25,57.62,5845200,54.33
2013-03-05,57.94,58.01,57.36,57.66,7151000,54.37
2013-03-06,57.93,58.04,57.44,58,6691100,54.69
2013-03-07,58,58.14,57.85,57.86,5329000,54.56
2013-03-08,57.97,58.49,57.83,58.39,4797900,55.06
2013-03-11,58.41,58.6,58.08,58.44,4726000,55.11
2013-03-12,58.56,58.92,58.45,58.73,4664700,55.38
2013-03-13,58.76,58.94,58.56,58.78,4485100,55.43
2013-03-14,59,59.56,58.87,59.52,5129700,56.12
2013-03-15,59.1,59.39,58.81,59.07,10303400,55.7
2013-03-18,58.67,59.65,58.55,59.15,5002900,55.77
2013-03-19,59.21,59.48,58.71,59.31,6748900,55.93
2013-03-20,60,60.54,59.63,60.44,8178800,56.99
2013-03-21,60.17,61.03,60.01,60.94,8993500,57.46
2013-03-22,61.11,61.11,60.68,60.91,6440800,57.43
2013-03-25,61,61.19,60.06,60.21,5776900,56.77
2013-03-26,60.5,60.62,60.08,60.44,4516300,56.99
2013-03-27,60.2,60.71,60.03,60.38,4103200,56.93
2013-03-28,60.4,60.59,60.06,60.1,5293000,56.67
2013-04-01,60.2,60.7,60.02,60.48,4118900,57.03
2013-04-02,60.58,60.65,59.85,60.04,4769900,56.61
2013-04-03,60.14,60.35,59.13,59.28,5535500,55.9
2013-04-04,59.22,59.41,58.7,58.88,4965200,55.52
2013-04-05,58.38,58.69,58.06,58.54,6736500,55.2
2013-04-08,58.6,59.34,58.51,59.31,4744100,55.93
2013-04-09,59.51,60.06,59,59.78,4618100,56.37
2013-04-10,59.98,60.6,59.89,60.25,5449400,56.81
2013-04-11,60.4,60.63,59.83,60.16,6837200,56.73
2013-04-12,59.63,59.86,59.08,59.36,5148200,55.97
2013-04-15,58.72,58.72,57.2,57.24,9785400,53.97
2013-04-16,58.01,58.01,56.88,57.44,9318800,54.16
2013-04-17,57.17,57.2,56.38,56.81,7038700,53.57
2013-04-18,56.96,57.57,56.47,57.32,6182100,54.05
2013-04-19,57.64,57.99,57.04,57.49,6411900,54.21
2013-04-22,57.58,57.79,56.92,57.39,5465400,54.12
2013-04-23,57.61,57.8,57,57.78,7522300,54.48
2013-04-24,57.89,58.55,57.89,58.26,7812100,54.94
2013-04-25,58.37,58.77,57.72,58.37,6285700,55.04
2013-04-26,58.42,59,58.36,58.91,6303600,55.55
2013-04-29,59.29,60.05,59.02,59.9,5645200,56.48
2013-04-30,59.84,60.45,59.51,60.45,6207700,57
2013-05-01,60.15,60.72,59.9,60.01,7150200,56.59
2013-05-02,60.1,61.23,59.95,60.96,8343100,57.48
2013-05-03,61.41,61.97,61.25,61.92,6456400,58.39
2013-05-06,61.96,62.42,61.71,62.22,5802500,58.67
2013-05-07,62.38,62.99,62.26,62.84,5933700,59.25
2013-05-08,62.8,62.94,62.33,62.59,6497100,59.02
2013-05-09,62.56,62.89,62.33,62.58,11026300,59.01
2013-05-10,62.44,62.58,61.82,62.23,12466000,58.68
2013-05-13,62.11,62.33,61.75,62,12518500,58.46
2013-05-14,62.02,63.14,61.84,63.06,6927600,59.46
2013-05-15,62.84,62.84,61.86,62.42,8092100,58.86
2013-05-16,62.37,62.87,62.24,62.43,5214000,58.87
2013-05-17,62.39,63.31,62.37,63.31,7076800,59.7
2013-05-20,63.3,64.46,63.25,64.03,6215900,60.38
2013-05-21,64.25,64.77,63.8,64.31,6543700,60.64
2013-05-22,63.54,63.97,62.57,62.74,9364600,59.77
2013-05-23,62.03,62.93,61.9,62.79,5274700,59.82
2013-05-24,62.54,62.62,62.18,62.53,4623700,59.57
2013-05-28,63.24,63.61,62.72,62.84,5906600,59.87
2013-05-29,62.49,63.01,62.2,62.78,6431700,59.81
2013-05-30,62.58,62.61,62.05,62.28,5658200,59.34
2013-05-31,62.12,62.65,61.34,61.34,8032400,58.44
2013-06-03,61.58,62.1,61.28,62.09,6813400,59.15
2013-06-04,61.89,62.08,61.32,61.68,5171300,58.76
2013-06-05,61.96,62.11,61.44,61.62,7571900,58.71
2013-06-06,61.51,61.92,60.96,61.91,6616200,58.98
2013-06-07,62.17,62.38,61.76,62.32,5081700,59.37
2013-06-10,62.36,62.44,61.95,62.2,4148100,59.26
2013-06-11,61.72,62.18,61.36,61.91,4698000,58.98
2013-06-12,62.27,62.27,60.79,60.88,5031600,58
2013-06-13,60.67,61.72,60.38,61.65,5346900,58.74
2013-06-14,61.67,61.71,60.87,61.03,3327800,58.14
2013-06-17,61.45,62.05,61.44,61.94,3664000,59.01
2013-06-18,61.94,62.23,61.75,62.1,3437300,59.16
2013-06-19,62.15,62.57,61.71,61.71,5932600,58.79
2013-06-20,61.13,61.21,60.12,60.28,7998200,57.43
2013-06-21,60.77,60.8,59.55,60.36,8780900,57.51
2013-06-24,59.78,59.9,58.71,59.35,7389700,56.54
2013-06-25,59.81,60.02,59.37,59.83,6078400,57
2013-06-26,60.37,60.45,59.76,60.33,4009600,57.48
2013-06-27,60.62,61.1,60.31,60.34,3704500,57.49
2013-06-28,60.3,60.77,60.04,60.5,6160900,57.64
2013-07-01,60.73,61.63,60.73,61.23,5100100,58.33
