Stock Quotes for DD,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,45.95,46.28,45.55,45.87,6886300,43.51
2013-01-03,46.25,46.3,45.11,45.29,6850400,42.96
2013-01-04,45.39,45.82,45.34,45.73,5242000,43.38
2013-01-07,45.63,45.88,45.41,45.8,4315400,43.44
2013-01-08,46.02,46.15,45.47,46.05,5118900,43.68
2013-01-09,46.18,46.47,46.1,46.44,5030500,44.05
2013-01-10,46.64,46.77,45.67,46.2,5980900,43.82
2013-01-11,46.24,46.3,45.67,46.15,5007300,43.78
2013-01-14,46.47,46.69,46.21,46.27,5302200,43.89
2013-01-15,46.17,46.43,46.11,46.25,3733000,43.87
2013-01-16,45.99,46.03,45.62,45.97,5435800,43.6
2013-01-17,46.27,46.49,46.19,46.36,4854500,43.97
2013-01-18,46.5,47.02,46.4,46.99,8616500,44.57
2013-01-22,47.2,47.95,46.87,47.82,10069800,45.36
2013-01-23,47.55,47.94,47.32,47.5,7631400,45.06
2013-01-24,47.61,48.37,47.61,48.07,6887600,45.6
2013-01-25,48.19,48.4,47.93,48.33,5518500,45.84
2013-01-28,48.26,48.32,47.87,48.15,5256300,45.67
2013-01-29,48.01,48.2,47.92,47.96,4739800,45.49
2013-01-30,47.84,48.09,47.52,47.63,6910800,45.18
2013-01-31,47.49,47.88,47.25,47.45,5866100,45.01
2013-02-01,47.68,48.08,47.43,47.98,5174400,45.51
2013-02-04,47.6,47.8,47.39,47.44,4129000,45
2013-02-05,47.72,47.9,47.55,47.6,3859300,45.15
2013-02-06,47.48,47.62,47.3,47.44,4280200,45
2013-02-07,47.44,47.49,46.82,47.29,4895100,44.86
2013-02-08,47.48,47.59,47.34,47.5,11305200,45.06
2013-02-11,47.5,47.8,47.44,47.76,9574900,45.3
2013-02-12,47.54,48,47.5,47.98,7067600,45.51
2013-02-13,47.63,47.93,47.5,47.58,4378600,45.54
2013-02-14,47.46,47.51,47.13,47.23,4816400,45.21
2013-02-15,47.44,47.48,46.57,46.94,7324300,44.93
2013-02-19,47.11,47.35,47.06,47.18,4965400,45.16
2013-02-20,47.23,47.23,46.36,46.54,7977500,44.54
2013-02-21,46.4,46.68,46.02,46.52,7326300,44.53
2013-02-22,46.71,47.37,46.6,47.24,6619400,45.21
2013-02-25,47.42,47.67,46.43,46.43,6326300,44.44
2013-02-26,46.49,47.06,46.48,46.97,5185800,44.96
2013-02-27,46.9,47.69,46.87,47.51,4796900,45.47
2013-02-28,47.6,48.22,47.45,47.9,6689300,45.85
2013-03-01,47.56,48.28,47.28,48.09,6758000,46.03
2013-03-04,48.02,48.4,47.76,48.31,4170200,46.24
2013-03-05,48.72,49.06,48.56,48.68,5073800,46.59
2013-03-06,48.99,49.06,48.55,48.74,4381000,46.65
2013-03-07,48.81,48.97,48.62,48.68,3884500,46.59
2013-03-08,49,49.25,48.98,49.15,4696000,47.04
2013-03-11,49.22,49.44,48.99,49.33,3358800,47.22
2013-03-12,49.19,49.81,49.14,49.71,5629000,47.58
2013-03-13,49.7,49.9,49.46,49.59,5099700,47.46
2013-03-14,49.78,49.99,49.69,49.92,4542600,47.78
2013-03-15,49.94,50.2,49.64,49.9,8278200,47.76
2013-03-18,49.36,49.88,49.23,49.71,5777000,47.58
2013-03-19,49.76,49.95,49.29,49.65,7094700,47.52
2013-03-20,49.76,49.95,49.54,49.84,5582400,47.7
2013-03-21,49.55,49.74,49.26,49.36,4531600,47.24
2013-03-22,49.52,49.78,49.13,49.27,4956000,47.16
2013-03-25,49.28,49.5,48.86,49.11,5626800,47
2013-03-26,49.09,49.2,48.52,48.97,5295600,46.87
2013-03-27,48.77,49.08,48.56,48.89,4898000,46.79
2013-03-28,48.9,49.32,48.9,49.16,4722100,47.05
2013-04-01,48.88,49.2,48.8,49.01,4619300,46.91
2013-04-02,49.32,49.32,48.85,49.03,5698300,46.93
2013-04-03,48.94,49.15,48.55,48.79,6498900,46.7
2013-04-04,48.88,49.25,48.56,49.04,5812200,46.94
2013-04-05,48.5,48.79,48.3,48.69,5925500,46.6
2013-04-08,48.67,48.85,48.21,48.8,5262400,46.71
2013-04-09,48.91,49.42,48.75,49.23,5399100,47.12
2013-04-10,49.41,49.85,49.29,49.74,6940500,47.61
2013-04-11,49.78,50.47,49.76,50.29,8125800,48.13
2013-04-12,50.15,50.28,49.32,49.82,5945000,47.68
2013-04-15,49.54,49.72,48.74,48.78,8481900,46.69
2013-04-16,49.23,49.79,49.22,49.6,6178900,47.47
2013-04-17,49.22,49.28,48.59,49.15,5872100,47.04
2013-04-18,49.23,49.54,48.23,48.59,8460900,46.51
2013-04-19,48.9,49.3,48.74,49.19,10348100,47.08
2013-04-22,49.41,50.74,49.28,50.41,14781500,48.25
2013-04-23,50.7,52.54,50.11,52.49,15005900,50.24
2013-04-24,52.5,52.95,52.25,52.75,7854700,50.49
2013-04-25,52.75,53.52,52.61,53.29,8910300,51.01
2013-04-26,53.11,53.17,52.56,52.9,5686500,50.63
2013-04-29,53.07,54.11,52.93,54.1,7621200,51.78
2013-04-30,54,54.73,53.81,54.51,9095300,52.17
2013-05-01,54.12,54.35,53.3,53.37,7415000,51.08
2013-05-02,53.17,53.98,52.57,53.51,7219300,51.22
2013-05-03,54.14,54.44,53.9,53.94,5364700,51.63
2013-05-06,53.93,54.16,53.73,53.89,3252100,51.58
2013-05-07,54.01,54.83,54,54.65,5651600,52.31
2013-05-08,54.57,54.84,54.36,54.7,4819900,52.35
2013-05-09,54.72,55.47,54.64,55.38,22099600,53.01
2013-05-10,55.14,55.7,55,55.46,21829400,53.08
2013-05-13,55,55,54.43,54.45,6000800,52.54
2013-05-14,54.5,55.25,54.42,55.16,5948200,53.23
2013-05-15,55.01,55.64,54.97,55.55,4513400,53.6
2013-05-16,55.51,55.81,55.25,55.49,4727900,53.55
2013-05-17,55.64,55.95,55.25,55.89,4832900,53.93
2013-05-20,55.88,56.29,55.66,55.93,3987600,53.97
2013-05-21,56.07,56.48,55.83,56.38,4982500,54.4
2013-05-22,56.29,56.78,55.33,55.57,6485700,53.62
2013-05-23,54.38,55.55,53.81,55.35,6737300,53.41
2013-05-24,55.07,55.48,54.56,55.35,3074500,53.41
2013-05-28,56,56.17,55.65,55.89,5120700,53.93
2013-05-29,55.6,56.22,55.33,56.02,4544300,54.06
2013-05-30,56.08,56.63,55.79,56.3,3764600,54.33
2013-05-31,56.06,57.25,55.79,55.79,5857600,53.84
2013-06-03,55.84,56.15,55.42,56.13,4430600,54.16
2013-06-04,56.13,56.47,55.39,55.79,3659800,53.84
2013-06-05,55.62,55.78,54.46,54.61,6941600,52.7
2013-06-06,54.66,54.84,53.88,54.79,4062400,52.87
2013-06-07,55.18,55.72,54.93,55.44,3640700,53.5
2013-06-10,55.66,55.72,54.95,55.52,4413200,53.57
2013-06-11,54.98,55.36,54.51,54.85,3895500,52.93
2013-06-12,55.43,55.64,54.18,54.23,4767900,52.33
