Stock Quotes for DOW,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,32.99,33.33,32.71,33.05,9357000,31.23
2013-01-03,32.97,33.56,32.95,33.15,6792900,31.32
2013-01-04,33.2,33.66,33.15,33.63,5220900,31.78
2013-01-07,33.16,33.63,33.02,33.59,6642500,31.74
2013-01-08,33.5,33.58,33.04,33.1,7982400,31.28
2013-01-09,33.32,33.73,33.29,33.5,8211300,31.66
2013-01-10,33.81,33.92,33.47,33.84,6203800,31.98
2013-01-11,33.81,33.98,33.44,33.86,6688000,32
2013-01-14,33.83,34.29,33.68,34.28,6946100,32.39
2013-01-15,34.04,34.16,33.91,34.09,5168100,32.21
2013-01-16,33.89,33.98,33.59,33.66,7537500,31.81
2013-01-17,33.93,33.99,33.78,33.81,8950800,31.95
2013-01-18,33.75,33.91,33.49,33.8,8246100,31.94
2013-01-22,33.84,34.03,33.72,33.95,7335800,32.08
2013-01-23,33.85,34.17,33.66,34.08,9744100,32.2
2013-01-24,34.17,34.62,34.17,34.43,11015000,32.53
2013-01-25,34.57,34.73,34.44,34.58,7922500,32.68
2013-01-28,34.63,34.66,34.23,34.42,7066100,32.52
2013-01-29,34.35,34.81,34.24,34.73,8910000,32.82
2013-01-30,34.59,34.83,34.45,34.61,10261200,32.7
2013-01-31,32.42,33.15,32,32.2,29804100,30.43
2013-02-01,32.25,32.68,32,32.59,13790700,30.8
2013-02-04,32.43,32.58,32.11,32.13,9031500,30.36
2013-02-05,32.3,32.56,32.29,32.31,6595800,30.53
2013-02-06,32.23,32.53,32.15,32.53,8345800,30.74
2013-02-07,32.4,32.69,31.77,32.2,6455500,30.43
2013-02-08,32.32,32.52,32.14,32.42,4530300,30.63
2013-02-11,32.4,32.55,32.21,32.48,4263400,30.69
2013-02-12,32.49,32.77,32.31,32.76,6756600,30.96
2013-02-13,32.95,33.18,32.83,33,5776200,31.18
2013-02-14,32.81,32.86,32.48,32.49,7236900,30.7
2013-02-15,32.7,32.74,32.14,32.16,9035400,30.39
2013-02-19,32.15,32.5,32.15,32.2,7093400,30.43
2013-02-20,32.2,32.27,31.57,31.64,7348400,29.9
2013-02-21,31.49,31.5,30.66,30.84,11720300,29.14
2013-02-22,30.98,31.53,30.97,31.38,5814400,29.65
2013-02-25,31.61,31.73,30.63,30.64,7048500,28.95
2013-02-26,30.91,31.05,30.67,30.89,6646800,29.19
2013-02-27,30.93,31.91,30.9,31.81,6511600,30.06
2013-02-28,31.81,31.9,31.51,31.72,6362600,29.97
2013-03-01,31.5,31.86,31.08,31.81,5928900,30.06
2013-03-04,31.71,31.98,31.56,31.92,4636700,30.16
2013-03-05,32.12,32.48,31.98,32.2,4828900,30.43
2013-03-06,32.46,32.85,32.46,32.71,6161300,30.91
2013-03-07,32.75,32.84,32.41,32.5,4677800,30.71
2013-03-08,32.71,32.9,32.68,32.77,4593100,30.97
2013-03-11,32.75,33.1,32.44,32.99,3979200,31.17
2013-03-12,32.99,33.3,32.78,33.24,4213600,31.41
2013-03-13,33.19,33.45,33.04,33.21,4368300,31.38
2013-03-14,33.36,33.71,33.24,33.67,5704700,31.82
2013-03-15,33.47,33.81,33.46,33.81,8090300,31.95
2013-03-18,33.38,33.53,33.2,33.27,5054600,31.44
2013-03-19,33.4,33.48,32.53,33.19,9775000,31.36
2013-03-20,33.53,33.58,33.29,33.44,3665500,31.6
2013-03-21,33.1,33.15,32.46,32.48,8448900,30.69
2013-03-22,32.67,32.82,32.53,32.78,17536300,30.98
2013-03-25,32.79,33.1,32.17,32.29,21864800,30.51
2013-03-26,32.18,32.45,31.93,32,6446800,30.54
2013-03-27,31.71,31.8,31.39,31.78,6405000,30.33
2013-03-28,31.76,32.01,31.69,31.84,7707400,30.39
2013-04-01,31.86,31.86,31.22,31.37,4761800,29.94
2013-04-02,31.55,31.6,30.86,30.95,7583000,29.54
2013-04-03,31.03,31.15,30.64,31,9159900,29.59
2013-04-04,31.07,31.55,31.07,31.43,7430300,30
2013-04-05,30.94,31.12,30.79,30.9,6629500,29.49
2013-04-08,30.83,30.91,30.33,30.68,9943700,29.28
2013-04-09,30.83,31.49,30.77,31.44,6144700,30.01
2013-04-10,31.56,31.89,31.36,31.83,5433600,30.38
2013-04-11,31.84,32.13,31.7,31.86,4723300,30.41
2013-04-12,31.66,31.8,31.18,31.75,5223800,30.3
2013-04-15,31.48,31.52,30.12,30.18,9974500,28.8
2013-04-16,30.55,30.87,30.25,30.27,15691900,28.89
2013-04-17,30.01,30.38,29.81,30.3,8576300,28.92
2013-04-18,30.39,30.5,29.97,30.18,7596900,28.8
2013-04-19,30.41,30.69,30.35,30.55,10898300,29.16
2013-04-22,30.68,31.17,30.43,30.99,5381700,29.58
2013-04-23,31.21,31.69,31,31.66,6836300,30.22
2013-04-24,31.73,32.33,31.73,32.17,12136300,30.7
2013-04-25,33.25,34.23,33.04,33.97,19228700,32.42
2013-04-26,33.72,33.78,33.1,33.42,11489000,31.9
2013-04-29,33.4,33.88,32.99,33.87,9405400,32.33
2013-04-30,33.89,33.95,33.54,33.91,10461800,32.36
2013-05-01,33.62,33.78,33.11,33.15,9552200,31.64
2013-05-02,33.18,33.33,32.8,33.12,5708500,31.61
2013-05-03,33.47,34.29,33.46,33.96,8781900,32.41
2013-05-06,33.95,34.18,33.79,34.01,4233000,32.46
2013-05-07,34.21,34.7,34.18,34.54,5981300,32.96
2013-05-08,34.51,34.69,34.26,34.51,6202200,32.94
2013-05-09,34.43,35.06,34.35,34.92,10501900,33.33
2013-05-10,34.91,34.99,34.2,34.46,6568100,32.89
2013-05-13,34.34,34.42,34.1,34.35,5244700,32.78
2013-05-14,34.3,35,34.3,34.93,6083900,33.34
2013-05-15,34.81,35.75,34.77,35.34,8211900,33.73
2013-05-16,35.11,35.49,34.88,35.1,6756600,33.5
2013-05-17,35.15,35.89,35.11,35.82,7470500,34.19
2013-05-20,35.82,35.87,35.42,35.61,6194300,33.99
2013-05-21,35.72,35.93,35.52,35.78,5690100,34.15
2013-05-22,35.52,36,34.91,35.12,7324100,33.52
2013-05-23,34.56,35.21,34.31,35.1,7719000,33.5
2013-05-24,34.87,35.19,34.8,35.08,7583400,33.48
2013-05-28,35.46,35.65,34.9,35.04,5299900,33.44
2013-05-29,35.02,35.07,34.52,34.94,5734800,33.35
2013-05-30,35.06,35.18,34.76,34.8,4343400,33.21
2013-05-31,34.69,35.21,34.45,34.46,5895400,32.89
2013-06-03,34.37,34.45,33.92,34.34,7630700,32.77
2013-06-04,34.39,34.72,34.29,34.62,5604200,33.04
2013-06-05,34.42,34.43,33.52,33.66,5545200,32.13
2013-06-06,33.63,33.99,33.29,33.89,5295300,32.34
2013-06-07,33.96,34.56,33.82,34.35,5928100,32.78
2013-06-10,34.54,34.69,34.12,34.33,4337700,32.76
2013-06-11,33.96,34.41,33.63,34,5196100,32.45
2013-06-12,34.38,34.45,33.65,33.79,4403200,32.25
2013-06-13,33.69,34.78,33.54,34.65,6231900,33.07
2013-06-14,34.52,34.78,33.85,34.01,5481700,32.46
2013-06-17,34.38,34.49,33.85,34.14,4754800,32.58
2013-06-18,34.24,35.15,34.2,34.62,4405700,33.04
2013-06-19,34.56,34.73,34.1,34.1,5030100,32.54
2013-06-20,33.75,34.24,33.06,33.19,10475700,31.68
2013-06-21,33.53,33.56,32.19,32.63,13418700,31.14
2013-06-24,32.2,32.63,31.65,32.35,8508600,30.87
2013-06-25,32.68,32.71,32.13,32.5,6869800,31.02
2013-06-26,32.6,32.6,31.89,32.2,9132300,31.04
2013-06-27,32.38,32.64,32.3,32.35,4302400,31.18
2013-06-28,32.29,32.57,31.99,32.17,7059300,31.01
2013-07-01,32.41,32.79,32.3,32.5,5056400,31.33
2013-07-02,32.42,32.65,32.13,32.44,4651800,31.27
2013-07-03,32.33,32.45,32.05,32.43,2385600,31.26
2013-07-05,32.73,32.87,32.36,32.69,2603300,31.51
2013-07-08,32.9,33.24,32.73,33.09,4570600,31.9
2013-07-09,33.48,34.13,33.48,34.02,7000700,32.79
2013-07-10,33.98,34.04,33.6,33.79,4407900,32.57
2013-07-11,34.34,34.37,34.07,34.2,4079100,32.97
2013-07-12,34.19,34.22,33.86,34.12,3547200,32.89
2013-07-15,34.23,34.48,34.08,34.4,3128200,33.16
2013-07-16,34.31,34.51,33.82,33.97,5992200,32.74
2013-07-17,34.32,34.78,34.15,34.73,7942700,33.48
2013-07-18,34.75,35.09,34.5,34.58,5867100,33.33
2013-07-19,34.59,34.72,34.34,34.67,4293500,33.42
2013-07-22,34.61,35.01,34.5,34.59,4436900,33.34
2013-07-23,34.93,35.09,34.51,34.55,5541200,33.3
2013-07-24,34.59,34.66,34.03,34.37,8219100,33.13
2013-07-25,34.95,35.1,34.65,34.99,7949000,33.73
2013-07-26,34.79,34.89,34.37,34.7,5424100,33.45
2013-07-29,34.7,35.09,34.64,35,4276000,33.74
2013-07-30,34.85,35.14,34.66,35.06,4467700,33.79
2013-07-31,35.12,35.49,35,35.04,7333400,33.77
2013-08-01,35.38,35.63,35.25,35.4,5344800,34.12
2013-08-02,35.28,36.25,35.16,36.22,7862700,34.91
2013-08-05,36.27,36.68,36.13,36.48,6920800,35.16
2013-08-06,36.44,36.44,35.89,36.06,5002800,34.76
2013-08-07,35.91,36.53,35.82,36.29,5470800,34.98
2013-08-08,36.47,36.97,36.23,36.91,7482900,35.58
2013-08-09,36.85,38.5,36.8,38.04,18733200,36.67
2013-08-12,37.61,38.09,37.38,37.48,9088600,36.13
2013-08-13,37.7,38.09,37.48,37.88,7754000,36.51
2013-08-14,37.81,38.28,37.64,37.75,5666800,36.39
2013-08-15,37.37,37.43,36.85,37.15,5692300,35.81
2013-08-16,37,37.14,36.63,36.89,5817200,35.56
2013-08-19,36.78,37.22,36.59,36.63,4479400,35.31
