Stock Quotes for EMC,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,25.51,25.75,24.59,24.84,42571800,24.25
2013-01-03,24.68,24.8,24.23,24.37,38391100,23.79
2013-01-04,24.44,24.45,23.95,24.33,31813300,23.75
2013-01-07,24.31,24.4,24.1,24.13,20874200,23.56
2013-01-08,23.77,24,23.58,23.87,36368600,23.3
2013-01-09,23.95,24.14,23.92,24.02,19096200,23.45
2013-01-10,23.98,24.26,23.59,23.85,37065100,23.28
2013-01-11,23.94,24.22,23.73,24.15,26170900,23.58
2013-01-14,23.9,24.29,23.84,24.21,22767800,23.64
2013-01-15,24.23,24.4,23.95,24.32,19539800,23.74
2013-01-16,24.3,24.46,24.04,24.08,21347700,23.51
2013-01-17,24.29,24.29,23.87,24.03,30195300,23.46
2013-01-18,23.98,24.35,23.89,24.33,24181200,23.75
2013-01-22,24.31,24.46,24.03,24.28,23484800,23.7
2013-01-23,24.55,24.74,24.42,24.53,19555500,23.95
2013-01-24,24.57,25.27,24.57,25.04,25959300,24.45
2013-01-25,25.18,25.37,25,25.26,17049500,24.66
2013-01-28,25.18,25.39,24.88,25.2,21628000,24.6
2013-01-29,23.65,24.39,23.11,24.18,133486800,23.61
2013-01-30,24.47,24.85,24.38,24.6,43175300,24.02
2013-01-31,24.72,24.97,24.52,24.61,27305500,24.03
2013-02-01,24.79,24.95,24.67,24.85,21388400,24.26
2013-02-04,24.73,24.85,24.57,24.59,24867000,24.01
2013-02-05,24.75,25.02,24.71,24.88,23987200,24.29
2013-02-06,24.64,25.01,24.59,24.79,24334300,24.2
2013-02-07,24.79,24.85,24.54,24.75,18291200,24.16
2013-02-08,24.8,24.92,24.66,24.88,14794500,24.29
2013-02-11,24.81,24.86,24.57,24.63,10747900,24.05
2013-02-12,24.63,24.74,24.45,24.54,12538400,23.96
2013-02-13,24.39,24.62,24.1,24.22,20453700,23.65
2013-02-14,24.05,24.32,23.97,24.04,18307900,23.47
2013-02-15,24.05,24.1,23.93,24,18801400,23.43
2013-02-19,24.06,24.2,23.91,23.92,23502700,23.35
2013-02-20,23.92,24.03,23.5,23.5,23603500,22.94
2013-02-21,23.43,23.5,23.14,23.41,25656000,22.85
2013-02-22,23.56,23.63,23.31,23.44,13840600,22.88
2013-02-25,23.63,23.7,22.83,22.83,23787100,22.29
2013-02-26,22.86,23.11,22.78,22.94,18454800,22.4
2013-02-27,22.9,23.39,22.87,23.28,18893000,22.73
2013-02-28,23.21,23.46,22.99,23.01,22125200,22.46
2013-03-01,22.97,23.32,22.75,23.25,16505600,22.7
2013-03-04,23.15,23.26,23.05,23.22,14431100,22.67
2013-03-05,23.29,23.76,23.29,23.74,20225900,23.18
2013-03-06,23.93,24.32,23.77,24.3,26760000,23.72
2013-03-07,24.31,24.41,23.87,23.95,30287200,23.38
2013-03-08,24.11,24.41,23.84,24.3,24194300,23.72
2013-03-11,24.39,24.7,24.13,24.56,24348700,23.98
2013-03-12,24.52,24.55,24.16,24.47,23288200,23.89
2013-03-13,24.47,25.3,24.4,24.9,37316900,24.31
2013-03-14,25.23,25.65,25.16,25.62,31484300,25.01
2013-03-15,25.49,25.6,25.19,25.35,40707200,24.75
2013-03-18,25.05,25.39,24.95,25.05,17750600,24.46
2013-03-19,25.14,25.17,24.58,24.7,27542400,24.11
2013-03-20,24.88,24.99,24.78,24.85,14679200,24.26
2013-03-21,24.67,24.75,24.38,24.5,17672300,23.92
2013-03-22,24.48,24.52,24.05,24.15,19135200,23.58
2013-03-25,24.33,24.4,23.67,23.74,18404400,23.18
2013-03-26,23.86,23.97,23.62,23.75,14913600,23.19
2013-03-27,23.66,24.08,23.65,23.83,16031900,23.26
2013-03-28,23.8,23.95,23.68,23.89,14126700,23.32
2013-04-01,23.86,23.86,23.53,23.57,10281500,23.01
2013-04-02,23.65,23.85,23.6,23.84,13696200,23.27
2013-04-03,23.87,23.92,23.5,23.59,15364500,23.03
2013-04-04,23.63,23.68,23.35,23.45,17339600,22.89
2013-04-05,23.14,23.16,22.83,23.08,17801800,22.53
2013-04-08,23,23.2,22.98,23.13,10880700,22.58
2013-04-09,23.12,23.24,22.79,23.14,33030000,22.59
2013-04-10,22.9,23.37,22.63,23.23,38951100,22.68
2013-04-11,23.29,23.31,22.79,22.89,33335200,22.35
2013-04-12,22.85,23.28,22.66,23.11,26918400,22.56
2013-04-15,23.03,23.4,22.78,22.78,20979900,22.24
2013-04-16,22.92,23.1,22.71,23.08,22014800,22.53
2013-04-17,23.05,23.21,22.67,22.71,24486600,22.17
2013-04-18,22.76,22.81,22.27,22.34,22371400,21.81
2013-04-19,22.23,22.28,21.45,21.5,54957800,20.99
2013-04-22,21.56,22,21.51,21.85,21580800,21.33
2013-04-23,22,22.46,21.95,22.36,25431300,21.83
2013-04-24,22.17,22.76,21.98,22.52,28933500,21.99
2013-04-25,22.51,22.81,22.4,22.63,16617600,22.09
2013-04-26,22.61,22.7,22.25,22.39,23040200,21.86
2013-04-29,22.51,22.66,22.43,22.49,20207100,21.96
2013-04-30,22.44,22.57,22.27,22.43,25481700,21.9
2013-05-01,22.39,22.63,22.1,22.46,21942200,21.93
2013-05-02,22.42,22.93,22.39,22.88,19642200,22.34
2013-05-03,23.09,23.62,23.05,23.38,26646100,22.83
2013-05-06,23.34,23.52,23.15,23.29,17974200,22.74
2013-05-07,23.4,23.44,23.11,23.12,15949600,22.57
2013-05-08,23.14,23.47,23.02,23.45,16368700,22.89
2013-05-09,23.23,23.39,22.83,22.9,24920600,22.36
2013-05-10,22.87,23.45,22.87,23.34,22965600,22.79
2013-05-13,23.26,23.37,23.01,23.04,16871500,22.49
2013-05-14,23.11,23.18,22.93,23,33786900,22.45
2013-05-15,22.97,23.04,22.69,23.02,19356600,22.47
2013-05-16,23.5,24.16,23.4,24.06,48615800,23.49
2013-05-17,24.08,24.24,23.98,24.24,24915100,23.66
