Stock Quotes for FOXA,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,26.12,26.71,26.09,26.61,28909900,23.18
2013-01-03,26.61,26.64,26.17,26.26,17685000,22.88
2013-01-04,26.34,26.6,26.22,26.5,14113300,23.09
2013-01-07,26.34,26.46,26.09,26.2,8233200,22.83
2013-01-08,26.05,26.27,25.98,26.13,13226500,22.77
2013-01-09,26.2,26.47,26.1,26.39,11614200,22.99
2013-01-10,26.9,27.01,26.67,26.97,22025800,23.5
2013-01-11,26.9,27,26.8,26.93,13894700,23.46
2013-01-14,26.72,26.94,26.71,26.8,10677700,23.35
2013-01-15,26.62,27.06,26.54,27.04,15106600,23.56
2013-01-16,26.89,27.13,26.89,26.99,9870100,23.51
2013-01-17,27.21,27.57,27.08,27.47,23583900,23.93
2013-01-18,27.42,27.48,27.12,27.26,15350100,23.75
2013-01-22,27.3,27.3,26.97,27.17,14652900,23.67
2013-01-23,27.14,27.41,27.06,27.41,17089400,23.88
2013-01-24,27.44,27.6,27.04,27.06,42624400,23.58
2013-01-25,27.19,27.3,26.98,27.21,15546400,23.71
2013-01-28,27.54,27.94,27.41,27.56,28253800,24.01
2013-01-29,27.46,27.83,27.32,27.78,16363900,24.2
2013-01-30,27.67,28.22,27.6,27.9,30765200,24.31
2013-01-31,27.95,28.08,27.63,27.74,16066800,24.17
2013-02-01,28.13,28.43,28,28.16,28865500,24.53
2013-02-04,27.92,28.1,27.82,27.95,20204500,24.35
2013-02-05,28.03,28.39,27.89,28.35,25398600,24.7
2013-02-06,28.24,28.31,28.07,28.22,40192100,24.59
2013-02-07,27.37,28,27.34,27.56,53777600,24.01
2013-02-08,27.75,28.46,27.69,28.46,23905400,24.8
2013-02-11,28.54,28.56,28.13,28.31,14720800,24.67
2013-02-12,28.25,28.42,28.2,28.34,12294300,24.69
2013-02-13,28.51,28.53,28.25,28.32,14766900,24.67
2013-02-14,28.23,28.68,28.22,28.49,18223800,24.82
2013-02-15,28.54,28.93,28.47,28.9,31484800,25.18
2013-02-19,28.86,29.18,28.83,29.17,21545400,25.41
2013-02-20,29.2,29.3,28.63,28.7,21682400,25
2013-02-21,28.61,28.61,28.17,28.25,15613900,24.61
2013-02-22,28.34,28.57,28.27,28.57,11655500,24.89
