Stock Quotes for GM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,29.41,29.5,28.63,29.13,15605900,28.39
2013-01-03,29.05,30.23,28.84,29.82,22903800,29.06
2013-01-04,29.74,29.86,29.23,29.86,8066600,29.1
2013-01-07,29.64,29.86,29.3,29.66,8385300,28.9
2013-01-08,29.66,29.85,29.05,29.37,10435200,28.62
2013-01-09,29.58,30.28,29.56,29.97,13341400,29.2
2013-01-10,30.28,30.45,29.78,30.44,12115400,29.66
2013-01-11,30.38,30.6,30.11,30.36,6862900,29.59
2013-01-14,30.15,30.39,29.89,30.33,6634700,29.56
2013-01-15,30.11,30.68,29.95,30.6,7497500,29.82
2013-01-16,29.57,29.73,28.83,29.31,28298900,28.56
2013-01-17,29.48,29.65,29.19,29.49,12064700,28.74
2013-01-18,29.44,29.53,28.88,29.28,9993700,28.53
2013-01-22,29.19,29.27,28.38,28.63,18538600,27.9
2013-01-23,28.58,28.84,26.62,28.57,11355300,27.84
2013-01-24,28.59,28.98,28.35,28.78,8398900,28.05
2013-01-25,28.96,29.16,28.87,29.07,10258400,28.33
2013-01-28,29.05,29.15,28.61,28.83,7038300,28.09
2013-01-29,28.8,28.82,28.16,28.45,13059800,27.72
2013-01-30,28.28,28.65,27.77,27.94,11230700,27.23
2013-01-31,27.8,28.14,27.61,28.09,8685200,27.37
2013-02-01,28.39,28.5,28.08,28.17,10713800,27.45
2013-02-04,27.89,28.2,27.88,27.96,6508900,27.25
2013-02-05,28.03,28.6,28.03,28.59,11097500,27.86
2013-02-06,28.35,28.6,28.22,28.52,7010500,27.79
2013-02-07,28.68,28.91,28.03,28.47,10493500,27.74
2013-02-08,28.54,28.73,28.5,28.57,6316700,27.84
2013-02-11,28.51,28.65,28.35,28.53,5589900,27.8
2013-02-12,28.43,28.75,28.24,28.55,7175600,27.82
2013-02-13,28.75,28.87,28.44,28.67,9283900,27.94
2013-02-14,28.74,29.36,27.67,27.75,19226200,27.04
2013-02-15,27.59,27.92,27.22,27.76,12861100,27.05
2013-02-19,27.69,27.8,27.46,27.68,7086100,26.97
2013-02-20,27.81,27.81,27.05,27.1,7236600,26.41
2013-02-21,27.02,27.04,26.33,26.51,13893200,25.83
2013-02-22,26.4,27.12,26.31,27.11,9279400,26.42
2013-02-25,27.11,27.17,26.33,26.33,11121400,25.66
2013-02-26,26.65,26.85,26.19,26.83,13363500,26.15
2013-02-27,26.8,27.58,26.72,27.4,13115700,26.7
2013-02-28,27.5,27.57,26.89,27.15,10305500,26.46
2013-03-01,26.83,27.49,26.75,27.21,9017700,26.52
2013-03-04,27.14,27.29,26.99,27.09,6583900,26.4
2013-03-05,27.22,27.79,27.19,27.58,9199300,26.88
2013-03-06,27.76,27.96,27.62,27.91,9002500,27.2
2013-03-07,27.86,28.14,27.79,27.88,9428100,27.17
2013-03-08,27.91,28.19,27.89,28,5910500,27.29
2013-03-11,27.95,28.39,27.55,28.31,19122000,27.59
2013-03-12,28.26,28.64,28.09,28.37,10686800,27.65
2013-03-13,28.38,28.38,28.05,28.07,10287400,27.35
2013-03-14,28.05,28.23,28.04,28.16,6438500,27.44
2013-03-15,27.96,28.26,27.8,28.21,12101200,27.49
2013-03-18,27.95,28.15,27.73,28.04,13758200,27.32
2013-03-19,28.1,28.2,27.9,28.1,12749500,27.38
2013-03-20,28.25,29.3,28.19,29.2,25484100,28.45
2013-03-21,28.91,29.17,28.57,28.63,13452000,27.9
2013-03-22,28.62,28.71,27.96,28.22,12673300,27.5
2013-03-25,28.39,28.48,28.02,28.16,6669900,27.44
2013-03-26,28.28,28.35,27.99,28.15,6876400,27.43
2013-03-27,28.05,28.27,27.96,28.06,5444400,27.34
2013-03-28,28.02,28.09,27.64,27.82,9331000,27.11
2013-04-01,27.65,28.09,27.65,27.8,8834600,27.09
2013-04-02,27.96,28.3,27.53,27.93,16188100,27.22
2013-04-03,28,28.1,27.66,27.8,11199700,27.09
2013-04-04,27.75,28,27.51,27.74,8571800,27.03
2013-04-05,27.38,27.56,27.11,27.52,11792800,26.82
2013-04-08,27.5,27.64,27.4,27.59,11572900,26.89
2013-04-09,27.77,27.78,27.5,27.53,9682300,26.83
2013-04-10,27.69,28.51,27.68,28.37,12927800,27.65
2013-04-11,28.49,29.76,28.44,29.72,22305200,28.96
2013-04-12,29.57,29.84,29.55,29.62,15617500,28.86
2013-04-15,29.41,29.69,28.84,28.91,14080800,28.17
2013-04-16,29.17,29.52,29.17,29.47,8007700,28.72
2013-04-17,29.03,29.33,28.77,29.27,10670400,28.52
2013-04-18,29.25,29.38,28.75,28.98,11121400,28.24
2013-04-19,29.1,29.26,28.91,29.15,7183000,28.41
2013-04-22,29.2,29.34,28.85,29.25,6767000,28.5
2013-04-23,29.34,29.92,29.28,29.85,8454200,29.09
2013-04-24,29.91,30.8,29.86,30.45,21511000,29.67
2013-04-25,30.06,30.78,30,30.71,14499000,29.93
2013-04-26,30.79,30.8,30.03,30.5,13738300,29.72
2013-04-29,30.62,30.9,30.42,30.79,6197700,30
2013-04-30,30.77,30.97,30.57,30.84,8117200,30.05
2013-05-01,30.77,31.08,30.11,30.18,10393700,29.41
2013-05-02,31.31,31.82,31.05,31.16,19124500,30.36
2013-05-03,31.74,32.44,31.63,32.1,12471800,31.28
2013-05-06,32.02,32.22,31.78,31.82,8501500,31.01
2013-05-07,31.92,32.13,31.46,31.65,11421600,30.84
2013-05-08,31.41,32.19,31.09,32.08,9991300,31.26
2013-05-09,32.01,32.16,31.62,31.65,10861700,30.84
2013-05-10,31.55,31.7,30.97,31.42,12811400,30.62
2013-05-13,31.16,31.35,30.87,31,8098100,30.21
2013-05-14,31.02,31.7,31.01,31.55,10676600,30.74
2013-05-15,31.55,32.4,31.51,32.31,15086000,31.49
2013-05-16,32.09,32.67,32,32.39,10425300,31.56
2013-05-17,32.99,33.77,32.81,33.42,20897700,32.57
2013-05-20,33.37,34.01,33.36,33.7,15260600,32.84
2013-05-21,33.59,33.96,32.88,33.4,13790500,32.55
2013-05-22,33.22,33.93,32.99,33.23,13238400,32.38
2013-05-23,32.33,33.11,32.1,32.85,10537300,32.01
2013-05-24,32.55,33,32.51,32.87,5861200,32.03
2013-05-28,34,34.3,33.75,33.96,16969400,33.09
2013-05-29,33.71,34.3,33.45,34.05,10867200,33.18
2013-05-30,34.04,34.91,33.87,34.64,15085300,33.76
2013-05-31,34.53,34.78,33.89,33.89,10137400,33.02
2013-06-03,34.57,34.69,33.38,34.42,17794500,33.54
2013-06-04,35.4,35.49,34.75,34.96,30517200,34.07
2013-06-05,35,35.07,34,34.02,22345200,33.15
2013-06-06,34.12,34.53,33.78,34.44,79847700,33.56
2013-06-07,34.79,35.1,34,35.03,30683600,34.14
2013-06-10,35.18,35.24,34.52,34.74,15219500,33.85
2013-06-11,34.37,34.49,33.59,33.93,17023900,33.06
2013-06-12,34.28,34.46,33.24,33.45,13642000,32.6
2013-06-13,33.36,34.51,33.1,34.5,15604800,33.62
2013-06-14,34.46,34.62,34.09,34.29,10091600,33.41
2013-06-17,34.5,34.56,33.6,33.73,10195000,32.87
2013-06-18,33.8,34.06,33.44,34.01,9926100,33.14
2013-06-19,34.02,34.25,33.65,33.66,8428700,32.8
2013-06-20,33.41,33.41,32.28,32.56,29107200,31.73
2013-06-21,32.96,32.97,31.74,32.21,18998000,31.39
2013-06-24,31.76,31.84,31.13,31.42,18970400,30.62
2013-06-25,31.75,32.02,31.54,31.82,9268300,31.01
2013-06-26,32.18,32.7,32.03,32.55,10374000,31.72
2013-06-27,32.92,33.5,32.78,33.1,11000300,32.26
2013-06-28,33.02,33.72,32.8,33.31,15813400,32.46
2013-07-01,33.52,34.19,33.41,34,10310800,33.13
2013-07-02,34.04,34.94,33.82,34.1,15171900,33.23
2013-07-03,33.94,34.4,33.76,34.14,5715700,33.27
2013-07-05,34.35,34.83,34.24,34.67,7107800,33.78
2013-07-08,34.78,35.02,34.54,34.64,11233600,33.76
2013-07-09,34.9,35.25,34.72,34.92,7243300,34.03
2013-07-10,34.9,35.34,34.84,35.33,11820200,34.43
2013-07-11,35.72,36.2,35.64,36.14,13246500,35.22
2013-07-12,36.09,36.58,35.91,36.4,10744300,35.47
2013-07-15,36.6,36.72,36.28,36.5,8968200,35.57
2013-07-16,36.87,36.94,35.76,36.18,16273700,35.26
2013-07-17,36.23,36.56,36.08,36.36,10943400,35.43
2013-07-18,36.5,36.99,36.33,36.84,10679400,35.9
2013-07-19,36.89,36.89,36.06,36.61,11608300,35.68
2013-07-22,36.62,36.99,36.48,36.76,11260700,35.82
2013-07-23,36.89,36.95,36.52,36.61,9296600,35.68
2013-07-24,37.11,37.45,36.87,37.14,15200600,36.19
2013-07-25,37.47,37.71,36.51,37.08,18095900,36.13
2013-07-26,36.93,37,36.46,36.67,15892800,35.73
2013-07-29,36.57,36.67,36.15,36.38,8407800,35.45
2013-07-30,36.53,36.78,36.32,36.5,12244500,35.57
2013-07-31,36.62,36.72,35.67,35.87,20696300,34.95
2013-08-01,36.39,36.86,36.01,36.47,16148300,35.54
2013-08-02,36.44,37.18,36.34,36.95,11913000,36.01
2013-08-05,37.03,37.05,36.65,36.75,7144300,35.81
2013-08-06,36.44,36.49,35.96,35.96,13485100,35.04
2013-08-07,36.01,36.1,35.43,35.48,19395100,34.57
2013-08-08,35.61,36.11,35.57,36.01,14457000,35.09
2013-08-09,35.96,36.27,35.7,36.02,7705800,35.1
2013-08-12,35.76,36.1,35.6,35.98,8441900,35.06
2013-08-13,36.21,36.21,35.59,35.84,7145700,34.93
2013-08-14,35.84,36.01,35.21,35.57,11341100,34.66
2013-08-15,35.17,35.18,34.41,34.55,20384600,33.67
2013-08-16,34.59,34.91,34.18,34.38,12498300,33.5
2013-08-19,34.56,34.83,34.42,34.49,9211700,33.61
2013-08-20,34.56,34.91,34.05,34.79,13766900,33.9
2013-08-21,34.78,34.95,34.39,34.53,9798600,33.65
2013-08-22,34.66,35.05,34.65,34.99,9572200,34.1
2013-08-23,35.14,35.22,34.86,35.06,7487000,34.17
2013-08-26,35.03,35.52,34.85,34.92,10831800,34.03
2013-08-27,34.44,34.61,33.62,33.69,11905600,32.83
2013-08-28,33.57,34.16,33.5,33.92,9109200,33.05
2013-08-29,33.82,34.69,33.81,34.45,10558000,33.57
2013-08-30,34.5,34.54,33.9,34.08,8099400,33.21
2013-09-03,34.68,34.77,33.96,34.14,10906700,33.27
2013-09-04,34.2,35.9,34.17,35.85,23036900,34.93
2013-09-05,36.01,36.79,35.87,36.33,18633800,35.4
2013-09-06,36.4,36.62,35.61,36.15,14244900,35.23
2013-09-09,36.34,36.7,36.25,36.48,13515500,35.55
2013-09-10,36.94,37.27,36.72,37,10626200,36.06
2013-09-11,36.53,36.6,36.02,36.35,27025600,35.42
2013-09-12,36.37,36.56,35.88,36.37,15743700,35.44
2013-09-13,36.49,36.55,35.99,36.06,12642900,35.14
2013-09-16,36.47,36.62,36.15,36.22,14715200,35.3
2013-09-17,36.32,36.98,36.32,36.71,12992300,35.77
2013-09-18,36.76,37.73,36.71,37.58,21432800,36.62
2013-09-19,37.84,37.88,37.16,37.23,16819500,36.28
2013-09-20,37.64,37.68,36.83,36.83,35700300,35.89
2013-09-23,37.15,37.5,36.55,37.13,18484700,36.18
2013-09-24,37.16,37.97,37.06,37.44,23723800,36.48
2013-09-25,37.53,37.78,37.16,37.18,15114600,36.23
2013-09-26,37.19,37.35,36.76,36.95,14022900,36.01
2013-09-27,36.77,36.9,36.16,36.37,14173500,35.44
2013-09-30,35.71,36.31,35.62,35.97,17724400,35.05
2013-10-01,36.04,36.41,35.32,35.91,21886600,34.99
2013-10-02,35.74,36,35.23,35.94,19459700,35.02
2013-10-03,35.76,35.94,35.13,35.29,15001200,34.39
2013-10-04,35.44,35.8,35.13,35.7,13811100,34.79
