Stock Quotes for HAL,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,35.48,35.73,35.07,35.71,10230700,35.05
2013-01-03,35.68,36.73,35.47,36.31,16641200,35.64
2013-01-04,36.39,36.79,36.27,36.65,8152700,35.97
2013-01-07,36.4,36.89,36.3,36.65,7676400,35.97
2013-01-08,36.29,36.57,35.71,36.19,12052900,35.52
2013-01-09,36.24,36.6,36.08,36.48,8379200,35.8
2013-01-10,36.66,36.96,36.42,36.9,9953400,36.22
2013-01-11,36.83,36.96,36.24,36.62,8333800,35.94
2013-01-14,36.6,36.91,35.71,35.91,10320800,35.24
2013-01-15,35.84,36.3,35.77,36.18,6753100,35.51
2013-01-16,36.07,36.43,36.03,36.26,5339100,35.59
2013-01-17,36.39,36.43,35.87,36.3,10937500,35.63
2013-01-18,36.56,37.56,36.46,37.5,17312400,36.8
2013-01-22,37.54,38.2,37.46,37.93,13819300,37.23
2013-01-23,37.68,38.14,37.29,37.79,9260200,37.09
2013-01-24,37.79,38.33,37.45,37.81,11012700,37.11
2013-01-25,39.55,40.28,39.32,39.72,32627000,38.98
2013-01-28,40.15,40.65,39.88,40.28,13923500,39.53
2013-01-29,40.29,41.06,40.19,40.88,14977400,40.12
2013-01-30,40.8,40.9,40.02,40.2,15532200,39.45
2013-01-31,40.03,40.93,39.88,40.68,14938200,39.93
2013-02-01,40.99,41.24,40.49,41.08,10022800,40.32
2013-02-04,40.7,41.04,40.55,40.86,11734400,40.1
2013-02-05,41.08,41.25,40.67,40.91,10153300,40.15
2013-02-06,40.6,40.9,39.55,40.31,14909000,39.56
2013-02-07,40.42,40.83,40.15,40.83,9551200,40.07
2013-02-08,40.87,41.35,40.81,41.26,8003200,40.49
2013-02-11,41.24,41.44,40.73,40.87,8821200,40.11
2013-02-12,40.99,41.15,40.64,40.71,5599700,39.95
2013-02-13,40.83,41.1,40.63,40.84,6008600,40.08
2013-02-14,40.72,43.96,40.72,43.32,26174900,42.52
2013-02-15,43,43.2,42.24,42.7,19390900,41.91
2013-02-19,43.54,43.96,42.59,42.81,15348600,42.02
2013-02-20,42.86,42.95,41.55,41.62,15690700,40.85
2013-02-21,41.36,41.43,40.26,40.77,18733900,40.01
2013-02-22,40.91,41.19,40.33,41.11,9084700,40.35
2013-02-25,41.4,41.75,39.75,39.85,9781100,39.11
2013-02-26,40.02,40.68,39.49,40.49,9852400,39.74
2013-02-27,40.1,41.4,40.06,41.27,9178400,40.5
2013-02-28,41.23,41.98,40.92,41.51,9743900,40.74
2013-03-01,41.17,41.36,40.47,40.63,9560400,39.88
2013-03-04,40.19,40.5,39.52,39.96,9178600,39.34
2013-03-05,40.15,41.02,40,41,9076100,40.36
2013-03-06,41.46,41.46,40.35,40.8,6608500,40.17
2013-03-07,41.06,41.43,40.47,41.41,9665300,40.77
2013-03-08,41.78,42.22,41.48,42.08,11000000,41.43
2013-03-11,41.9,42.27,41.6,42,9046800,41.35
2013-03-12,42.05,42.55,41.71,41.96,7073100,41.31
2013-03-13,41.99,42.38,41.64,41.84,8238000,41.19
2013-03-14,41.96,42.64,41.64,42.54,8682900,41.88
2013-03-15,42.35,42.64,41.88,41.9,14422300,41.25
2013-03-18,41.16,41.8,40.48,40.73,13678500,40.1
2013-03-19,40.77,40.93,38.83,39.62,27771200,39
2013-03-20,40,40.12,38.87,39.44,13612200,38.83
2013-03-21,39.5,40.07,39.36,39.47,10908900,38.86
2013-03-22,39.53,39.9,39,39.16,14746700,38.55
2013-03-25,39.6,39.85,39.18,39.65,9896600,39.03
2013-03-26,39.81,40.18,39.71,40.13,11004100,39.51
2013-03-27,39.97,40.89,39.63,40.66,8292000,40.03
2013-03-28,40.58,40.71,40.12,40.41,7127300,39.78
2013-04-01,40.35,40.44,39.46,39.93,6883800,39.31
2013-04-02,39.93,40.39,39.58,39.89,6905900,39.27
2013-04-03,39.94,40.06,38.45,38.75,12981100,38.15
2013-04-04,38.75,38.84,38.19,38.54,10368000,37.94
2013-04-05,37.98,38.73,37.8,38.6,14112900,38
2013-04-08,38.54,38.66,38.14,38.41,10549100,37.81
2013-04-09,38.47,39.27,38.18,39.11,8500100,38.5
2013-04-10,39.15,40.68,39.14,40.39,10959200,39.76
2013-04-11,40.52,41.24,40.11,41.17,10107800,40.53
2013-04-12,40.79,40.93,40.08,40.86,9617600,40.23
2013-04-15,40.09,40.21,38.55,38.66,13480400,38.06
2013-04-16,39.1,39.77,38.56,39.69,9736300,39.07
2013-04-17,39.22,39.24,37.45,37.69,17464900,37.1
2013-04-18,37.77,38.37,37.07,37.71,15817700,37.12
2013-04-19,38.07,38.49,36.77,37.21,20005200,36.63
2013-04-22,38.96,39.41,38.05,39.29,26107600,38.68
2013-04-23,39.45,39.98,38.99,39.69,14164700,39.07
2013-04-24,40.32,41.8,40.27,40.92,16266800,40.28
2013-04-25,41.04,41.6,40.66,40.75,10034500,40.12
2013-04-26,40.54,40.85,40.16,40.57,6921300,39.94
2013-04-29,40.87,41.98,40.46,41.57,11177800,40.92
2013-04-30,41.6,42.82,41.56,42.77,21264500,42.11
2013-05-01,42,42.33,41.69,42.08,12828500,41.43
2013-05-02,42.21,42.6,41.84,42.4,12116500,41.74
2013-05-03,42.79,43.24,42.45,42.55,11371600,41.89
2013-05-06,42.46,43.31,42.45,43.06,7956000,42.39
2013-05-07,43.25,43.79,42.88,43.42,8226600,42.75
2013-05-08,43.4,43.79,43.06,43.7,6786400,43.02
2013-05-09,43.63,43.75,43.26,43.56,6692000,42.88
2013-05-10,43.2,43.4,42.76,43.39,8941800,42.72
2013-05-13,43.13,43.63,43.13,43.56,8863600,42.88
2013-05-14,43.56,44.57,43.39,44.2,11697100,43.51
2013-05-15,43.96,44.27,43.15,44.13,9650000,43.44
2013-05-16,44.11,44.44,43.73,43.85,8220100,43.17
2013-05-17,44.63,45.25,44.41,45.25,13349100,44.55
2013-05-20,45.02,45.63,44.9,45.55,8296100,44.84
2013-05-21,45.58,45.75,43.9,44.83,17697000,44.13
2013-05-22,44.8,45.06,43.72,44.02,13220800,43.34
2013-05-23,42.45,43.64,41.91,43.52,11128200,42.84
2013-05-24,43.36,43.36,42.58,43.02,8454300,42.35
2013-05-28,43.8,43.95,43.26,43.37,9242700,42.7
2013-05-29,42.99,43.76,42.96,43.57,6382500,42.89
2013-05-30,42.68,43.06,42.03,42.63,15691400,41.97
2013-05-31,42.41,42.68,41.85,41.85,9361200,41.2
2013-06-03,41.93,42.43,41.55,42.39,8135900,41.86
2013-06-04,42.29,42.87,41.77,41.99,10579400,41.46
2013-06-05,41.9,42.12,41.68,41.76,9560500,41.23
2013-06-06,41.83,42.38,41.38,42.35,7738000,41.82
2013-06-07,42.57,43.25,42.25,43.16,7278800,42.62
2013-06-10,43.32,43.34,42.59,42.82,6137000,42.28
2013-06-11,42.22,42.62,41.83,42.04,6636100,41.51
2013-06-12,42.37,42.59,41.6,41.61,6973000,41.09
2013-06-13,41.66,43.2,41.66,43.08,7249600,42.54
2013-06-14,43.38,43.5,42.68,42.93,7506300,42.39
2013-06-17,43.36,43.94,43.24,43.62,6744700,43.07
2013-06-18,43.63,44.47,43.63,44.07,9805800,43.52
2013-06-19,43.99,44.35,43.05,43.05,9389500,42.51
2013-06-20,42.46,42.59,41.62,41.8,11031200,41.27
2013-06-21,42.1,42.25,41.19,41.79,10237300,41.26
2013-06-24,41.21,41.43,40.12,40.95,11160800,40.44
2013-06-25,41.45,41.75,40.96,41.15,10533200,40.63
2013-06-26,41.49,41.8,41.2,41.47,8239400,40.95
2013-06-27,41.67,42.1,41.61,41.84,6787000,41.31
2013-06-28,41.7,42.18,41.5,41.72,9596000,41.2
2013-07-01,42.03,42.62,41.86,42.45,8623600,41.92
2013-07-02,42.44,43.34,42.41,42.79,9175200,42.25
2013-07-03,42.77,43.3,42.56,42.65,3763500,42.11
2013-07-05,43.01,43.83,42.66,43.71,6012600,43.16
2013-07-08,44,44.2,43.65,43.92,7504800,43.37
2013-07-09,44.31,44.57,44.05,44.31,8330000,43.75
2013-07-10,44.23,44.78,43.89,44.13,7701900,43.58
2013-07-11,44.75,44.87,43.67,44.18,7294200,43.62
2013-07-12,44.07,44.67,43.97,44.64,5130100,44.08
2013-07-15,44.67,44.69,43.8,44.11,7297400,43.56
2013-07-16,44.19,44.32,43.43,43.63,5608500,43.08
2013-07-17,43.64,44.23,43.64,44.14,8307200,43.59
2013-07-18,44.22,44.93,44.16,44.74,9194700,44.18
2013-07-19,45.1,45.99,44.93,45.83,15152600,45.25
2013-07-22,46.09,46.66,44.81,45.08,17306100,44.51
2013-07-23,45.62,46.24,45.52,45.58,10811500,45.01
2013-07-24,45.64,45.78,44.62,44.82,8235500,44.26
2013-07-25,44.64,45.14,43.78,44.34,12311500,43.78
2013-07-26,46.45,46.5,45.54,45.98,23511800,45.4
2013-07-29,45.73,45.85,45.33,45.53,11513200,44.96
2013-07-30,45.59,45.59,44.94,45.23,8186000,44.66
2013-07-31,45.19,45.62,44.96,45.19,8361000,44.62
2013-08-01,45.72,46.48,45.67,46.41,9103900,45.83
2013-08-02,46.28,46.48,46.05,46.3,5334400,45.72
2013-08-05,46.16,46.25,45.76,46.05,4540300,45.47
2013-08-06,45.88,46.09,45.54,45.85,6140500,45.27
2013-08-07,45.57,45.8,45.34,45.53,5349000,44.96
2013-08-08,45.83,46.5,45.83,46.14,8820900,45.56
2013-08-09,46.18,46.49,45.72,46.03,5217300,45.45
2013-08-12,45.73,46.19,45.62,46.02,5256000,45.44
2013-08-13,46.19,46.99,46.15,46.58,8428900,45.99
2013-08-14,46.67,46.99,46.53,46.82,6822700,46.23
2013-08-15,46.5,46.78,46.27,46.68,6940000,46.09
2013-08-16,46.58,46.98,46.54,46.95,7932300,46.36
2013-08-19,46.83,47.19,46.55,46.65,12593000,46.06
2013-08-20,46.6,47.66,46.48,47.35,15038500,46.75
2013-08-21,47.22,47.5,46.91,46.98,18657500,46.39
2013-08-22,47.19,47.97,47.01,47.82,22194700,47.22
2013-08-23,47.31,48.77,47.15,48.71,39570600,48.1
2013-08-26,48.73,49.37,48.38,48.44,11125800,47.83
2013-08-27,47.98,48.72,47.68,48.13,13077900,47.52
2013-08-28,48.07,49.28,48.05,48.9,9910700,48.29
2013-08-29,49,49.05,48.23,48.54,10592400,47.93
2013-08-30,48.25,48.4,47.91,48,9771100,47.52
2013-09-03,48.35,48.54,47.98,48.3,6959000,47.82
2013-09-04,48.85,49.41,48.48,49.08,9142000,48.59
2013-09-05,49.28,50.14,49.24,49.77,9242100,49.27
2013-09-06,49.84,50.27,49.38,49.54,7976000,49.04
2013-09-09,49.24,50.48,49.23,50.26,7852400,49.76
2013-09-10,50.34,50.5,50,50.32,6717100,49.82
2013-09-11,49.4,50.34,49.33,50.19,10282500,49.69
2013-09-12,49.44,49.72,48.96,49.2,9579300,48.71
