Stock Quotes for JPM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,44.98,45,44.22,44.66,31413000,42.88
2013-01-03,44.74,44.75,44.2,44.57,24227700,42.8
2013-01-04,44.45,45.43,44.44,45.36,24487700,43.55
2013-01-07,45.09,45.49,45.02,45.41,24456900,43.6
2013-01-08,45.4,45.5,44.96,45.5,19624200,43.69
2013-01-09,45.56,46.2,45.14,45.47,25920600,43.66
2013-01-10,45.89,46.16,45.53,46.15,23413600,44.31
2013-01-11,45.97,46.15,45.47,46.14,19723900,44.3
2013-01-14,45.89,46.18,45.48,45.88,19079500,44.05
2013-01-15,45.49,46.47,45.35,46.35,29898000,44.51
2013-01-16,45.91,46.83,45.57,46.82,43453600,44.96
2013-01-17,46.4,46.87,46.29,46.44,41086800,44.59
2013-01-18,46.38,46.6,46.18,46.46,28679100,44.61
2013-01-22,46.25,46.55,46.13,46.54,24257300,44.69
2013-01-23,46.23,46.44,45.92,46.23,19105100,44.39
2013-01-24,46.24,46.8,46.08,46.37,20008200,44.52
2013-01-25,46.74,47.16,46.61,47.16,26009100,45.28
2013-01-28,46.84,47,46.48,46.64,19706800,44.78
2013-01-29,46.28,47.16,46.25,47.12,19907400,45.24
2013-01-30,47.04,47.35,46.96,47.13,18631300,45.25
2013-01-31,47.01,47.22,46.88,47.05,19536000,45.18
2013-02-01,47.4,48,47.21,47.85,24520000,45.95
2013-02-04,47.54,47.81,47.38,47.68,20822600,45.78
2013-02-05,47.94,48.8,47.93,48.79,28067500,46.85
2013-02-06,48.42,48.83,48.32,48.61,28282600,46.68
2013-02-07,48.65,48.75,47.9,48.23,21429600,46.31
2013-02-08,48.33,48.69,48.26,48.63,15218300,46.69
2013-02-11,48.51,48.9,48.38,48.66,13935900,46.72
2013-02-12,48.8,49.31,48.6,49.14,16388000,47.18
2013-02-13,49.35,49.45,48.5,48.68,21635600,46.74
2013-02-14,48.4,49.29,48.37,49.22,18017800,47.26
2013-02-15,49.35,49.46,48.57,48.88,20016200,46.93
2013-02-19,49.12,49.68,49.12,49.45,20445900,47.48
2013-02-20,49.35,49.54,48.36,48.61,24786700,46.68
2013-02-21,48.41,48.45,47.83,48.25,24437700,46.33
2013-02-22,48.63,48.91,48.41,48.91,23584100,46.96
2013-02-25,49.1,49.2,47.65,47.7,32775500,45.8
2013-02-26,48.22,48.26,46.85,47.6,39401400,45.71
2013-02-27,47.85,49.4,47.76,49.28,31921200,47.32
2013-02-28,49.16,49.55,48.75,48.92,24711500,46.97
2013-03-01,48.6,49.42,48.37,48.91,25923400,46.96
2013-03-04,48.73,49.14,48.33,49.1,17695200,47.15
2013-03-05,49.49,50.11,49.31,49.49,25561100,47.52
2013-03-06,49.88,50.19,49.62,50.03,19607900,48.04
2013-03-07,50.05,50.86,50.01,50.63,24245400,48.62
2013-03-08,50.59,50.85,49.61,50.2,32711900,48.2
2013-03-11,50.23,50.77,49.91,50.48,19473000,48.47
2013-03-12,50.35,50.67,50.05,50.28,18003400,48.28
2013-03-13,50.29,50.43,50.11,50.16,16680200,48.16
2013-03-14,50.25,51,50.19,51,26378700,48.97
2013-03-15,49.97,50.29,49.15,50.02,60880800,48.03
2013-03-18,49.19,49.66,48.95,49.51,28011400,47.54
2013-03-19,49.65,49.99,48.68,49.2,24411500,47.24
2013-03-20,49.57,49.64,49.04,49.12,19385300,47.17
2013-03-21,48.79,49.23,48.35,48.35,23535900,46.43
2013-03-22,48.63,49,48.34,48.78,22791500,46.84
2013-03-25,49.04,49.32,48.16,48.52,23581400,46.59
2013-03-26,48.74,48.97,48.32,48.64,16417500,46.7
2013-03-27,48.2,48.31,47.56,47.77,26530100,45.87
2013-03-28,47.84,47.93,47.28,47.46,27506700,45.57
2013-04-01,47.55,47.99,47.49,47.83,17442200,45.93
2013-04-02,48.01,48.38,47.88,48.28,17273700,46.36
2013-04-03,48.03,48.07,46.53,46.85,33467400,45.27
2013-04-04,46.96,47.54,46.9,47.49,21514000,45.89
2013-04-05,46.79,48.04,46.75,47.91,22961500,46.29
2013-04-08,47.88,48.59,47.59,48.58,18672300,46.94
2013-04-09,48.74,48.96,48.46,48.68,20066700,47.04
2013-04-10,48.94,49.56,48.88,49.25,20388900,47.59
2013-04-11,49.21,49.6,48.83,49.31,22584700,47.64
2013-04-12,48.9,49.58,48.45,49.01,37805900,47.35
2013-04-15,48.39,49.34,47.9,47.93,31527300,46.31
2013-04-16,48.43,48.52,47.59,48.49,23865500,46.85
2013-04-17,48.11,48.18,46.38,46.79,43466300,45.21
2013-04-18,46.8,47.33,46.05,46.64,26106800,45.06
2013-04-19,47.15,47.36,46.7,47.23,19746100,45.63
2013-04-22,47.4,47.49,46.87,47.35,15230100,45.75
2013-04-23,47.68,48.24,47.39,48.17,20568500,46.54
2013-04-24,48.32,48.92,48.16,48.72,16459300,47.07
2013-04-25,49.02,49.63,48.89,49,19058800,47.34
2013-04-26,48.86,49.09,48.61,48.88,13929000,47.23
2013-04-29,49.08,49.1,48.65,48.92,13496300,47.27
2013-04-30,48.96,49.25,48.72,49.01,13802600,47.35
2013-05-01,48.76,48.91,47.85,48.01,17686400,46.39
2013-05-02,48.25,48.25,47.71,48.08,15529300,46.46
2013-05-03,48.63,48.7,46.98,47.57,43257900,45.96
2013-05-06,47.71,48.39,47.57,48.18,20829500,46.55
2013-05-07,48.57,49.39,48.26,49.14,24291600,47.48
2013-05-08,49.22,49.99,49.11,49.76,23559300,48.08
2013-05-09,49.7,49.81,48.92,49.04,18103100,47.38
2013-05-10,49.05,49.23,48.64,48.96,16199600,47.31
2013-05-13,48.84,49.7,48.61,49.67,23979500,47.99
2013-05-14,49.77,50.42,49.66,50.23,24188400,48.53
