Stock Quotes for KO,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,36.99,37.6,36.66,37.6,21872400,35.73
2013-01-03,37.45,37.6,37.11,37.6,16357900,35.73
2013-01-04,37.65,37.87,37.52,37.66,15311300,35.79
2013-01-07,37.52,37.52,37.1,37.3,14610200,35.45
2013-01-08,37.19,37.28,36.91,37.04,14324300,35.2
2013-01-09,37.2,37.2,36.83,37.03,10563700,35.19
2013-01-10,37.12,37.17,36.76,36.96,15603700,35.12
2013-01-11,36.84,36.94,36.52,36.91,15644800,35.08
2013-01-14,36.95,37.11,36.8,36.99,11001500,35.15
2013-01-15,36.99,37.43,36.8,37.32,12721600,35.47
2013-01-16,37.21,37.42,37.12,37.32,9168000,35.47
2013-01-17,37.43,37.66,37.33,37.51,12121800,35.65
2013-01-18,37.49,37.71,37.31,37.7,14056100,35.83
2013-01-22,37.74,37.74,37.05,37.13,21249400,35.28
2013-01-23,37.08,37.26,37.04,37.13,13570200,35.28
2013-01-24,37.2,37.25,37,37.11,13258900,35.27
2013-01-25,37.18,37.25,36.91,37.05,14040700,35.21
2013-01-28,37.07,37.11,36.86,37.01,13386500,35.17
2013-01-29,36.88,37.57,36.86,37.42,17705800,35.56
2013-01-30,37.4,37.61,37.32,37.5,13219400,35.64
2013-01-31,37.53,37.53,37.11,37.24,12969100,35.39
2013-02-01,37.54,37.71,37.37,37.54,11932600,35.67
2013-02-04,37.48,37.58,37.3,37.35,9456300,35.49
2013-02-05,37.56,38.16,37.56,38.14,17897300,36.24
2013-02-06,38.13,38.43,38,38.31,16823700,36.41
2013-02-07,38.42,39.06,38.35,38.91,18805300,36.98
2013-02-08,38.85,38.94,38.6,38.77,12308000,36.84
2013-02-11,38.71,38.83,38.41,38.61,12159900,36.69
2013-02-12,38.11,38.16,37.28,37.56,30700500,35.69
2013-02-13,37.67,37.94,37.01,37.21,19943800,35.36
2013-02-14,37.24,37.51,36.7,36.84,22748600,35.01
2013-02-15,36.94,37.42,36.54,37.42,25204300,35.56
2013-02-19,37.51,37.77,37.46,37.67,14850600,35.8
2013-02-20,37.7,37.88,37.41,37.73,12949300,35.86
2013-02-21,37.62,37.79,37.43,37.71,14135100,35.84
2013-02-22,37.76,38.52,37.71,38.52,20102800,36.61
2013-02-25,38.56,38.72,37.72,37.72,15874600,35.85
2013-02-26,37.95,38.19,37.78,38.11,15770000,36.22
2013-02-27,38.03,38.54,37.92,38.45,14271100,36.54
2013-02-28,38.47,38.97,38.42,38.72,19005500,36.8
2013-03-01,38.49,38.79,38.49,38.7,13724500,36.78
2013-03-04,38.6,38.82,38.45,38.82,9934300,36.89
2013-03-05,38.98,39,38.56,38.68,13240700,36.76
2013-03-06,38.8,39.04,38.7,39.02,11653900,37.08
2013-03-07,39.04,39.19,38.84,39.12,15094900,37.18
2013-03-08,39.17,39.42,39.03,39.22,11183600,37.27
2013-03-11,39.2,39.38,39.18,39.31,9200400,37.36
2013-03-12,39.28,39.31,38.8,38.96,11375900,37.02
2013-03-13,38.82,38.87,38.55,38.59,14358300,36.94
2013-03-14,38.82,39.12,38.66,39.02,14572500,37.35
2013-03-15,38.82,38.94,38.66,38.83,20781900,37.17
2013-03-18,38.61,38.94,38.57,38.76,11479900,37.1
2013-03-19,38.92,39.4,38.82,39.33,15192000,37.65
2013-03-20,39.4,39.92,39.36,39.87,19271900,38.16
2013-03-21,39.85,40.43,39.76,40.07,23063600,38.35
2013-03-22,39.98,40.28,39.89,40.04,16128500,38.33
2013-03-25,40.11,40.25,39.96,40.12,15718400,38.4
2013-03-26,40.13,40.7,40.13,40.69,13666500,38.95
2013-03-27,40.45,40.54,40.06,40.22,14559900,38.5
2013-03-28,40.38,40.6,40.02,40.44,14227200,38.71
2013-04-01,40.39,40.49,40.17,40.45,8200500,38.72
2013-04-02,40.43,40.9,40.42,40.72,13359200,38.98
2013-04-03,40.78,40.82,40.08,40.17,13639200,38.45
2013-04-04,40.27,40.59,40.2,40.54,11435900,38.8
2013-04-05,40.21,40.36,40.01,40.08,10729500,38.36
2013-04-08,40.06,40.87,39.77,40.86,22757900,39.11
2013-04-09,40.81,41.13,40.51,40.71,21056100,38.97
2013-04-10,40.78,41.17,40.71,41.07,9703700,39.31
2013-04-11,41.13,41.41,41.06,41.18,10962500,39.42
2013-04-12,40.91,41.11,40.68,41.08,10394700,39.32
2013-04-15,40.85,40.99,40.05,40.09,16050600,38.37
2013-04-16,41.4,42.48,41.25,42.37,32135700,40.56
2013-04-17,42.14,42.7,42.03,42.55,24208000,40.73
2013-04-18,42.48,42.65,42.09,42.1,16034200,40.3
2013-04-19,42.28,42.77,42.2,42.66,13875800,40.83
2013-04-22,42.52,42.85,42.4,42.72,10544100,40.89
2013-04-23,42.78,42.96,42.26,42.7,11216200,40.87
2013-04-24,42.64,42.9,42.1,42.15,11368200,40.35
2013-04-25,42.26,42.54,42.08,42.35,10197100,40.54
2013-04-26,42.18,42.43,42.09,42.1,15159800,40.3
2013-04-29,42.24,42.29,41.92,42.24,11311100,40.43
2013-04-30,42.15,42.39,41.88,42.33,13432200,40.52
2013-05-01,42.15,42.56,42.14,42.21,8710600,40.4
2013-05-02,41.66,42.16,41.49,41.96,18709600,40.16
2013-05-03,42.17,42.42,41.96,42.24,11757800,40.43
2013-05-06,42.29,42.29,41.87,42.08,9356100,40.28
2013-05-07,42.21,42.71,42.15,42.7,13785300,40.87
2013-05-08,42.54,42.68,42.16,42.46,12636300,40.64
2013-05-09,42.51,42.56,42,42.12,10113700,40.32
2013-05-10,42.11,42.24,41.85,42.15,9927000,40.35
2013-05-13,42.14,42.44,42,42.19,9291000,40.38
2013-05-14,42.18,42.67,42.01,42.52,13023900,40.7
2013-05-15,42.5,43.1,42.39,42.92,12306200,41.08
2013-05-16,42.91,43.43,42.79,43.09,12330000,41.25
2013-05-17,43.05,43.13,42.56,42.97,12611200,41.13
2013-05-20,42.95,42.95,42.3,42.38,9966000,40.57
2013-05-21,42.48,42.56,42.07,42.34,9148800,40.53
2013-05-22,42.28,42.86,42.04,42.25,13615600,40.44
2013-05-23,41.93,42.07,41.56,41.93,10934200,40.13
2013-05-24,41.54,42.37,41.5,42.24,11542100,40.43
2013-05-28,42.6,43.05,42.4,42.55,14412100,40.73
2013-05-29,42.34,42.43,41.31,41.4,16986600,39.63
2013-05-30,41.49,41.6,40.75,40.77,20874500,39.02
2013-05-31,40.65,40.77,39.99,39.99,26184400,38.28
2013-06-03,39.95,40.84,39.63,40.81,16577200,39.06
2013-06-04,41.59,41.72,40.95,41.42,19241000,39.65
2013-06-05,41.4,41.4,40.6,40.65,16429300,38.91
2013-06-06,40.55,40.79,40.31,40.79,11171600,39.04
2013-06-07,41.2,41.73,40.98,41.41,14459600,39.64
2013-06-10,41.5,41.52,41.04,41.18,11247400,39.42
2013-06-11,40.88,40.98,40.4,40.79,16491600,39.04
2013-06-12,40.79,40.94,40.28,40.39,11611100,38.93
2013-06-13,40.31,40.48,39.68,40.41,17861200,38.95
2013-06-14,40.38,40.79,40.26,40.34,13635100,38.88
2013-06-17,40.54,40.91,40.4,40.68,12409200,39.21
