Stock Quotes for LOW,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,36.13,36.38,35.83,36.19,8229700,35.16
2013-01-03,36.32,36.4,35.71,35.85,8564600,34.83
2013-01-04,35.94,36.05,35.55,35.58,7705000,34.57
2013-01-07,34.99,35.18,34.43,34.76,12497600,33.77
2013-01-08,34.93,35.31,34.65,34.78,6513700,33.79
2013-01-09,34.91,35.23,34.8,34.88,5400700,33.89
2013-01-10,35.04,35.56,34.8,35.55,8024800,34.54
2013-01-11,35.6,35.88,35.46,35.83,8307700,34.81
2013-01-14,35.8,35.85,35.31,35.38,9530900,34.38
2013-01-15,35.45,35.99,35.21,35.93,8270100,34.91
2013-01-16,35.8,36,35.55,35.77,4543400,34.75
2013-01-17,35.99,37.08,35.97,37,11461600,35.95
2013-01-18,37.06,37.15,36.63,36.99,11866400,36.1
2013-01-22,37.03,37.44,36.8,37.44,8718800,36.53
2013-01-23,37.3,37.97,37.05,37.88,12682100,36.96
2013-01-24,37.95,38.53,37.88,38.41,13364100,37.48
2013-01-25,38.5,39.26,38.23,38.58,15477200,37.65
2013-01-28,38.71,38.75,38.17,38.35,7698000,37.42
2013-01-29,38.2,38.53,38.02,38.23,7748800,37.31
2013-01-30,38.28,38.42,38.06,38.21,6144900,37.29
2013-01-31,38.2,38.57,37.96,38.19,10543000,37.27
2013-02-01,38.45,39.15,38.4,38.56,11080200,37.63
2013-02-04,38.29,38.81,37.92,37.94,8536400,37.02
2013-02-05,38.22,38.55,38.2,38.33,8637200,37.4
2013-02-06,38.22,38.68,37.98,38.67,8650300,37.73
2013-02-07,38.52,38.9,38.31,38.77,9693900,37.83
2013-02-08,38.77,39.2,38.71,39.03,5914000,38.09
2013-02-11,39.12,39.21,38.93,39.06,5049900,38.12
2013-02-12,39.27,39.91,39.17,39.79,7696600,38.83
2013-02-13,39.87,39.98,39.48,39.77,5722600,38.81
2013-02-14,39.72,39.88,39.41,39.57,8023000,38.61
2013-02-15,39.4,39.74,38.76,39.14,9977700,38.19
2013-02-19,39.26,39.72,38.89,39.41,8142900,38.46
2013-02-20,39.41,39.63,38.63,38.64,8441600,37.71
2013-02-21,37.8,38.16,37.23,37.67,13460000,36.76
2013-02-22,37.98,38.12,37.56,37.67,8770400,36.76
2013-02-25,38.07,38.38,35.86,35.86,20372000,34.99
2013-02-26,36.15,37.22,35.92,36.59,18853100,35.71
2013-02-27,36.48,37.8,36.46,37.71,17520600,36.8
2013-02-28,37.74,38.46,37.6,38.15,13931600,37.23
2013-03-01,37.91,38.52,37.8,38.38,11073400,37.45
2013-03-04,38.12,38.44,37.91,38.43,8527400,37.5
2013-03-05,38.54,38.81,38.3,38.76,7843600,37.82
2013-03-06,38.75,39.22,38.68,38.83,6575800,37.89
2013-03-07,38.83,38.89,38.24,38.7,6206800,37.76
2013-03-08,38.9,39.39,38.8,39.31,6696100,38.36
2013-03-11,39.13,39.69,39.13,39.67,6308600,38.71
2013-03-12,39.59,39.69,38.88,39.04,7364600,38.1
2013-03-13,39.2,39.52,39,39.4,5383400,38.45
2013-03-14,39.38,39.55,39.1,39.2,7326300,38.25
2013-03-15,39.03,39.3,38.74,38.81,9708100,37.87
2013-03-18,38.46,38.99,38.35,38.74,7319100,37.8
2013-03-19,38.76,39,37.96,38.24,9333700,37.32
2013-03-20,38.47,38.74,38.35,38.41,5842100,37.48
2013-03-21,38.2,38.49,37.63,37.76,10148600,36.85
2013-03-22,37.93,37.95,37.55,37.83,7641400,36.92
2013-03-25,38.11,38.76,38.02,38.12,10506700,37.2
2013-03-26,38.39,38.44,37.92,38.22,5646600,37.3
2013-03-27,37.97,38.35,37.92,38.18,3464100,37.26
2013-03-28,38.06,38.34,37.88,37.92,9215400,37
2013-04-01,37.8,37.92,37.33,37.52,11165800,36.61
2013-04-02,37.59,38.14,37.59,38.02,5622400,37.1
2013-04-03,38.1,38.25,37.5,37.87,9207100,36.95
2013-04-04,37.93,38.75,37.93,38.63,11629700,37.7
2013-04-05,38.17,38.5,37.68,38.39,7626000,37.46
2013-04-08,38.36,39.03,38.32,38.98,7895600,38.04
2013-04-09,39.08,39.24,38.79,38.87,6667100,37.93
2013-04-10,38.87,39.08,38.64,39.01,7302100,38.07
2013-04-11,39.15,39.42,38.8,38.84,7878200,37.9
2013-04-12,38.69,39.38,38.56,38.92,6995900,37.98
2013-04-15,38.6,39.18,37.9,37.91,10045400,36.99
2013-04-16,38.2,38.37,37.47,37.99,11945000,37.07
2013-04-17,37.82,37.97,37.38,37.59,8839500,36.68
2013-04-18,37.74,37.76,37.09,37.32,8215600,36.42
2013-04-19,37.48,38.35,37.47,38.12,7786800,37.2
2013-04-22,38.03,38.06,37.39,37.69,5180100,36.93
2013-04-23,37.8,38.33,37.62,38.01,8800300,37.25
2013-04-24,38.15,38.34,37.66,37.71,7076300,36.95
2013-04-25,37.73,37.94,37.42,37.79,8312400,37.03
2013-04-26,37.79,38.02,37.7,37.7,5232900,36.94
2013-04-29,37.78,38.45,37.56,38.25,10374100,37.48
2013-04-30,38.19,38.58,38.06,38.42,5850700,37.65
2013-05-01,38.34,38.52,37.98,38.18,7105500,37.41
2013-05-02,38.29,38.87,38.12,38.87,5687700,38.09
2013-05-03,39.15,39.61,39.05,39.59,6987500,38.8
2013-05-06,39.54,40.88,39.5,40.81,10498100,39.99
2013-05-07,40.87,41.14,40.12,40.29,8953600,39.48
2013-05-08,40.7,42.4,40.22,42.35,14062900,41.5
2013-05-09,42.13,42.29,41.55,41.77,9947700,40.93
2013-05-10,41.89,42.08,41.63,42.07,4584900,41.23
2013-05-13,41.88,42.29,41.88,42.09,3863200,41.25
2013-05-14,42.21,42.9,42.21,42.78,6416800,41.92
2013-05-15,42.74,43.28,42.74,43.23,6682500,42.36
2013-05-16,43.17,43.55,42.72,42.76,7490700,41.9
2013-05-17,42.81,42.97,42.39,42.67,7812700,41.81
2013-05-20,42.26,42.77,42.16,42.38,7161200,41.53
2013-05-21,43.08,43.4,42.18,42.45,10779500,41.6
2013-05-22,43.3,43.84,42.46,42.97,19588200,42.11
2013-05-23,42.44,42.79,42.15,42.69,8272600,41.83
2013-05-24,42.13,42.71,42.06,42.64,7603100,41.78
2013-05-28,43.12,43.42,42.71,42.86,6755800,42
2013-05-29,42.56,43.27,42.43,43.09,7309000,42.23
2013-05-30,43.24,43.49,42.63,42.66,6775400,41.8
2013-05-31,42.44,43.26,42.11,42.11,7494500,41.26
2013-06-03,42.12,42.36,41.62,42.36,6169800,41.51
2013-06-04,42.17,42.46,40.97,40.99,9221300,40.17
