Stock Quotes for MO,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,32.12,32.54,31.98,32.54,13536600,29.81
2013-01-03,32.59,32.7,32.41,32.56,11243400,29.82
2013-01-04,32.57,32.68,32.46,32.54,7117400,29.81
2013-01-07,32.49,32.78,32.39,32.46,7399000,29.73
2013-01-08,32.4,32.46,32.03,32.14,8112400,29.44
2013-01-09,32.24,32.26,31.85,31.9,10680600,29.22
2013-01-10,32.59,32.8,32.33,32.7,14451500,29.95
2013-01-11,32.75,33.03,32.7,32.93,7403500,30.16
2013-01-14,32.98,33.2,32.95,32.99,11788800,30.22
2013-01-15,32.86,32.99,32.78,32.78,7462300,30.03
2013-01-16,32.72,32.87,32.65,32.78,6604100,30.03
2013-01-17,32.93,33.1,32.74,32.99,7290300,30.22
2013-01-18,32.95,33.32,32.94,33.27,11702700,30.47
2013-01-22,33.24,33.27,32.96,33.15,9987900,30.36
2013-01-23,33.09,33.09,32.8,33.01,8699500,30.24
2013-01-24,33.18,33.51,33.17,33.41,7550700,30.6
2013-01-25,33.46,33.54,33.28,33.45,7096500,30.64
2013-01-28,33.49,33.79,33.31,33.7,8044300,30.87
2013-01-29,33.67,33.84,33.65,33.7,9526500,30.87
2013-01-30,33.66,33.88,33.6,33.7,8032600,30.87
2013-01-31,33.83,33.92,33.64,33.68,9388400,30.85
2013-02-01,33.93,34.25,33.91,34.2,8007000,31.33
2013-02-04,34.05,34.08,33.69,33.89,8392200,31.04
2013-02-05,33.96,34.24,33.96,34.18,6927800,31.31
2013-02-06,34.07,34.2,34.01,34.12,6563100,31.25
2013-02-07,34.13,34.65,34.08,34.61,10037100,31.7
2013-02-08,34.62,34.88,34.56,34.69,8585200,31.77
2013-02-11,34.74,34.8,34.66,34.75,4621500,31.83
2013-02-12,34.7,34.84,34.54,34.66,8774500,31.75
2013-02-13,34.66,34.79,34.61,34.78,6081100,31.86
2013-02-14,34.78,34.8,34.06,34.11,11858900,31.24
2013-02-15,34.15,34.52,34.15,34.38,8895800,31.49
2013-02-19,34.5,34.78,34.44,34.77,7193100,31.85
2013-02-20,34.73,35.1,34.71,34.89,7371000,31.96
2013-02-21,34.93,35.24,34.62,35.2,9672300,32.24
2013-02-22,35.14,35.32,34.92,35.32,9012500,32.35
2013-02-25,35.44,35.47,34.63,34.65,9896400,31.74
2013-02-26,34.55,34.69,34.23,34.3,11001900,31.42
2013-02-27,34.2,34.23,33.54,34.07,18470700,31.21
2013-02-28,34.05,34.07,33.55,33.55,18623900,30.73
2013-03-01,33.53,33.72,33.43,33.49,15542000,30.68
2013-03-04,33.51,34.09,33.51,33.93,12799700,31.08
2013-03-05,34.1,34.3,34.02,34.24,16322600,31.36
2013-03-06,34.31,34.34,34.01,34.13,6422700,31.26
2013-03-07,34.21,34.23,33.83,33.96,7735300,31.11
2013-03-08,33.97,34.08,33.79,34,28971400,31.14
2013-03-11,34.02,34.3,34,34.26,37694000,31.38
2013-03-12,34.27,34.39,34.14,34.16,44736100,31.29
2013-03-13,33.93,33.93,33.69,33.93,9436600,31.48
2013-03-14,33.92,34.01,33.64,33.8,9324100,31.36
2013-03-15,33.65,33.74,33.52,33.68,12641600,31.25
2013-03-18,33.49,33.62,33.34,33.47,6149100,31.06
2013-03-19,33.5,33.73,33.5,33.69,8690400,31.26
2013-03-20,33.73,34.17,33.7,34.04,9647900,31.59
2013-03-21,33.94,33.99,33.75,33.86,6360300,31.42
2013-03-22,33.92,34.05,33.82,33.91,6318000,31.47
2013-03-25,33.96,34.1,33.81,33.88,5629000,31.44
2013-03-26,34.04,34.36,33.96,34.36,6924800,31.88
