Stock Quotes for MON,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,95.55,96.38,95.23,96.15,3168900,94
2013-01-03,96.07,96.71,95.04,95.34,2262400,93.21
2013-01-04,95.56,96.69,95.18,96.11,2164300,93.96
2013-01-07,95.65,96.11,95,95.94,2307000,93.8
2013-01-08,99.34,99.99,98.04,98.5,7415400,96.3
2013-01-09,97.97,99.88,97.74,99.58,4865000,97.35
2013-01-10,100.05,100.06,98.57,99.47,3632200,97.25
2013-01-11,99.53,100.62,99,100.08,3067500,97.84
2013-01-14,100.37,100.99,99.99,100.59,2867300,98.34
2013-01-15,100.13,101.68,99.98,101.44,2812400,99.17
2013-01-16,101.39,102.29,101.39,101.9,3188500,99.62
2013-01-17,102.29,102.29,101.28,101.32,2715600,99.05
2013-01-18,101.57,102.47,101.07,102.47,2765300,100.18
2013-01-22,102.05,102.84,101.87,102.41,2501100,100.12
2013-01-23,102.03,103.5,101.99,103.08,2388600,100.78
2013-01-24,102.99,104.19,102.72,103.62,2818400,101.3
2013-01-25,103.96,104.09,103,103.45,2203400,101.14
2013-01-28,103.7,103.7,102.56,102.85,2228600,100.55
2013-01-29,102.74,103.34,102.14,102.9,2059900,100.6
2013-01-30,102.7,103.61,102.45,102.73,1716800,100.43
2013-01-31,101.49,102.98,101,101.35,2593100,99.08
2013-02-01,102.32,103.24,101.91,102.27,2000600,99.98
2013-02-04,101.54,101.85,100.83,101.34,2352100,99.07
2013-02-05,101.96,102.49,101.77,102.02,1674800,99.74
2013-02-06,101.4,102.04,101.23,101.71,2078900,99.44
2013-02-07,101.3,101.5,99.52,100.57,2818400,98.32
2013-02-08,100.8,101.57,100.1,101.15,3069600,98.89
2013-02-11,101.81,102.26,100.89,102.12,2161600,99.84
2013-02-12,101.82,102.02,101,101.77,1533100,99.49
2013-02-13,102,102.86,101.89,102.81,1764600,100.51
2013-02-14,102.21,102.29,101.45,102,1994700,99.72
2013-02-15,101.51,103.52,101.5,103.51,3076200,101.2
2013-02-19,102.45,103.22,101.81,101.89,2854100,99.61
2013-02-20,102.07,102.21,98.15,98.66,6323600,96.45
2013-02-21,98.5,99.72,97.9,98.71,3414300,96.5
2013-02-22,98.95,99.99,98.23,99.98,2620600,97.74
2013-02-25,100.19,100.53,98.01,98.09,2560900,95.9
2013-02-26,98.6,99.48,98.08,99.2,2190500,96.98
2013-02-27,99.2,100.72,99.04,100.4,2549500,98.16
2013-02-28,100.61,101.59,100.18,101.03,2167500,98.77
2013-03-01,100.5,102,99.99,101.66,1933500,99.39
2013-03-04,101.41,101.66,100.43,101.62,1839300,99.35
2013-03-05,102,103.49,101.99,102.77,2076200,100.47
2013-03-06,103.19,103.4,101.58,102.29,1888500,100
2013-03-07,102.35,103.38,102.35,102.91,1456200,100.61
2013-03-08,103,103.49,102.39,103.35,1648200,101.04
2013-03-11,103.13,104.3,102.73,104.22,1592100,101.89
2013-03-12,103.79,103.92,103.08,103.38,1859100,101.07
2013-03-13,103.59,104.59,103.3,103.64,1774300,101.32
2013-03-14,103.7,104.29,103.7,104.1,1601300,101.77
2013-03-15,103.64,104.96,103.48,104.24,3365900,101.91
2013-03-18,103.41,103.54,102.42,102.64,1565600,100.35
2013-03-19,102.66,103,101.08,102.3,1998600,100.01
2013-03-20,102.95,103.61,102.69,103.12,1805000,100.81
2013-03-21,102.92,102.92,100.99,101.05,1967700,98.79
2013-03-22,101.42,101.67,100.94,101.32,1699800,99.05
2013-03-25,101.28,101.47,98.92,99.4,2892700,97.18
2013-03-26,100.51,103.96,100.24,103.79,3816000,101.47
2013-03-27,103.07,105.79,102.9,105.12,4315600,102.77
2013-03-28,105.3,105.82,104.51,105.63,2774400,103.27
2013-04-01,105.5,106.61,105.31,105.79,2584500,103.43
2013-04-02,106,106.27,103.22,104,3457800,101.68
2013-04-03,105.63,106.44,103.54,104.51,5296600,102.54
2013-04-04,104.86,107.24,104.37,105.74,3273200,103.75
2013-04-05,104.6,105.25,104.37,105.1,4174900,103.12
2013-04-08,104.98,105.58,104.76,105.2,2758500,103.22
2013-04-09,105.35,106.3,104.98,105.26,2198200,103.28
2013-04-10,105.05,105.88,105,105.65,1708100,103.66
2013-04-11,105.67,107.18,105.32,107.1,2834900,105.08
2013-04-12,106.99,107.25,104.7,105.45,2347500,103.47
2013-04-15,104.79,104.79,102.75,103.1,4143600,101.16
2013-04-16,104.21,105.49,103.81,105.36,2405000,103.38
2013-04-17,104.48,104.69,103.65,103.79,2948000,101.84
2013-04-18,104.03,104.09,101.53,102.12,2710100,100.2
2013-04-19,102.57,103.72,102.42,103.22,2144400,101.28
2013-04-22,103.37,103.83,102.48,103.45,1740100,101.5
2013-04-23,103.62,104,102.07,103.75,2169100,101.8
2013-04-24,104.16,104.92,103.51,104.17,1680300,102.21
2013-04-25,104.73,106.47,104.5,105.93,2671800,103.94
2013-04-26,105.75,106.29,104.57,104.68,1409000,102.71
2013-04-29,105.07,106.68,104.78,106.5,1741100,104.5
2013-04-30,106.5,106.99,105.61,106.82,2088700,104.81
2013-05-01,106.54,106.67,104.63,104.7,1874800,102.73
2013-05-02,104.88,106.21,104.18,106.11,1873100,104.11
2013-05-03,106.84,107.73,106.28,107.28,1751900,105.26
2013-05-06,107.17,107.7,106.62,107.19,1261700,105.17
2013-05-07,107.17,108.06,106.61,107.86,1554500,105.83
2013-05-08,107.69,108.32,106.82,108.29,2552200,106.25
2013-05-09,108.35,108.63,107.12,107.46,1570400,105.44
2013-05-10,107.6,108.34,107.42,108.12,1506200,106.09
2013-05-13,107.77,108.01,106.68,106.83,1980500,104.82
2013-05-14,107.06,107.97,106.41,107.65,2712600,105.62
