Stock Quotes for NOV,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,70.08,70.21,68.86,70.04,3161500,61.47
2013-01-03,69.89,71.02,69.19,69.67,4312500,61.15
2013-01-04,70,71.93,69.86,71.75,3413300,62.97
2013-01-07,71.12,71.48,70.61,71.35,3061200,62.62
2013-01-08,70.02,70.37,69.02,69.4,4102500,60.91
2013-01-09,69.88,69.95,69.23,69.86,3252100,61.31
2013-01-10,70.35,70.58,70.05,70.41,2614000,61.8
2013-01-11,70.34,70.89,70.09,70.89,2364900,62.22
2013-01-14,70.99,70.99,70.13,70.34,2868900,61.74
2013-01-15,69.96,70.74,69.84,70.24,3542000,61.65
2013-01-16,69.98,70.77,69.86,70.42,2837600,61.81
2013-01-17,70.98,71.85,70.51,71.73,3386200,62.96
2013-01-18,72.33,72.78,71.97,72.76,3876700,63.86
2013-01-22,72.81,74.12,72.78,73.79,3411500,64.76
2013-01-23,73.51,73.93,73.03,73.67,3081800,64.66
2013-01-24,73.76,74.36,73.16,73.76,2751400,64.74
2013-01-25,74.27,75,73.82,74,3400000,64.95
2013-01-28,74.36,74.57,72.87,73.62,3580200,64.61
2013-01-29,73.7,74.2,73.18,74.12,2193900,65.05
2013-01-30,74.35,74.52,73.23,73.66,3400100,64.65
2013-01-31,73.35,74.5,73.22,74.14,4812000,65.07
2013-02-01,72.98,72.98,69.52,71.26,13993400,62.54
2013-02-04,71,71.75,70.09,70.17,5077100,61.59
2013-02-05,70.06,70.51,67.97,68.21,11049200,59.87
2013-02-06,67.9,67.98,66,66.57,11944500,58.43
2013-02-07,66.93,68.5,66.8,68.1,10728600,59.77
2013-02-08,68.34,69.27,68.32,69.08,4955600,60.63
2013-02-11,69.32,69.53,68.02,68.26,4301600,59.91
2013-02-12,68.54,69.14,68.3,68.92,3344900,60.49
2013-02-13,69.02,69.1,68.65,68.96,3981500,60.52
2013-02-14,68.44,71.12,68.16,70.29,5633900,61.69
2013-02-15,70.71,70.89,68.92,69.33,4897100,60.85
2013-02-19,69.79,70.21,69.36,69.48,4035500,60.98
2013-02-20,69.5,69.72,67.77,67.84,5133300,59.54
2013-02-21,67.49,67.49,66.13,66.78,4690300,58.61
2013-02-22,67.19,68.14,66.77,68.1,3834800,59.77
2013-02-25,68.57,68.93,66.21,66.26,4815600,58.16
2013-02-26,66.54,67.18,66.02,66.84,4881500,58.66
2013-02-27,66.76,68.77,66.75,68.51,3405300,60.13
2013-02-28,68.6,69.03,68.13,68.13,3258200,59.8
2013-03-01,67.78,67.78,66.55,66.96,4398200,58.77
2013-03-04,67,67.04,65.56,66.33,4774100,58.22
2013-03-05,67.21,67.8,66.86,67.03,3323000,58.83
2013-03-06,67.44,67.72,66.64,67.59,3288400,59.32
2013-03-07,67.75,68.02,67.4,67.76,3021700,59.47
2013-03-08,68.19,68.49,67.64,68.19,3644200,59.85
2013-03-11,68.05,68.18,67.27,67.68,4163900,59.4
2013-03-12,67.73,67.8,66.63,67.63,5701700,59.36
2013-03-13,67.65,67.92,67.32,67.52,3472500,59.38
2013-03-14,67.7,68.9,67.62,68.79,4236700,60.49
2013-03-15,68.92,71.09,68.74,70.53,7694200,62.02
2013-03-18,69.64,70.29,68.95,69.33,5134100,60.97
2013-03-19,69.58,69.65,67.31,68.03,6142300,59.82
2013-03-20,68.21,68.88,68,68.74,4001800,60.45
2013-03-21,68.44,69,67.8,67.81,4091400,59.63
2013-03-22,68.01,68.42,67.86,68.26,3632300,60.03
2013-03-25,68.72,69.25,68.17,68.51,3459900,60.25
2013-03-26,69.26,70.81,69.07,69.47,6449700,61.09
2013-03-27,69.14,70.91,69.04,70.69,3964600,62.16
