Stock Quotes for OXY,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,78.33,78.5,77.28,78.16,3854200,74.31
2013-01-03,78.02,79.32,77.85,78.47,3237900,74.61
2013-01-04,78.51,79.88,78.47,79.84,3775600,75.91
2013-01-07,79.56,80.17,79.26,79.88,3595900,75.95
2013-01-08,80.28,82,79.92,81.72,8392300,77.7
2013-01-09,81.61,82.45,81.6,82.11,5419500,78.07
2013-01-10,82.98,83.17,82.23,83.01,5150100,78.93
2013-01-11,82.93,83.17,82.59,83.08,3470800,78.99
2013-01-14,83.1,83.5,82.21,82.67,3077700,78.6
2013-01-15,82.33,82.82,82.2,82.49,2594200,78.43
2013-01-16,82.39,82.56,82.07,82.29,3071600,78.24
2013-01-17,82.73,82.99,82.38,82.39,3392000,78.34
2013-01-18,82.44,82.58,81.61,82.58,4782000,78.52
2013-01-22,82.39,83.66,82.17,83.6,5006300,79.49
2013-01-23,83.6,83.72,82.7,82.92,4144000,78.84
2013-01-24,83.05,83.83,83.05,83.4,3312000,79.3
2013-01-25,83.61,84.14,83.23,84.06,3374900,79.92
2013-01-28,84.53,84.58,83.02,83.84,3355700,79.71
2013-01-29,84.03,85.25,83.81,85.11,4201400,80.92
2013-01-30,85.16,86.34,85.04,85.32,6012000,81.12
2013-01-31,86.05,88.59,85.65,88.27,13890800,83.93
2013-02-01,88.51,88.51,87.16,87.68,7258300,83.37
2013-02-04,87.73,88.52,87.5,87.99,6808800,83.66
2013-02-05,88.52,88.74,87.81,88.41,4771900,84.06
2013-02-06,87.85,88.72,87.51,88.68,4098900,84.32
2013-02-07,88.62,88.74,87.75,88.17,4147300,83.83
2013-02-08,88.16,88.6,88.1,88.36,3173100,84.01
2013-02-11,88.24,88.25,87.09,87.21,3413800,82.92
2013-02-12,87.31,87.5,86.49,86.93,3520600,82.65
2013-02-13,87.1,87.38,86.57,86.94,2388200,82.66
2013-02-14,86.74,87.31,86.45,86.91,4147200,82.63
2013-02-15,87.2,87.25,84.62,84.71,9407000,80.54
2013-02-19,85.1,86.3,85.1,85.8,5789800,81.58
2013-02-20,85.76,86.16,84.42,84.51,5808500,80.35
2013-02-21,84,84.28,83.09,83.43,4187300,79.32
2013-02-22,84,84,83.36,83.61,3755200,79.5
2013-02-25,85.03,85.55,82.11,82.13,6381200,78.09
2013-02-26,82.51,82.82,81.11,81.78,5508800,77.76
2013-02-27,81.65,82.63,81.47,82.23,5078900,78.18
2013-02-28,82.24,82.55,81.92,82.33,4912800,78.28
2013-03-01,81.86,82.86,81.21,82.65,3568800,78.58
2013-03-04,82.39,82.48,80.93,81.64,3796300,77.62
2013-03-05,82.17,82.83,81.93,82.45,3681200,78.39
2013-03-06,82.61,82.61,81.37,81.89,3737200,78.47
2013-03-07,82.03,82.21,81.61,81.69,4042700,78.28
2013-03-08,82.06,82.54,81.84,82.4,3999300,78.96
2013-03-11,82.24,83.33,81.94,82.88,2985800,79.42
2013-03-12,83.11,84.24,83.02,83.59,3807900,80.1
2013-03-13,83.63,83.96,83.2,83.28,4668000,79.8
2013-03-14,83.59,84.7,83.43,84.4,5322800,80.87
2013-03-15,84.02,84.51,83.31,83.67,7630700,80.18
2013-03-18,82.7,83.28,82.25,82.5,4761200,79.05
2013-03-19,81.82,81.94,79.3,80.18,8114300,76.83
2013-03-20,80.77,80.9,78.5,78.63,7706800,75.35
2013-03-21,78.25,79.05,77.94,78.36,6152200,75.09
2013-03-22,78.6,79.15,78.41,78.66,3909400,75.37
2013-03-25,78.93,79.25,77.79,78.05,6052400,74.79
2013-03-26,78.15,78.44,77.21,78.01,5807700,74.75
2013-03-27,77.59,78.35,77.52,78.13,3933900,74.87
2013-03-28,78.1,78.74,77.82,78.37,5361700,75.1
2013-04-01,78.45,79.21,77.91,78.95,4193100,75.65
2013-04-02,79.6,81.73,79.25,80.68,8575200,77.31
2013-04-03,80.59,81.68,80.09,81.06,8303300,77.67
2013-04-04,80.99,82.09,80.51,81.82,7351600,78.4
2013-04-05,80.81,82,80.81,81.85,5306900,78.43
2013-04-08,82.84,83.23,79.98,81.12,10521900,77.73
2013-04-09,81.58,82.08,80.47,81.57,6422800,78.16
2013-04-10,81.62,81.8,81,81.36,4952500,77.96
2013-04-11,84,84.74,83.5,84.2,14673700,80.68
2013-04-12,83.56,83.75,82.46,83.39,7831400,79.91
2013-04-15,82.54,82.8,80.68,80.7,6114600,77.33
2013-04-16,81.84,81.86,80.53,81.6,4478700,78.19
2013-04-17,80.95,81.32,79.47,80.45,5925300,77.09
2013-04-18,80.59,81.14,79.4,79.91,4783800,76.57
2013-04-19,80.35,80.6,79.16,79.61,4512300,76.28
2013-04-22,79.68,80.74,79,80.56,3994500,77.2
2013-04-23,80.88,82.55,80.47,81.69,5485700,78.28
2013-04-24,81.86,84.56,81.86,84.33,7388900,80.81
2013-04-25,83.59,87.92,82.55,85.55,9543600,81.98
2013-04-26,85.4,86.93,84.51,86.66,5649400,83.04
2013-04-29,87.37,88.04,86,87.86,9361600,84.19
2013-04-30,88.4,89.89,88.18,89.26,7831800,85.53
2013-05-01,88.48,88.85,87.05,87.55,7252600,83.89
2013-05-02,88.09,88.46,86.91,88.09,5356800,84.41
2013-05-03,88.92,91.99,88.9,90.76,11853000,86.97
2013-05-06,90.69,91,89.1,89.36,6250300,85.63
2013-05-07,89.54,89.95,88.64,89.25,5558800,85.52
2013-05-08,89.24,89.93,88.85,89.28,4263300,85.55
2013-05-09,89.28,89.34,87.89,88.2,5901900,84.52
2013-05-10,87.9,89.18,87.9,89.17,5225100,85.45
2013-05-13,89.07,90.53,88.85,90.53,5584000,86.75
2013-05-14,90.5,91.43,90.27,91.03,5986500,87.23
2013-05-15,90.52,91.09,89.92,90.93,4027100,87.13
2013-05-16,90.54,91.93,90.23,91.03,4366500,87.23
2013-05-17,91.14,92.84,90.67,92.84,6474800,88.96
2013-05-20,92.84,93.74,92.68,93.69,3358000,89.78
2013-05-21,93.59,94.42,93.02,93.06,4248600,89.17
2013-05-22,92.58,93.35,90.29,91.1,7651300,87.3
2013-05-23,90,90.57,88.9,90.53,4647600,86.75
2013-05-24,90.2,91.22,89.43,90.78,3863800,86.99
2013-05-28,92.5,93.49,92.24,92.65,5013600,88.78
2013-05-29,92.44,94.9,92.15,94.55,6962900,90.6
2013-05-30,94.46,95.56,93.9,94.75,6121300,90.79
2013-05-31,94.75,95.57,92.07,92.07,9605700,88.22
2013-06-03,93,94.3,92.46,94.27,6765400,90.33
2013-06-04,93.95,95.31,93.78,94.26,6425000,90.32
2013-06-05,93.43,94.41,92.77,93.38,5204400,89.48
2013-06-06,92.94,93.4,91.86,92.55,5802100,89.3
2013-06-07,93.01,93.62,92.04,93.12,6449000,89.85
2013-06-10,93.07,93.39,92.09,92.29,4297600,89.05
2013-06-11,91.39,92.54,90.61,91.25,4845800,88.04
2013-06-12,91.9,92.29,90.63,90.95,3028700,87.75
2013-06-13,91.01,93.53,90.81,93.04,3989300,89.77
2013-06-14,93.16,93.35,91.32,91.89,2403700,88.66
2013-06-17,92.66,93.24,91.81,92.61,2665800,89.35
2013-06-18,92.4,93.25,92.2,92.43,2840100,89.18
2013-06-19,92.63,93.2,91.76,91.76,3064600,88.53
2013-06-20,90.82,90.94,88.49,88.94,5442800,85.81
2013-06-21,89.76,90.61,88.56,89.92,7413900,86.76
2013-06-24,88.84,89.6,87.56,88.63,5642200,85.51
2013-06-25,89.25,89.25,87.89,88.67,3465400,85.55
2013-06-26,89.93,90.05,88.29,89.25,3457400,86.11
