Stock Quotes for PM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,84.7,86.77,84.33,86.74,6499100,80.51
2013-01-03,86.94,87.32,85.4,85.86,5817000,79.69
2013-01-04,86,86.65,85.87,86.52,4205800,80.3
2013-01-07,86.17,86.7,85.91,86.25,3980800,80.05
2013-01-08,86.22,86.56,85.97,86.09,4426100,79.9
2013-01-09,86.35,86.66,85.51,85.83,4776300,79.66
2013-01-10,86.38,87.29,86.32,87.29,5312800,81.02
2013-01-11,88.53,89.83,88.53,89.23,8106000,82.82
2013-01-14,89.34,89.66,88.77,89.07,4521100,82.67
2013-01-15,88.65,89.31,88.55,88.92,4439700,82.53
2013-01-16,88.44,88.78,87.9,88.34,3400400,81.99
2013-01-17,88.66,89.39,88.47,89.14,4568300,82.73
2013-01-18,89.41,89.98,88.9,89.98,5443600,83.51
2013-01-22,89.93,90.29,89.25,90.03,5937000,83.56
2013-01-23,89.73,90,88.54,88.84,4865200,82.45
2013-01-24,89.12,90,88.76,89.76,4403600,83.31
2013-01-25,89.83,90,89,89.42,4499700,82.99
2013-01-28,89.31,89.4,88.88,89,4549700,82.6
2013-01-29,88.64,89.56,88.55,88.91,4972700,82.52
2013-01-30,88.44,88.67,87.4,87.65,6468300,81.35
2013-01-31,87.81,89.02,87.65,88.16,5045200,81.82
2013-02-01,88.92,88.97,87.66,88.13,5420400,81.8
2013-02-04,87.53,88.05,86.8,87.33,5808700,81.05
2013-02-05,87.43,88.14,87.31,87.96,4546200,81.64
2013-02-06,87.75,87.92,87.36,87.69,3920500,81.39
2013-02-07,87.15,90,86.85,89.82,7478500,83.36
2013-02-08,89.64,90.85,89.64,90.45,4366500,83.95
2013-02-11,90.4,90.82,90.24,90.35,3283400,83.86
2013-02-12,90.63,90.73,90.01,90.14,3638500,83.66
2013-02-13,90.43,91.47,90.43,90.99,3852800,84.45
2013-02-14,90.86,90.99,89.85,90.01,5268700,83.54
2013-02-15,90.06,91,89.4,89.99,5235600,83.52
2013-02-19,90.37,91.4,90.09,91.31,4428500,84.75
2013-02-20,91.28,92.79,90.75,92.09,4866700,85.47
2013-02-21,91.61,93.61,91.35,93.13,5990900,86.44
2013-02-22,93.22,93.48,92.63,93.42,4070600,86.7
2013-02-25,93.28,93.57,91.55,91.56,6398900,84.98
2013-02-26,92.03,92.59,91.16,91.6,5150100,85.02
2013-02-27,91.36,91.82,90.73,91.43,4801300,84.86
2013-02-28,91.68,92.25,91.38,91.75,6038900,85.15
2013-03-01,91.69,92.67,91.14,91.44,4554100,84.87
2013-03-04,91.48,92.57,91.47,92.36,4116200,85.72
2013-03-05,92.5,92.92,91.92,92.28,4552800,85.65
2013-03-06,92.34,92.63,91.41,91.6,4083800,85.02
2013-03-07,91.4,91.96,91.4,91.81,3178600,85.21
2013-03-08,91.87,91.92,90.91,91.11,3946700,84.56
2013-03-11,90.9,91.55,90.82,91.21,3249400,84.65
2013-03-12,91.38,91.42,90.3,90.89,4420000,84.36
2013-03-13,90.84,90.9,90.04,90.55,4122500,84.04
2013-03-14,90.93,91.6,90.83,91.31,5079000,84.75
2013-03-15,90.98,91.63,90.24,91.37,9899400,84.8
2013-03-18,90.54,90.93,90.25,90.36,4503000,83.86
2013-03-19,90.59,91.22,90.29,90.81,3717900,84.28
2013-03-20,91,91.71,90.99,91.42,4184500,84.85
2013-03-21,91.12,91.54,90.88,91.05,4008600,84.51
2013-03-22,91,91.97,90.85,91.62,13665900,85.03
2013-03-25,91.99,92.63,91.78,91.99,14448600,85.38
2013-03-26,91.54,91.81,90.99,91.76,4675200,85.96
2013-03-27,91.29,92.64,91.24,92,4168300,86.18
2013-03-28,92.04,92.94,91.95,92.71,4424700,86.85
2013-04-01,92.74,92.81,92.07,92.78,2946600,86.91
2013-04-02,93.05,94.45,92.9,94.41,4619000,88.44
2013-04-03,94.58,95.32,94.07,94.36,6293500,88.39
2013-04-04,94.74,95.26,94.35,94.53,3820000,88.55
2013-04-05,93.79,94,92.33,92.72,5033400,86.86
2013-04-08,92.94,94.49,92.8,94.44,3674300,88.47
2013-04-09,94.77,95.1,94.06,94.54,3295400,88.56
2013-04-10,94.89,95.42,94.24,95.26,3744500,89.24
2013-04-11,95.33,96.07,95.03,95.6,3718300,89.56
2013-04-12,95.67,96.6,95.3,96.44,3944500,90.34
2013-04-15,95.94,96.17,94.09,94.11,5015900,88.16
2013-04-16,94.46,95.23,93.73,94.97,5630000,88.97
2013-04-17,94.57,94.72,93.52,94.04,4342800,88.09
2013-04-18,92,92.62,90.7,91.69,8277400,85.89
2013-04-19,91.94,92.6,91.5,91.95,5951000,86.14
2013-04-22,91.9,92.95,91.67,92.82,4176900,86.95
2013-04-23,93.28,93.88,92,93.6,4274000,87.68
2013-04-24,93.77,94.94,93.64,94.05,5209100,88.1
