Stock Quotes for QCOM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,63.58,64.75,63.54,64.75,17582200,62.54
2013-01-03,64.82,65.19,64.09,64.45,14118200,62.26
2013-01-04,64.1,64.35,63.22,63.5,13918300,61.34
2013-01-07,63.35,64.24,63.16,64.01,10310100,61.83
2013-01-08,64.56,64.64,63.6,63.91,12856700,61.73
2013-01-09,64.35,64.96,64.27,64.88,12374300,62.67
2013-01-10,65.47,65.53,64.39,64.78,13114000,62.57
2013-01-11,64.78,65,64.33,64.9,6759000,62.69
2013-01-14,64.29,64.67,63.76,64.24,12726100,62.05
2013-01-15,63.75,64.47,63.52,64.44,6391800,62.25
2013-01-16,64.54,65.04,64.27,64.79,10131800,62.58
2013-01-17,64.92,65.32,64.8,65.14,7733500,62.92
2013-01-18,64.73,65.07,64.46,64.68,12459700,62.48
2013-01-22,64.73,64.88,64.06,64.68,8341000,62.48
2013-01-23,64.9,65.3,64.66,64.89,9241500,62.68
2013-01-24,63.95,64.95,63.85,64.4,12751400,62.21
2013-01-25,64.18,64.52,63.37,63.66,15995900,61.49
2013-01-28,63.47,64.04,63.46,63.67,12237400,61.5
2013-01-29,63.62,63.96,62.33,63.45,12087400,61.29
2013-01-30,63.65,64.12,63.25,63.53,19181200,61.37
2013-01-31,67.09,67.44,65.96,66.02,27660800,63.77
2013-02-01,66.4,66.8,65.63,66.73,14841200,64.46
2013-02-04,66.25,67.1,65.36,65.64,14311500,63.4
2013-02-05,66.18,67.15,65.88,66.95,12356800,64.67
2013-02-06,66.52,67.2,66.47,67.18,11195700,64.89
2013-02-07,67.12,67.33,66.02,66.54,11521200,64.27
2013-02-08,66.9,67.45,66.32,66.95,7396300,64.67
2013-02-11,67,67.31,66.75,67.18,6653800,64.89
2013-02-12,66.36,66.42,65.53,65.89,16455700,63.65
2013-02-13,66.2,66.24,65.2,65.45,8951700,63.22
2013-02-14,65.12,65.7,65.03,65.53,13771100,63.3
2013-02-15,65.71,66.25,65.11,65.43,11356700,63.2
2013-02-19,65.75,65.88,65.31,65.67,7488500,63.43
2013-02-20,66.01,66.06,64.49,65.27,12388400,63.05
2013-02-21,65.2,65.43,64.32,64.82,11749500,62.61
2013-02-22,65.21,65.77,64.67,64.94,7070300,62.73
2013-02-25,65.39,67.45,64.8,64.8,13078300,62.59
2013-02-26,64.97,65.54,64.97,65.27,10027200,63.05
2013-02-27,65.24,66.15,65,65.64,8976900,63.4
2013-02-28,65.82,66.22,65.61,65.64,9596300,63.4
2013-03-01,65.34,66.65,65.16,66.3,11186800,64.04
2013-03-04,66.05,66.65,65.86,66.63,7969900,64.36
2013-03-05,67.52,68.5,67.51,67.97,16205100,65.66
2013-03-06,67.48,67.52,66.22,66.67,16966700,64.64
2013-03-07,66.97,67.1,66.4,66.79,9305400,64.75
2013-03-08,67.33,67.92,66.5,66.65,8590100,64.62
2013-03-11,66.73,66.93,66.31,66.7,6559800,64.67
2013-03-12,66.71,67.09,66.37,67.04,9115600,65
2013-03-13,67.01,67.5,66.66,66.75,9621500,64.71
2013-03-14,67,67.06,66.36,66.57,9262200,64.54
2013-03-15,66.42,66.58,64.74,64.97,26182100,62.99
2013-03-18,64.41,64.8,63.4,64.56,14183900,62.59
2013-03-19,64.69,65,63.91,64.72,10231800,62.75
2013-03-20,65.41,66.1,64.74,65.74,12407900,63.74
2013-03-21,65.7,66.12,65.06,65.35,9215100,63.36
2013-03-22,65.69,66.05,65.6,65.92,8231600,63.91
2013-03-25,66.19,66.19,65.28,65.67,9045800,63.67
2013-03-26,65.99,66.69,65.87,66.62,9802400,64.59
2013-03-27,66.17,66.74,65.76,66.68,6659800,64.65
2013-03-28,66.64,67,66.53,66.94,7899200,64.9
