Stock Quotes for UNH,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,54.88,55,54.01,54.54,5358100,53.01
2013-01-03,53.44,53.52,51.85,51.99,14413200,50.54
2013-01-04,52.2,52.73,52.06,52.09,10458000,50.63
2013-01-07,51.88,52.33,51.55,52.09,7804500,50.63
2013-01-08,52,52.24,51.36,51.4,8196200,49.96
2013-01-09,51.59,52.5,51.5,52.37,5154300,50.91
2013-01-10,52.52,53.19,52.33,53.11,6506500,51.62
2013-01-11,53.4,53.4,52.33,52.82,10182500,51.34
2013-01-14,52.87,54.42,52.6,53.36,7119900,51.87
2013-01-15,53.22,53.85,53.21,53.62,5802900,52.12
2013-01-16,53.64,53.8,53.34,53.66,6474500,52.16
2013-01-17,53.76,54.53,53.17,54.4,14438900,52.88
2013-01-18,54.4,54.63,54.22,54.56,7023900,53.03
2013-01-22,54.65,56.09,54.56,56.02,9330000,54.45
2013-01-23,56.11,56.25,55.45,55.91,6665700,54.35
2013-01-24,56.03,56.44,55.9,56.22,4221700,54.65
2013-01-25,56.36,56.38,55.72,56.04,5604700,54.47
2013-01-28,56.42,56.53,55.8,55.81,5736900,54.25
2013-01-29,55.75,56.69,55.68,56.28,7317600,54.71
2013-01-30,56.25,56.44,55.92,56.08,6269200,54.51
2013-01-31,55.84,56.04,55.21,55.21,6957500,53.67
2013-02-01,55.74,55.84,55.37,55.77,6369500,54.21
2013-02-04,55.32,56.37,55.32,55.75,4795700,54.19
2013-02-05,57.07,57.83,56.83,57.77,8645500,56.15
2013-02-06,57.44,57.54,57.1,57.38,5266100,55.77
2013-02-07,57.36,57.5,56.65,57.05,6050700,55.45
2013-02-08,57.16,58.26,57.12,57.74,4554600,56.12
2013-02-11,57.56,57.71,57.05,57.12,4166800,55.52
2013-02-12,57.2,57.38,56.93,57.01,4448600,55.42
2013-02-13,57.01,57.37,56.75,57.23,4261200,55.63
2013-02-14,57.01,57.22,56.75,57.05,5173800,55.45
2013-02-15,57.06,57.49,57.04,57.32,5750400,55.72
2013-02-19,54.2,56.88,54.04,56.66,14566200,55.08
2013-02-20,56.51,56.58,55.19,55.21,7542900,53.67
2013-02-21,55.57,55.94,54.88,55.24,6357300,53.69
2013-02-22,55.4,55.41,54.25,54.47,8400700,52.95
2013-02-25,54.69,54.75,53.29,53.3,6807800,51.81
2013-02-26,53.51,53.6,52.51,53.05,6325100,51.57
2013-02-27,52.96,54.01,52.93,53.87,5133800,52.36
2013-02-28,53.82,53.96,53.39,53.45,5879800,51.95
2013-03-01,53.34,53.79,52.88,53.52,6972100,52.02
2013-03-04,53.31,53.5,53.13,53.32,4783000,51.83
2013-03-05,53.43,53.84,53.18,53.5,4911700,52
