Stock Quotes for USB,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,32.46,32.98,32.4,32.97,10045200,31.64
2013-01-03,32.88,32.96,32.44,32.51,12697900,31.2
2013-01-04,32.85,33.3,32.64,33.22,11487400,31.88
2013-01-07,33.1,33.17,32.75,32.92,8170400,31.59
2013-01-08,32.8,33.02,32.64,32.97,6519800,31.64
2013-01-09,33.07,33.44,33.07,33.27,10072300,31.93
2013-01-10,33.56,33.8,33.2,33.64,10266200,32.29
2013-01-11,33.58,33.58,33.19,33.5,6768400,32.15
2013-01-14,33.53,33.57,33.2,33.47,6521600,32.12
2013-01-15,33.39,33.4,33.07,33.28,9372800,31.94
2013-01-16,32.74,33.27,32.72,33.15,9143000,31.81
2013-01-17,33.36,33.36,32.72,32.76,17747200,31.44
2013-01-18,32.89,32.97,32.54,32.87,17059600,31.55
2013-01-22,32.83,33.1,32.67,33,11999700,31.67
2013-01-23,32.92,33.09,32.85,33.09,9501800,31.76
2013-01-24,33.1,33.37,33,33.11,12115100,31.78
2013-01-25,33.25,33.29,32.97,33.17,9456600,31.83
2013-01-28,33.25,33.27,32.98,33.17,11712200,31.83
2013-01-29,33.15,33.44,33.07,33.33,10852200,31.99
2013-01-30,32.95,33.28,32.93,33.14,11237500,31.81
2013-01-31,32.99,33.26,32.98,33.1,8693800,31.77
2013-02-01,33.37,33.47,33.21,33.4,7890300,32.05
2013-02-04,33.18,33.25,32.84,32.96,8537000,31.63
2013-02-05,33.11,33.25,33.04,33.13,7772000,31.8
2013-02-06,32.98,33.63,32.98,33.61,12702000,32.26
2013-02-07,33.6,33.74,33.32,33.54,7721200,32.19
2013-02-08,33.57,33.69,33.51,33.65,6145700,32.29
2013-02-11,33.83,34.33,33.74,34.09,10627900,32.72
2013-02-12,34.1,34.4,34.04,34.31,9442700,32.93
2013-02-13,34.35,34.36,33.79,33.93,8358600,32.56
2013-02-14,33.74,34.06,33.74,33.99,6244800,32.62
2013-02-15,34.08,34.15,33.72,33.91,7431500,32.54
2013-02-19,33.82,34.15,33.71,34.08,7810600,32.71
2013-02-20,33.99,34.06,33.8,33.85,9466100,32.49
2013-02-21,33.82,33.97,33.65,33.77,10506100,32.41
2013-02-22,33.86,33.95,33.54,33.88,8925100,32.52
2013-02-25,33.97,34.1,33.34,33.34,11560400,32
2013-02-26,33.53,33.91,33.36,33.79,12324700,32.43
2013-02-27,33.76,34.04,33.63,34.03,9048800,32.66
2013-02-28,34.06,34.15,33.81,33.98,9518300,32.61
2013-03-01,33.75,34.15,33.61,34.01,8434800,32.64
