Stock Quotes for V,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,154.16,155.94,153.93,155.38,3956600,153.31
2013-01-03,157.11,158.08,154.82,155.5,3734300,153.43
2013-01-04,155.6,157.19,154.78,156.77,2594000,154.68
2013-01-07,156.94,158.77,156.8,157.89,2560600,155.79
2013-01-08,157.65,159.36,157.01,159.36,2950100,157.24
2013-01-09,161.4,162.55,159.71,161.79,4388200,159.64
2013-01-10,162.03,162.77,159.27,160.51,4078400,158.37
2013-01-11,159.78,161.25,159.5,161.16,2394500,159.02
2013-01-14,161.28,161.81,159.55,160.65,2219400,158.51
2013-01-15,159.82,160.65,159.09,160.45,1674000,158.32
2013-01-16,160.11,160.78,159.31,160.2,1366100,158.07
2013-01-17,161,161.09,159.61,159.88,1958400,157.75
2013-01-18,158.52,158.53,156.5,158.27,3453100,156.16
2013-01-22,158.68,159.68,157.78,159.05,1729500,156.93
2013-01-23,158.29,159.96,158.08,159.05,1777200,156.93
2013-01-24,159.3,160.17,158.9,159.56,1698500,157.44
2013-01-25,159.92,160.14,159.03,159.84,1675400,157.71
2013-01-28,160.28,160.58,156.3,156.35,3383000,154.27
2013-01-29,155.74,157.09,155.12,156.66,2916000,154.58
2013-01-30,156.99,159.09,154.75,155.01,4677000,152.95
2013-01-31,159,159.5,156.35,157.91,4171400,155.81
2013-02-01,159,159.48,157.35,158.56,3184600,156.45
2013-02-04,157.77,158.4,156.56,156.65,2633000,154.57
2013-02-05,157.62,159.6,156.8,159.53,2776300,157.41
2013-02-06,159.22,160.88,158.62,160.82,3764200,158.68
2013-02-07,158.98,159.79,156.96,157.06,5045700,154.97
2013-02-08,157.4,158.94,157.1,157.8,3228500,155.7
2013-02-11,157.58,158.17,155.94,156.33,2758100,154.25
2013-02-12,156.84,157.7,156.42,156.8,2451400,154.71
2013-02-13,156.45,157.39,154.14,154.77,3479400,153.03
2013-02-14,154.6,156.65,154.3,155.98,3190000,154.23
2013-02-15,156.35,158.08,155.74,157.99,4471100,156.22
2013-02-19,158.01,158.79,156.66,157.61,3302500,155.84
2013-02-20,157.12,157.61,155.19,155.42,3922200,153.68
2013-02-21,155.12,158.29,154.79,157.44,3555200,155.67
2013-02-22,158.3,159.58,156.69,159.43,2934500,157.64
2013-02-25,159.2,160.35,155.89,155.89,2795800,154.14
2013-02-26,156.01,158.59,156.01,157.83,2838500,156.06
2013-02-27,157.45,160.1,157.3,159.87,2079500,158.08
2013-02-28,160.34,160.34,158.31,158.64,2807000,156.86
2013-03-01,157.93,158.86,156.65,158.08,3303000,156.31
2013-03-04,157.76,159.54,157.55,159.5,1642500,157.71
2013-03-05,160.09,161.78,159.86,160.29,2566900,158.49
2013-03-06,160.86,161.7,160.2,161.06,1879000,159.25
2013-03-07,160.87,161.78,159.65,160.51,2171800,158.71
2013-03-08,161.34,161.4,159.89,160.67,2392900,158.87
2013-03-11,161.37,161.6,160.41,161.18,1685500,159.37
2013-03-12,160.68,160.97,159.03,159.8,2085200,158.01
2013-03-13,159.5,160.4,158.85,159.37,2755400,157.58
2013-03-14,159.4,161.07,159.3,160.66,3713400,158.86
2013-03-15,160.03,160.64,158.53,158.55,4399900,156.77
2013-03-18,157.28,159.18,156.4,158.07,3790700,156.3
2013-03-19,158,159.35,155.68,156,4413100,154.25
2013-03-20,157,159.97,156.72,159.33,4017600,157.54
2013-03-21,158.45,159.73,157.8,157.8,3720800,156.03
2013-03-22,158.21,160.16,157.72,160.09,4697600,158.29
2013-03-25,160.75,164.28,160.5,164,4834200,162.16
2013-03-26,164.9,167.78,164.54,167.46,4316200,165.58
2013-03-27,166.61,169.23,165.51,168.66,3342800,166.77
2013-03-28,168.75,170.96,168.13,169.84,3114100,167.93
2013-04-01,169.75,170.99,166.9,167.35,3308800,165.47
2013-04-02,168.42,168.9,167.31,167.95,2395500,166.07
2013-04-03,168.42,168.53,164.28,164.75,4156200,162.9
2013-04-04,165.42,166.53,165.01,166.48,2225900,164.61
2013-04-05,164.21,165.42,163.59,165.16,1990600,163.31
2013-04-08,165.64,166.37,164.48,166.29,1531400,164.42
2013-04-09,166.83,166.88,164.01,164.75,1501100,162.9
2013-04-10,164.97,167.3,164.97,166.99,2249100,165.12
2013-04-11,167,167.9,166.22,167.62,1647500,165.74
2013-04-12,165.91,166.83,165.1,165.75,1769200,163.89
2013-04-15,164.62,164.88,161.29,161.29,2693500,159.48
2013-04-16,162.65,164.8,162.5,164.71,2523000,162.86
2013-04-17,163.74,164.03,161.94,162.23,2385900,160.41
2013-04-18,162.59,163.39,161.27,161.41,5252700,159.6
2013-04-19,162.08,164.11,161.75,163.96,1905100,162.12
2013-04-22,163.57,164.35,162.49,163.53,1350900,161.69
2013-04-23,164.27,165.68,163.53,165.66,1581000,163.8
2013-04-24,165.66,167.57,165.6,167.06,1861800,165.19
2013-04-25,167.91,170.48,167.44,168.76,2330700,166.87
