Stock Quotes for VZ,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,44.49,44.51,43.84,44.27,16483900,41.03
2013-01-03,44.36,44.42,43.79,44.06,11227700,40.84
2013-01-04,44.04,44.36,43.75,44.3,14930400,41.06
2013-01-07,44.25,44.87,44.01,44.69,20891300,41.42
2013-01-08,44.03,44.26,43.04,43.1,21394400,40.41
2013-01-09,42.84,43.19,42.76,43,13346700,40.32
2013-01-10,43.22,43.59,42.97,43.59,11214800,40.87
2013-01-11,43.73,43.74,43.04,43.3,11624000,40.6
2013-01-14,42.92,43.09,42.49,42.59,15075300,39.93
2013-01-15,42.46,42.56,41.96,41.97,15099600,39.35
2013-01-16,41.91,42.05,41.5,41.51,17451400,38.92
2013-01-17,41.66,42.37,41.51,42.13,14209800,39.5
2013-01-18,42.2,42.54,42.07,42.54,14149500,39.89
2013-01-22,43,43.42,42.49,42.94,30231800,40.26
2013-01-23,43.04,43.07,42.49,42.79,16208000,40.12
2013-01-24,42.84,43.08,42.57,42.59,11716000,39.93
2013-01-25,42.71,42.81,42.34,42.67,13779300,40.01
2013-01-28,42.77,42.89,42.46,42.77,13577000,40.1
2013-01-29,42.82,43.6,42.72,43.5,16429900,40.79
2013-01-30,43.38,43.96,43.34,43.61,16039900,40.89
2013-01-31,43.5,43.87,43.47,43.61,12880500,40.89
2013-02-01,44.2,44.84,44.11,44.56,17699900,41.78
2013-02-04,44.25,44.75,44.02,44.52,14188500,41.74
2013-02-05,44.71,44.88,44.54,44.56,9294200,41.78
2013-02-06,44.29,44.88,44.25,44.75,15116100,41.96
2013-02-07,44.64,44.75,44.12,44.46,8837200,41.69
2013-02-08,44.51,44.61,44.17,44.35,8161600,41.58
2013-02-11,44.3,44.44,44.12,44.32,5750100,41.56
2013-02-12,44.37,44.58,44.21,44.44,6329800,41.67
2013-02-13,44.54,44.7,44.28,44.52,7731800,41.74
2013-02-14,44.55,44.78,44.11,44.33,14665900,41.57
