Stock Quotes for WMT,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,68.93,69.24,68.45,69.24,10390800,66.3
2013-01-03,69.25,69.35,68.38,68.8,8910100,65.88
2013-01-04,68.73,69.18,68.34,69.06,6438000,66.12
2013-01-07,68.83,68.92,68.13,68.4,6201400,65.49
2013-01-08,68.28,68.89,68.21,68.59,5866900,65.67
2013-01-09,68.66,68.71,68.22,68.57,5055200,65.66
2013-01-10,68.66,69.03,67.72,68.36,11453800,65.45
2013-01-11,68.6,68.79,68.21,68.63,6224500,65.71
2013-01-14,68.49,68.67,68.11,68.3,5490400,65.4
2013-01-15,68.19,69.24,68.1,68.98,6140400,66.05
2013-01-16,68.94,69.37,68.89,69.21,4917900,66.27
2013-01-17,69.3,69.32,68.71,68.85,7232600,65.92
2013-01-18,68.85,69.2,68.85,69.2,7813400,66.26
2013-01-22,69.05,69.65,68.96,69.58,5747900,66.62
2013-01-23,69.39,69.64,69.15,69.49,6365400,66.54
2013-01-24,69.65,69.99,69.35,69.79,9139000,66.82
2013-01-25,69.91,70,68.93,69,7967700,66.07
2013-01-28,69.08,69.5,68.8,69.35,7054800,66.4
2013-01-29,69.21,70.2,69.2,69.89,9560900,66.92
2013-01-30,70.12,70.12,69.5,69.75,7020600,66.79
2013-01-31,69.69,70.44,69.69,69.95,7016200,66.98
2013-02-01,70.11,70.54,69.95,70.49,6449800,67.49
2013-02-04,69.44,69.9,69.13,69.63,10759300,66.67
2013-02-05,69.87,71.07,69.76,70.77,10525500,67.76
2013-02-06,70.48,71.32,70.3,71.31,9757800,68.28
2013-02-07,71.44,71.64,70.9,71.23,8306900,68.2
2013-02-08,71.2,71.64,71.07,71.48,5906600,68.44
2013-02-11,71.25,71.51,70.53,71.4,6202600,68.36
2013-02-12,71.49,71.66,71.1,71.4,4762000,68.36
2013-02-13,71.29,71.7,71.21,71.39,3968600,68.36
2013-02-14,71.1,71.23,70.75,70.82,6821000,67.81
2013-02-15,69.54,70,68.13,69.3,25683700,66.35
2013-02-19,69.19,69.45,68.54,68.76,14682300,65.84
2013-02-20,68.72,69.85,68.3,69.21,11973600,66.27
2013-02-21,70,71.47,69.72,70.26,20413100,67.27
2013-02-22,70.22,70.54,69.89,70.4,9165200,67.41
2013-02-25,70.5,71.34,70.44,70.44,11817600,67.45
2013-02-26,70.69,71.39,70.61,71.11,10557600,68.09
2013-02-27,70.92,71.96,70.58,71.66,8819000,68.61
2013-02-28,71.59,71.88,70.78,70.78,18883600,67.77
2013-03-01,70.78,71.9,70.78,71.74,8902300,68.69
2013-03-04,71.52,73.26,71.51,73.26,10567200,70.15
2013-03-05,73.47,74.04,72.99,73.72,9142000,70.59
2013-03-06,73.75,74.13,73.25,73.38,7149600,70.26
2013-03-07,73.49,73.61,73.2,73.32,6680000,70.2
2013-03-08,73.3,73.39,72.84,73.03,5744600,70.38
2013-03-11,73.09,73.24,72.81,72.98,5148700,70.33
2013-03-12,72.95,73.9,72.84,73.6,8153400,70.93
2013-03-13,73.89,74.2,73.54,73.65,5326100,70.97
2013-03-14,73.87,74,73.13,73.22,6353200,70.56
2013-03-15,73.01,73.5,72.43,72.5,17195100,69.87
2013-03-18,72.29,72.73,72.01,72.25,5771000,69.63
2013-03-19,72.42,72.87,72.19,72.45,5752800,69.82
2013-03-20,72.81,73.38,72.74,72.99,6320300,70.34
2013-03-21,72.87,73.47,72.85,73.13,5506700,70.47
2013-03-22,73.35,74.29,73.29,74.28,7323800,71.58
2013-03-25,74.14,75.11,74.12,74.85,10438700,72.13
2013-03-26,74.93,75.09,74.43,74.77,6642400,72.05
2013-03-27,74.31,74.96,74.24,74.78,5970300,72.06
2013-03-28,74.84,74.97,74.38,74.83,7368300,72.11
2013-04-01,75,75.93,74.9,75.43,8415400,72.69
2013-04-02,75.55,76.05,75.42,76.02,6642800,73.26
2013-04-03,76.31,76.68,75.72,76,7453900,73.24
2013-04-04,75.96,76.58,75.96,76.2,7508200,73.43
2013-04-05,75.55,76.41,75.43,76.39,5880300,73.61
2013-04-08,76.1,77.45,75.83,77.29,8075100,74.48
2013-04-09,77.24,78.46,77.02,78.12,8669900,75.28
2013-04-10,78.28,78.38,77.37,77.37,8599000,74.56
2013-04-11,77.36,78.37,77.27,77.79,7129100,74.96
2013-04-12,77.63,78.85,77.58,78.56,6336800,75.71
2013-04-15,78.44,79.28,78.43,78.47,8545500,75.62
2013-04-16,78.23,78.86,78.03,78.68,6854400,75.82
2013-04-17,78.53,79.07,78.11,78.51,7248600,75.66
2013-04-18,78.76,79.05,76.61,77.16,14218900,74.36
2013-04-19,77.5,78.44,77.4,78.29,7840500,75.45
2013-04-22,78.29,78.44,77.5,77.97,5154900,75.14
2013-04-23,78.11,79.22,78.05,79.09,6653600,76.22
2013-04-24,79.23,79.5,77.92,78.03,8083600,75.2
2013-04-25,78.18,78.83,77.88,78.65,5729100,75.79
2013-04-26,78.58,79.15,78.57,79.04,5923600,76.17
2013-04-29,79.08,79.25,78.15,78.39,6156800,75.54
2013-04-30,78.28,78.3,77.37,77.72,7965800,74.9
2013-05-01,77.85,78.66,77.69,78.06,6260300,75.22
2013-05-02,77.91,78.49,77.8,78.46,4519600,75.61
2013-05-03,78.92,79.34,78.9,79.25,5604100,76.37
2013-05-06,79.1,79.16,78.77,78.83,4805700,75.97
2013-05-07,79.1,79.14,78.77,78.83,6571100,75.97
2013-05-08,78.56,78.66,77.78,78.25,8008500,75.86
2013-05-09,78.31,78.96,77.9,78.4,6516800,76
2013-05-10,78.47,78.91,78.28,78.89,5831200,76.48
2013-05-13,78.8,78.94,77.92,78.5,7713900,76.1
2013-05-14,77.98,78.86,77.67,78.78,10013700,76.37
2013-05-15,78.8,79.96,78.65,79.86,8001100,77.42
2013-05-16,78.1,78.86,77.34,78.5,12128600,76.1
